filename	sample_id	sample_type	ATTRIBUTE_Group	ATTRIBUTE_Group_detailed	ATTRIBUTE_Group_super_detailed	ATTRIBUTE_time_point	source_taxon
20260424_CVOL_bk_mapp_05.mzML	bk_mapp_05	blank	NA	NA	NA	NA	
20260424_CVOL_Group_03_BB_10mM.mzML	BB_10mM	sample	BB	NA	NA	NA	
20260424_CVOL_Group_03_bl.mzML	bl	blank	NA	NA	NA	NA	
20260424_CVOL_Group_03_IAA_50uM.mzML	IAA_50uM	sample	IAA	NA	NA	NA	
20260424_CVOL_Group_03_Pt_1A_0m.mzML	Pt_1A_0m	sample	Pt	Pt_1	Pt_1A	0m	
20260424_CVOL_Group_03_Pt_1A_20m.mzML	Pt_1A_20m	sample	Pt	Pt_1	Pt_1A	20m	
20260424_CVOL_Group_03_Pt_1B_0m.mzML	Pt_1B_0m	sample	Pt	Pt_1	Pt_1B	0m	
20260424_CVOL_Group_03_Pt_1B_20m.mzML	Pt_1B_20m	sample	Pt	Pt_1	Pt_1B	20m	
20260424_CVOL_Group_03_Pt_2A_0m.mzML	Pt_2A_0m	sample	Pt	Pt_2	Pt_2A	0m	
20260424_CVOL_Group_03_Pt_2A_20m.mzML	Pt_2A_20m	sample	Pt	Pt_2	Pt_2A	20m	
20260424_CVOL_Group_03_Pt_2B_0m.mzML	Pt_2B_0m	sample	Pt	Pt_2	Pt_2B	0m	
20260424_CVOL_Group_03_Pt_2B_20m.mzML	Pt_2B_20m	sample	Pt	Pt_2	Pt_2B	20m	
20260424_CVOL_Group_03_QC_01.mzML	QC_01	sample	QC	NA	NA	NA	
20260424_CVOL_Group_03_QC_02.mzML	QC_02	sample	QC	NA	NA	NA	
20260424_CVOL_Group_03_QC_03.mzML	QC_03	sample	QC	NA	NA	NA	
20260424_CVOL_Group_03_QC_04.mzML	QC_04	sample	QC	NA	NA	NA	
20260424_CVOL_Group_03_QC_05.mzML	QC_05	sample	QC	NA	NA	NA	
20260424_CVOL_Group_03_QC_06.mzML	QC_06	sample	QC	NA	NA	NA	
20260424_CVOL_Group_03_wt_1A_0m.mzML	wt_1A_0m	sample	wt	wt_1	wt_1A	0m	
20260424_CVOL_Group_03_wt_1A_20m.mzML	wt_1A_20m	sample	wt	wt_1	wt_1A	20m	
20260424_CVOL_Group_03_wt_1B_0m.mzML	wt_1B_0m	sample	wt	wt_1	wt_1B	0m	
20260424_CVOL_Group_03_wt_1B_20m.mzML	wt_1B_20m	sample	wt	wt_1	wt_1B	20m	
20260424_CVOL_Group_03_wt_2A_20m.mzML	wt_2A_20m	sample	wt	wt_2	wt_2A	20m	
20260424_CVOL_Group_03_wt_2B_0m.mzML	wt_2B_0m	sample	wt	wt_2	wt_2B	0m	
20260424_CVOL_Group_03_wt_2B_20m.mzML	wt_2B_20m	sample	wt	wt_2	wt_2B	20m	
