cluster index	parent mass	RTMean	ATTRIBUTE_Group:GNPSGROUP:nan	ATTRIBUTE_Group:GNPSGROUP:BB	ATTRIBUTE_Group:GNPSGROUP:IAA	ATTRIBUTE_Group:GNPSGROUP:Pt	ATTRIBUTE_Group:GNPSGROUP:QC	ATTRIBUTE_Group:GNPSGROUP:wt	ATTRIBUTE_Group_detailed:GNPSGROUP:nan	ATTRIBUTE_Group_detailed:GNPSGROUP:Pt_1	ATTRIBUTE_Group_detailed:GNPSGROUP:Pt_2	ATTRIBUTE_Group_detailed:GNPSGROUP:wt_1	ATTRIBUTE_Group_detailed:GNPSGROUP:wt_2	ATTRIBUTE_Group_super_detailed:GNPSGROUP:nan	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_1A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_1B	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_2A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_2B	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_1A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_1B	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_2A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_2B	ATTRIBUTE_time_point:GNPSGROUP:nan	ATTRIBUTE_time_point:GNPSGROUP:0m	ATTRIBUTE_time_point:GNPSGROUP:20m	ATTRIBUTE_plant_extract:GNPSGROUP:nan	ATTRIBUTE_plant_extract:GNPSGROUP:A	ATTRIBUTE_plant_extract:GNPSGROUP:B	ATTRIBUTE_gene_time:GNPSGROUP:nan	ATTRIBUTE_gene_time:GNPSGROUP:Pt_0m	ATTRIBUTE_gene_time:GNPSGROUP:Pt_20m	ATTRIBUTE_gene_time:GNPSGROUP:wt_0m	ATTRIBUTE_gene_time:GNPSGROUP:wt_20m
1	158.00297536765618	0.4847488	0	366974.62	305691.22	551372.9762500001	289373.0366666667	532915.4025	0	555168.9375	547577.015	499749.265	566081.54	0	555103.125	555234.75	541522.18	553631.85	514648.68000000005	484849.85	558595.175	573567.905	0	524709.1325	559579.24625	0	542467.29	541821.08875	0	548375.0874999999	554370.865	501043.1775	564787.6275
2	216.95059349658456	0.48389217	0	0.0	0.0	135021.9425	1639182.6833333333	144946.715	0	184896.31	85147.575	196511.71000000002	93381.72	0	158232.7	211559.92	0.0	170295.15	235803.97	157219.45	186763.44	0.0	0	0.0	279968.65750000003	0	145200.0275	134768.63	0	0.0	270043.885	0.0	289893.43
3	232.92826957441312	0.48163986	0	0.0	0.0	1186452.9325	6058028.25	848313.6	0	1226189.475	1146716.39	568897.65	1127729.55	0	1212396.75	1239982.2	1146957.8	1146474.98	574996.75	562798.55	994314.1	1261145.0	0	806650.3200000001	1228116.2125	0	982166.35	1052600.1825	0	1078593.24	1294312.625	534707.3999999999	1161919.8
4	255.9440537831992	0.48563507	0	0.0	0.0	177298.5	1985391.45	57458.19125	0	282263.33499999996	72333.665	0.0	114916.3825	0	373189.61	191337.06	144667.33	0.0	0.0	0.0	0.0	229832.765	0	109084.59375	125672.0975	0	129464.23499999999	105292.45625	0	103252.805	251344.195	114916.3825	0.0
5	344.8753505505073	0.48321015	0	0.0	0.0	0.0	2172931.0	62528.035	0	0.0	0.0	0.0	125056.07	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	250112.14	0	62528.035	0.0	0	0.0	62528.035	0	0.0	0.0	125056.07	0.0
6	198.9400983623705	0.48693696	0	0.0	0.0	31942.91625	1716119.9000000001	147161.9575	0	0.0	63885.8325	0.0	294323.915	0	0.0	0.0	0.0	127771.665	0.0	0.0	172721.69	415926.14	0	63330.945	115773.92874999999	0	43180.4225	135924.45124999998	0	0.0	63885.8325	126661.89	167662.025
7	144.95689288256017	0.47587043	0	774332.06	755942.8	841405.99375	806718.1066666668	843562.3	0	844055.4475	838756.54	894308.315	792816.2849999999	0	834295.595	853815.3	856528.48	820984.6	930931.405	857685.225	788011.75	797620.82	0	863584.30625	821383.9875	0	852441.8075	832526.48625	0	827750.2849999999	855061.7025	899418.3275	787706.2725
8	143.9590608606594	0.48331907	0	443997.72	447109.56	532468.035	515199.4266666667	505084.18	0	528534.955	536401.115	510066.69500000007	500101.665	0	536010.47	521059.43999999994	573807.72	498994.51	486346.63	533786.76	477871.14	522332.18999999994	0	547652.935	489899.27999999997	0	518508.99	519043.225	0	545275.0599999999	519661.01	550030.81	460137.55
9	214.91763519738623	0.48803023	0	0.0	0.0	2689619.9625	17113292.166666668	2128824.61	0	2805677.925	2573562.0	1587176.12	2670473.1	0	2747431.15	2863924.7	2570855.15	2576268.85	1654899.27	1519452.97	2201805.3	3139140.9	0	1988920.085	2829524.4875	0	2293747.7175	2524696.855	0	2350619.0	3028620.925	1627221.17	2630428.05
10	131.1179908252114	0.49097908	0	2045178.0	0.0	591878.9575	1471467.5333333332	507706.5	0	609741.4875	574016.4275	466820.04750000004	548592.9525	0	660406.675	559076.3	566700.0800000001	581332.775	497972.30000000005	435667.79500000004	505020.07999999996	592165.825	0	524864.02125	574721.43625	0	557524.7837500001	542060.6737500001	0	589612.7275	594145.1875	460115.315	555297.685
