CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
919	972	1	0.8229	-14.016
98	99	2	0.7812	-1.044
95	96	2	0.8696	-0.018
95	97	2	0.9334	-9.504
95	98	2	0.7971	-10.003
98	102	2	0.7165	-3.040
94	98	2	0.7084	-11.003
96	98	2	0.7374	-9.984
97	98	2	0.8673	-0.499
96	97	2	0.8188	-9.485
59	83	3	0.7568	-79.124
70	83	3	0.8363	-472.257
72	83	3	0.7616	-355.178
74	83	3	0.9558	-238.099
77	83	3	0.8989	-234.158
78	83	3	0.9343	-121.020
79	83	3	0.9505	-117.079
82	83	3	0.9372	-3.941
52	56	3	0.8705	158.975
54	56	3	0.8601	-117.079
84	179	3	0.9631	-22.095
88	179	3	0.9595	-22.088
179	190	3	0.9808	0.000
179	196	3	0.9856	0.000
179	203	3	0.9837	0.000
179	207	3	0.8976	-116.076
47	52	3	0.9446	-117.079
50	52	3	0.9175	-192.093
52	53	3	0.9394	-117.079
52	54	3	0.8755	276.055
52	57	3	0.9044	37.956
52	58	3	0.9148	41.897
52	59	3	0.8772	-79.122
52	61	3	0.9091	-75.182
52	62	3	0.8386	-192.261
72	156	3	0.7852	-21.982
21	23	3	0.8276	-238.096
23	26	3	0.8374	238.093
23	46	3	0.8533	359.112
23	182	3	0.7875	276.048
43	158	3	0.9517	158.976
46	158	3	0.9188	121.020
49	158	3	0.9764	-0.000
158	165	3	0.9725	0.000
64	84	3	0.996	0.007
67	84	3	0.7122	-1.783
68	84	3	0.7819	-0.890
80	84	3	0.9969	0.112
84	88	3	0.9963	-0.007
84	125	3	0.7126	1.783
84	190	3	0.961	-22.095
84	203	3	0.9661	-22.095
20	29	3	0.806	-238.096
28	29	3	0.9184	-37.956
29	34	3	0.8055	276.052
29	38	3	0.9447	154.135
48	193	3	0.9886	-0.000
49	193	3	0.971	15.974
165	193	3	0.9761	15.974
185	193	3	0.9798	15.974
188	193	3	0.9896	0.000
190	193	3	0.7777	1.003
193	196	3	0.7781	-1.003
193	203	3	0.7786	-1.003
193	205	3	0.983	0.000
193	208	3	0.9857	0.000
47	53	3	0.9164	-234.158
53	54	3	0.8348	393.134
53	58	3	0.8958	158.976
53	59	3	0.8306	37.957
53	61	3	0.9187	41.897
53	62	3	0.8717	-75.182
27	182	3	0.7248	-128.086
48	196	3	0.7825	-1.003
188	196	3	0.7801	-1.003
190	196	3	0.9818	0.000
196	203	3	0.9828	0.000
196	205	3	0.7715	1.003
196	210	3	0.9032	-76.033
46	178	3	0.9171	121.020
48	178	3	0.9733	-15.974
50	178	3	0.8093	201.040
178	185	3	0.9799	0.000
178	188	3	0.9746	15.974
178	205	3	0.9711	15.974
178	208	3	0.9697	15.974
62	85	3	0.9398	-79.122
74	85	3	0.8869	-351.236
78	85	3	0.8701	-234.157
82	85	3	0.7635	-117.078
47	50	3	0.9433	75.014
50	54	3	0.8832	83.962
50	57	3	0.9648	-154.137
50	58	3	0.9105	-150.197
50	59	3	0.9245	-271.216
50	62	3	0.845	-384.355
62	82	3	0.9524	37.956
74	82	3	0.9255	-234.158
77	82	3	0.8474	-230.217
78	82	3	0.9302	-117.079
79	82	3	0.9001	-113.138
70	72	3	0.8558	-117.079
72	78	3	0.7832	-234.158
72	79	3	0.8058	-238.099
72	166	3	0.7991	-21.982
72	184	3	0.8051	-21.982
20	28	3	0.8691	-200.140
20	34	3	0.9594	37.956
20	38	3	0.7969	-83.961
20	39	3	0.9458	108.132
20	43	3	0.9419	158.976
166	184	3	0.8635	0.000
64	88	3	0.9955	0.000
67	88	3	0.7106	-1.789
68	88	3	0.782	-0.897
70	88	3	0.9177	116.182
80	88	3	0.9965	0.106
88	125	3	0.7099	1.789
88	190	3	0.9587	-22.088
88	203	3	0.9637	-22.088
21	26	3	0.9612	-0.003
63	125	3	0.9725	121.912
64	125	3	0.7077	1.789
67	125	3	0.9984	-0.000
68	125	3	0.9946	0.892
80	125	3	0.7145	1.895
55	166	3	0.8874	-0.000
48	208	3	0.9875	-0.000
49	208	3	0.9656	15.974
68	208	3	0.9506	-21.982
165	208	3	0.9702	15.974
185	208	3	0.9775	15.974
188	208	3	0.9877	0.000
205	208	3	0.9803	0.000
208	210	3	0.8847	-77.036
17	37	3	0.9333	37.954
28	37	3	0.9162	75.909
36	37	3	0.923	-238.099
37	87	3	0.9038	281.141
37	117	3	0.921	238.099
37	182	3	0.8699	238.098
203	210	3	0.9016	-76.033
205	210	3	0.89	-77.036
207	210	3	0.8814	40.043
54	207	3	0.8377	15.974
70	207	3	0.8991	-21.982
16	34	3	0.7446	21.982
28	34	3	0.9014	238.095
57	77	3	0.9434	37.956
74	77	3	0.9136	-3.941
77	78	3	0.8581	-113.138
77	79	3	0.9307	-117.079
59	79	3	0.9419	37.955
70	79	3	0.8635	-355.178
74	79	3	0.9579	-121.020
190	203	3	0.9791	0.000
43	46	3	0.9451	37.955
43	47	3	0.8939	-117.079
43	49	3	0.9547	158.976
43	165	3	0.9659	158.976
43	185	3	0.9727	158.976
48	188	3	0.992	-0.000
49	188	3	0.9678	15.974
68	188	3	0.9527	-21.982
165	188	3	0.9735	15.974
185	188	3	0.9827	15.974
188	205	3	0.9819	0.000
47	57	3	0.9345	-79.123
54	57	3	0.8804	-238.099
57	58	3	0.9001	3.941
57	59	3	0.9267	-117.078
57	62	3	0.8377	-230.217
46	47	3	0.897	-155.034
47	54	3	0.8976	158.976
47	58	3	0.8898	-75.182
47	59	3	0.8857	-196.201
47	61	3	0.8682	-192.261
58	74	3	0.9391	37.956
70	74	3	0.8563	-234.158
74	78	3	0.8044	-117.079
48	190	3	0.7796	-1.003
64	190	3	0.955	-22.088
80	190	3	0.9542	-21.982
17	28	3	0.9294	-37.955
28	32	3	0.8655	392.233
28	38	3	0.726	116.178
28	39	3	0.854	308.272
36	63	3	0.9189	121.020
46	63	3	0.8966	37.957
63	67	3	0.972	121.912
63	68	3	0.9721	121.020
36	46	3	0.8528	83.063
46	49	3	0.9114	121.020
46	165	3	0.9174	121.020
46	185	3	0.9285	121.020
48	205	3	0.9843	-0.000
49	205	3	0.9653	15.974
165	205	3	0.971	15.974
185	205	3	0.9735	15.974
58	61	3	0.9276	-117.079
59	61	3	0.9468	3.940
61	62	3	0.9085	-117.079
61	78	3	0.9209	37.956
87	89	3	0.9278	43.042
58	78	3	0.7784	-79.123
70	78	3	0.7768	-351.237
64	67	3	0.7087	1.790
64	70	3	0.9196	-116.182
64	80	3	0.9972	-0.105
48	165	3	0.9737	-15.974
68	165	3	0.9566	-37.956
165	185	3	0.9784	0.000
32	39	3	0.9478	-83.961
38	39	3	0.887	192.093
58	62	3	0.8823	-234.158
59	62	3	0.9151	-113.139
58	59	3	0.9431	-121.019
36	182	3	0.9325	-0.000
87	182	3	0.9421	-43.042
117	182	3	0.9295	-0.000
67	68	3	0.9937	-0.892
67	80	3	0.7162	-1.895
36	87	3	0.9779	43.042
36	117	3	0.9745	-0.000
68	80	3	0.786	-1.003
48	68	3	0.9567	21.982
87	117	3	0.9757	-43.042
49	185	3	0.976	-0.000
48	185	3	0.9808	-15.974
730	804	4	0.7063	-0.000
780	804	4	0.8037	-0.000
730	780	4	0.8158	0.000
730	967	4	0.7212	0.000
780	823	4	0.7155	-0.000
718	815	5	0.9344	28.031
751	815	5	0.8539	42.047
774	815	5	0.8288	42.047
815	884	5	0.8534	14.016
815	891	5	0.9368	-28.031
815	896	5	0.965	0.000
751	849	5	0.838	-28.031
774	849	5	0.8527	-28.031
849	893	5	0.8826	-15.018
793	955	5	0.8965	-56.062
805	955	5	0.8959	-56.062
812	955	5	0.8806	-56.062
831	955	5	0.8884	-42.047
890	955	5	0.8809	-28.031
955	989	5	0.8436	-28.031
729	793	5	0.8763	28.031
729	805	5	0.8926	28.031
729	812	5	0.8929	28.031
729	890	5	0.9017	-0.000
729	907	5	0.9074	-0.000
738	907	5	0.9011	-0.000
793	907	5	0.9206	-28.031
805	907	5	0.9206	-28.031
812	907	5	0.8853	-28.031
883	907	5	0.9207	-0.169
885	907	5	0.9192	-42.047
890	907	5	0.9245	0.000
907	935	5	0.9618	-14.016
907	936	5	0.8911	-14.016
751	893	5	0.8273	-43.049
875	893	5	0.8584	0.169
718	831	5	0.8933	-42.047
793	831	5	0.9325	-14.016
805	831	5	0.9267	-14.016
812	831	5	0.9114	-14.016
831	885	5	0.967	28.031
831	890	5	0.8984	-14.016
831	891	5	0.9026	42.047
831	901	5	0.8777	-15.189
831	935	5	0.9208	-28.031
738	774	5	0.8631	42.047
738	793	5	0.8716	28.031
738	812	5	0.8688	28.031
738	883	5	0.8973	0.169
738	885	5	0.8889	42.047
738	890	5	0.8868	-0.000
738	935	5	0.9233	-14.016
738	936	5	0.8758	-14.016
793	935	5	0.9281	-42.047
805	935	5	0.9261	-42.047
812	935	5	0.8919	-42.047
883	935	5	0.9312	-14.185
885	935	5	0.9296	-56.063
890	935	5	0.9246	-14.016
935	936	5	0.8978	0.000
793	812	5	0.9581	0.000
805	812	5	0.9204	-0.000
812	879	5	0.868	42.047
812	883	5	0.8762	-27.862
718	774	5	0.8963	-14.016
718	879	5	0.8907	14.016
718	884	5	0.8843	42.047
718	885	5	0.8843	-14.016
718	890	5	0.8873	-56.063
718	891	5	0.9894	-0.000
718	896	5	0.9383	28.031
774	891	5	0.8895	14.015
774	896	5	0.8347	42.047
774	936	5	0.8604	-56.063
883	890	5	0.9233	-0.169
885	890	5	0.9321	-42.047
890	891	5	0.8966	56.063
879	885	5	0.8638	-28.031
883	885	5	0.9155	41.878
885	891	5	0.8935	14.015
885	936	5	0.892	-56.063
