CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
2	3	-15.978	0.000	0.7166	0.5779	1
2	6	18.010	0.000	0.7873	0.5514	1
2	9	2.033	0.000	0.7433	0.5134	1
3	4	-23.016	0.000	0.7179	0.5352	1
3	9	18.011	0.000	0.8453	0.5500	1
4	5	-88.931	0.000	0.7264	0.5982	1
6	9	-15.978	0.000	0.7006	0.6235	1
6	145	35.966	0.000	0.8977	0.6211	1
6	183	35.973	0.000	0.9017	0.6462	1
7	637	0.998	0.000	0.7109	0.7300	1
8	121	-0.998	0.000	0.7479	0.8331	1
8	170	-0.000	0.000	0.9477	0.8720	1
8	637	0.000	0.000	0.9168	0.8126	1
8	668	0.000	0.000	0.9467	0.8802	1
8	681	0.000	0.000	0.9293	0.8080	1
8	694	0.000	0.000	0.9472	0.8635	1
8	794	0.000	0.000	0.9476	0.8677	1
8	820	0.000	0.000	0.9621	0.9177	1
8	856	0.000	0.000	0.9458	0.8862	1
8	873	0.000	0.000	0.9390	0.8643	1
8	877	-1.995	0.000	0.9273	0.8795	1
8	954	-1.995	0.000	0.9427	0.8832	1
8	958	0.000	0.000	0.9608	0.9205	1
8	962	-1.995	0.000	0.9415	0.8754	1
8	968	0.000	0.000	0.9225	0.8705	1
10	559	0.000	0.000	0.9656	1.0000	1
13	24	-0.012	0.000	0.8432	0.7417	1
14	19	1.003	0.000	0.8023	0.6819	1
14	133	1.003	0.000	0.7942	0.6587	1
16	34	21.982	0.000	0.7446	0.5472	1
17	28	-37.955	0.000	0.9294	0.5769	1
17	37	37.954	0.000	0.9333	0.5648	1
19	133	0.000	0.000	0.9808	0.9322	1
20	28	-200.140	0.000	0.8691	0.4789	1
20	29	-238.096	0.000	0.8060	0.4107	1
20	34	37.956	0.000	0.9594	0.6442	1
20	38	-83.961	0.000	0.7969	0.4826	1
20	39	108.132	0.000	0.9458	0.6424	1
20	43	158.976	0.000	0.9419	0.5988	1
21	23	-238.096	0.000	0.8276	0.7502	1
21	26	-0.003	0.000	0.9612	0.7612	1
23	26	238.093	0.000	0.8374	0.7502	1
23	46	359.112	0.000	0.8533	0.5870	1
23	182	276.048	0.000	0.7875	0.4905	1
27	182	-128.086	0.000	0.7248	0.4636	1
28	29	-37.956	0.000	0.9184	0.5996	1
28	32	392.233	0.000	0.8655	0.4694	1
28	34	238.095	0.000	0.9014	0.5564	1
28	37	75.909	0.000	0.9162	0.6056	1
28	38	116.178	0.000	0.7260	0.4861	1
28	39	308.272	0.000	0.8540	0.5006	1
29	34	276.052	0.000	0.8055	0.4253	1
29	38	154.135	0.000	0.9447	0.5854	1
30	40	28.010	0.000	0.7541	0.5139	1
30	124	-0.000	0.000	0.9557	0.8246	1
30	127	21.521	0.000	0.7858	0.5623	1
30	136	28.010	0.000	0.7583	0.5121	1
30	143	-0.000	0.000	0.9741	0.8877	1
30	161	-0.000	0.000	0.9751	0.8879	1
32	39	-83.961	0.000	0.9478	0.6742	1
33	141	-0.000	0.000	0.9119	0.8271	1
35	191	-0.000	0.000	0.8633	0.7326	1
35	198	-0.000	0.000	0.8754	0.7859	1
35	200	-0.000	0.000	0.8672	0.7610	1
35	474	-116.063	0.000	0.7167	0.5537	1
35	493	-116.063	0.000	0.7260	0.5383	1
36	37	-238.099	0.000	0.9230	0.6681	1
36	46	83.063	0.000	0.8528	0.4898	1
36	63	121.020	0.000	0.9189	0.5452	1
36	87	43.042	0.000	0.9779	0.7761	1
36	117	-0.000	0.000	0.9745	0.7771	1
36	182	-0.000	0.000	0.9325	0.6275	1
37	87	281.141	0.000	0.9038	0.6114	1
37	117	238.099	0.000	0.9210	0.6879	1
37	182	238.098	0.000	0.8699	0.5284	1
38	39	192.093	0.000	0.8870	0.5856	1
40	124	-28.010	0.000	0.7261	0.4872	1
40	127	-6.489	0.000	0.7114	0.4339	1
40	136	-0.000	0.000	0.9850	0.9160	1
40	143	-28.010	0.000	0.7631	0.5171	1
40	161	-28.010	0.000	0.7284	0.4985	1
43	46	37.955	0.000	0.9451	0.7537	1
43	47	-117.079	0.000	0.8939	0.6750	1
43	49	158.976	0.000	0.9547	0.6988	1
43	50	-42.065	0.000	0.8024	0.5242	1
43	52	-234.158	0.000	0.8076	0.4477	1
43	158	158.976	0.000	0.9517	0.6792	1
43	165	158.976	0.000	0.9659	0.7118	1
43	185	158.976	0.000	0.9727	0.8009	1
44	45	-15.974	0.000	0.8600	0.9515	1
44	167	-0.471	0.000	0.9218	0.7485	1
44	176	-0.471	0.000	0.9184	0.7581	1
46	47	-155.034	0.000	0.8970	0.6750	1
46	49	121.020	0.000	0.9114	0.5692	1
46	52	-272.113	0.000	0.7577	0.4148	1
46	54	3.942	0.000	0.8267	0.4798	1
46	63	37.957	0.000	0.8966	0.6126	1
46	131	-121.020	0.000	0.7762	0.5114	1
46	158	121.020	0.000	0.9188	0.6393	1
46	165	121.020	0.000	0.9174	0.6143	1
46	178	121.020	0.000	0.9171	0.5695	1
46	185	121.020	0.000	0.9285	0.6575	1
47	50	75.014	0.000	0.9433	0.6619	1
47	52	-117.079	0.000	0.9446	0.6543	1
47	53	-234.158	0.000	0.9164	0.6231	1
47	54	158.976	0.000	0.8976	0.5058	1
47	57	-79.123	0.000	0.9345	0.6371	1
47	58	-75.182	0.000	0.8898	0.6286	1
47	59	-196.201	0.000	0.8857	0.6001	1
47	61	-192.261	0.000	0.8682	0.6052	1
47	62	-309.340	0.000	0.8100	0.5392	1
47	165	276.054	0.000	0.8563	0.5205	1
47	185	276.054	0.000	0.8596	0.5212	1
48	68	21.982	0.000	0.9567	0.7196	1
48	165	-15.974	0.000	0.9737	0.7352	1
48	178	-15.974	0.000	0.9733	0.7386	1
48	179	-1.003	0.000	0.7740	0.8577	1
48	185	-15.974	0.000	0.9808	0.8231	1
48	188	-0.000	0.000	0.9920	0.8766	1
48	190	-1.003	0.000	0.7796	0.8111	1
48	193	-0.000	0.000	0.9886	0.8018	1
48	196	-1.003	0.000	0.7825	0.8596	1
48	203	-1.003	0.000	0.7790	0.8123	1
48	205	-0.000	0.000	0.9843	0.7684	1
48	208	-0.000	0.000	0.9875	0.8153	1
49	158	-0.000	0.000	0.9764	0.7385	1
49	185	-0.000	0.000	0.9760	0.7400	1
49	188	15.974	0.000	0.9678	0.7400	1
49	193	15.974	0.000	0.9710	0.7322	1
49	205	15.974	0.000	0.9653	0.6958	1
49	208	15.974	0.000	0.9656	0.7224	1
50	52	-192.093	0.000	0.9175	0.5846	1
50	54	83.962	0.000	0.8832	0.4703	1
50	57	-154.137	0.000	0.9648	0.6562	1
50	58	-150.197	0.000	0.9105	0.5954	1
50	59	-271.216	0.000	0.9245	0.5661	1
50	62	-384.355	0.000	0.8450	0.5036	1
50	165	201.040	0.000	0.8051	0.5014	1
50	178	201.040	0.000	0.8093	0.4976	1
50	185	201.040	0.000	0.8068	0.5038	1
52	53	-117.079	0.000	0.9394	0.7074	1
52	54	276.055	0.000	0.8755	0.5582	1
52	56	158.975	0.000	0.8705	0.4895	1
52	57	37.956	0.000	0.9044	0.5444	1
52	58	41.897	0.000	0.9148	0.6053	1
52	59	-79.122	0.000	0.8772	0.6326	1
52	61	-75.182	0.000	0.9091	0.6262	1
52	62	-192.261	0.000	0.8386	0.6322	1
52	158	393.133	0.000	0.7816	0.3753	1
52	165	393.133	0.000	0.7905	0.4179	1
52	185	393.133	0.000	0.7945	0.4317	1
53	54	393.134	0.000	0.8348	0.4836	1
53	58	158.976	0.000	0.8958	0.5952	1
53	59	37.957	0.000	0.8306	0.5488	1
53	61	41.897	0.000	0.9187	0.6476	1
53	62	-75.182	0.000	0.8717	0.6350	1
54	56	-117.079	0.000	0.8601	0.4745	1
54	57	-238.099	0.000	0.8804	0.4793	1
54	62	-468.316	0.000	0.7608	0.4809	1
54	165	117.079	0.000	0.8450	0.4669	1
54	207	15.974	0.000	0.8377	0.5024	1
