SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi
CCMSLIB00006119170	595	spectra_filtered.mgf	BIRMINGHAM-UHPLC-MS-POS.mgf	0.996034	7785310.0	0	5411.24	7	0.947632	176.071	1	temp/spectra_filtered.mgf595	1	Gramine - 30.0 eV	ESI	Orbitrap	Isolated	PI	Data Collector	M+H	175.123	0.0	1		N/A	CN(C)Cc1c[nH]c2c1cccc2	InChI=1S/C11H14N2/c1-13(2)8-9-7-12-11-6-4-3-5-10(9)11/h3-7,12H,8H2,1-2H3	N/A	1	Positive	BIRMINGHAM-UHPLC-MS-POS	175.123	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C11H14N2	OCDGBSUVYYVKQZ-UHFFFAOYSA-N	OCDGBSUVYYVKQZ	Organoheterocyclic compounds	Indoles and derivatives	Indoles	Tryptophan alkaloids	Simple indole alkaloids	Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006119170
CCMSLIB00003140080	135	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.99474	14471900.0	0	2.00021	9	0.000366211	183.086	1	temp/spectra_filtered.mgf135	1	Spectral Match to D-Mannitol from NIST14	ESI	qTof	Isolated	Data from Joshua Wollam	Data deposited by fevargas	M+H	183.086	182.079	1	69658	N/A	C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O	InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4-,5-,6-/m1/s1	N/A	3	Positive	GNPS-NIST14-MATCHES	183.086	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C6H14O6	FBPFZTCFMRRESA-KVTDHHQDSA-N	FBPFZTCFMRRESA	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Saccharides	Monosaccharides	Carbohydrates	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003140080
CCMSLIB00003136083	203	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.993538	7118070.0	0	49.8386	8	0.00912476	183.077	1	temp/spectra_filtered.mgf203	1	Spectral Match to D-Sorbitol from NIST14	ESI	qTof	Isolated	Data from Joshua Wollam	Data deposited by fevargas	M+H	183.086	182.079	1	50704	N/A	C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O	InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4+,5-,6-/m1/s1	N/A	3	Positive	GNPS-NIST14-MATCHES	183.086	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C6H14O6	FBPFZTCFMRRESA-JGWLITMVSA-N	FBPFZTCFMRRESA	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Saccharides	Monosaccharides	Carbohydrates	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003136083
CCMSLIB00003136083	102	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.992075	4864970.0	0	54.5891	8	0.00999451	183.096	1	temp/spectra_filtered.mgf102	1	Spectral Match to D-Sorbitol from NIST14	ESI	qTof	Isolated	Data from Joshua Wollam	Data deposited by fevargas	M+H	183.086	182.079	1	50704	N/A	C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O	InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4+,5-,6-/m1/s1	N/A	3	Positive	GNPS-NIST14-MATCHES	183.086	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C6H14O6	FBPFZTCFMRRESA-JGWLITMVSA-N	FBPFZTCFMRRESA	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Saccharides	Monosaccharides	Carbohydrates	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003136083
CCMSLIB00003136083	202	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.99087	4232220.0	0	54.7558	8	0.010025	183.096	1	temp/spectra_filtered.mgf202	1	Spectral Match to D-Sorbitol from NIST14	ESI	qTof	Isolated	Data from Joshua Wollam	Data deposited by fevargas	M+H	183.086	182.079	1	50704	N/A	C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O	InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4+,5-,6-/m1/s1	N/A	3	Positive	GNPS-NIST14-MATCHES	183.086	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C6H14O6	FBPFZTCFMRRESA-JGWLITMVSA-N	FBPFZTCFMRRESA	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Saccharides	Monosaccharides	Carbohydrates	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003136083
CCMSLIB00010113136	762	spectra_filtered.mgf	BERKELEY-LAB.mgf	0.98884	263603000.0	0	0.955484	8	0.000396729	415.212	1	temp/spectra_filtered.mgf762	1	"""1-({[2-(2-furylmethyl)-5-methylpyrrolidinyl]amino}methylene)-7-[8-({[2-(2-fury lmethyl)pyrrolidinyl]amino}methylene)-1,6-dihydroxy-3-methyl-5-(methylethyl)-7 -oxo(2-naphthyl)]-3,8-dihydroxy-6-methyl-4-(methylethyl)naphthalen-2-one CollisionEnergy:102040"""	LC-ESI	Orbitrap	Commercial	Trent Northen	JGI	M+2H]	415.212	0.0	1	N/A	N/A	Cc1cc2c(c(O)c1-c1c(C)cc3c(c1O)C(=CNN1C(C)CCC1Cc1ccco1)C(=O)C(O)=C3C(C)C)C(=CNN1CCCC1Cc1ccco1)C(=O)C(O)=C2C(C)C	"""InChI=1S/C49H56N4O8/c1-25(2)38-34-19-27(5)40(46(56)42(34)36(44(54)48(38)58)23-50-52-16-8-11-30(52)21-32-12-9-17-60-32)41-28(6)20-35-39(26(3)4)49(59)45(55)37(43(35)47(41)57)24-51-53-29(7)14-15-31(53)22-33-13-10-18-61-33/h9-10,12-13,17-20,23-26,29-31,50-51,56-59H,8,11,14-16,21-22H2,1-7H3/b36-23-,37-24-"""	N/A	3	Positive	BERKELEY-LAB	415.212	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C49H56N4O8	OZMHKRBQDGOIDU-UHFFFAOYSA-N	OZMHKRBQDGOIDU	N/A	N/A	N/A				mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010113136
CCMSLIB00005463949	55	spectra_filtered.mgf	GNPS-MSMLS.mgf	0.986417	102035000.0	0	0.237355	6	6.10352e-05	257.147	1	temp/spectra_filtered.mgf55	1	BETAINE	ESI	Orbitrap	Commercial	Dorrestein	Kelly Weldon	2M+Na	257.147	117.079	1	107-43-7	N/A	C[N+](C)(C)CC([O-])=O	"""InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3"""	N/A	1	Positive	GNPS-MSMLS	257.147	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		N/A	KWIUHFFTVRNATP-UHFFFAOYSA-N	KWIUHFFTVRNATP	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00005463949
CCMSLIB00005463949	199	spectra_filtered.mgf	GNPS-MSMLS.mgf	0.985684	27692600.0	0	0.47471	6	0.00012207	257.147	1	temp/spectra_filtered.mgf199	1	BETAINE	ESI	Orbitrap	Commercial	Dorrestein	Kelly Weldon	2M+Na	257.147	117.079	1	107-43-7	N/A	C[N+](C)(C)CC([O-])=O	"""InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3"""	N/A	1	Positive	GNPS-MSMLS	257.147	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		N/A	KWIUHFFTVRNATP-UHFFFAOYSA-N	KWIUHFFTVRNATP	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00005463949
CCMSLIB00005463949	217	spectra_filtered.mgf	GNPS-MSMLS.mgf	0.985623	28945100.0	0	0.593388	6	0.000152588	257.147	1	temp/spectra_filtered.mgf217	1	BETAINE	ESI	Orbitrap	Commercial	Dorrestein	Kelly Weldon	2M+Na	257.147	117.079	1	107-43-7	N/A	C[N+](C)(C)CC([O-])=O	"""InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3"""	N/A	1	Positive	GNPS-MSMLS	257.147	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		N/A	KWIUHFFTVRNATP-UHFFFAOYSA-N	KWIUHFFTVRNATP	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00005463949
CCMSLIB00004684185	243	spectra_filtered.mgf	GNPS-LIBRARY.mgf	0.98362	1349680.0	0	0.945343	9	0.000335693	355.102	1	temp/spectra_filtered.mgf243	1	Chlorogenic acid	LC-ESI	Orbitrap	Isolated	Gleixner	Carsten Simon	M+H	355.102	354.095	1	327-97-9	1794427	C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O	InChI=1S/C16H18O9/c17-9-3-1-8(5-10(9)18)2-4-13(20)25-12-7-16(24,15(22)23)6-11(19)14(12)21/h1-5,11-12,14,17-19,21,24H,6-7H2,(H,22,23)/b4-2+/t11-,12-,14-,16+/m1/s1	 	3	Positive	GNPS-LIBRARY	355.102	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C16H18O9	CWVRJTMFETXNAD-UHFFFAOYSA-N	CWVRJTMFETXNAD	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00004684185
