#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
595	spectra_filtered.mgf	*..*		:3853	3853	-1	0	175.123	1	0.996034	0	0	54707900.0	7785310.0	Gramine - 30.0 eV M+H	BIRMINGHAM-UHPLC-MS-POS	temp/spectra_filtered.mgf595	-1	BIRMINGHAM-UHPLC-MS-POS.mgf	5411.24				7	0	0.947632	176.071	0	CCMSLIB00006119170
135	spectra_filtered.mgf	*..*		:15	5593	-1	0	183.086	1	0.99474	0	0	1331950.0	14471900.0	Spectral Match to D-Mannitol from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf135	-1	GNPS-NIST14-MATCHES.mgf	2.00021				9	0	0.000366211	183.086	0	CCMSLIB00003140080
203	spectra_filtered.mgf	*..*		:24	1596	-1	0	183.086	1	0.993538	0	0	100779.0	7118070.0	Spectral Match to D-Sorbitol from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf203	-1	GNPS-NIST14-MATCHES.mgf	49.8386				8	0	0.00912476	183.077	0	CCMSLIB00003136083
102	spectra_filtered.mgf	*..*		:24	1596	-1	0	183.086	1	0.992075	0	0	100779.0	4864970.0	Spectral Match to D-Sorbitol from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf102	-1	GNPS-NIST14-MATCHES.mgf	54.5891				8	0	0.00999451	183.096	0	CCMSLIB00003136083
202	spectra_filtered.mgf	*..*		:24	1596	-1	0	183.086	1	0.99087	0	0	100779.0	4232220.0	Spectral Match to D-Sorbitol from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf202	-1	GNPS-NIST14-MATCHES.mgf	54.7558				8	0	0.010025	183.096	0	CCMSLIB00003136083
762	spectra_filtered.mgf	*..*		:10702	11148	-1	0	415.212	1	0.98884	0	0	4896590.0	263603000.0	1-({[2-(2-furylmethyl)-5-methylpyrrolidinyl]amino}methylene)-7-[8-({[2-(2-fury lmethyl)pyrrolidinyl]amino}methylene)-1,6-dihydroxy-3-methyl-5-(methylethyl)-7 -oxo(2-naphthyl)]-3,8-dihydroxy-6-methyl-4-(methylethyl)naphthalen-2-one CollisionEnergy:102040 M+2H]	BERKELEY-LAB	temp/spectra_filtered.mgf762	-1	BERKELEY-LAB.mgf	0.955484				8	0	0.000396729	415.212	0	CCMSLIB00010113136
55	spectra_filtered.mgf	*..*		:21	198	-1	0	257.147	1	0.986417	0	0	4072860.0	102035000.0	BETAINE 2M+Na	GNPS-MSMLS	temp/spectra_filtered.mgf55	-1	GNPS-MSMLS.mgf	0.237355				6	0	6.10352e-05	257.147	0	CCMSLIB00005463949
199	spectra_filtered.mgf	*..*		:21	198	-1	0	257.147	1	0.985684	0	0	4072860.0	27692600.0	BETAINE 2M+Na	GNPS-MSMLS	temp/spectra_filtered.mgf199	-1	GNPS-MSMLS.mgf	0.47471				6	0	0.00012207	257.147	0	CCMSLIB00005463949
217	spectra_filtered.mgf	*..*		:21	198	-1	0	257.147	1	0.985623	0	0	4072860.0	28945100.0	BETAINE 2M+Na	GNPS-MSMLS	temp/spectra_filtered.mgf217	-1	GNPS-MSMLS.mgf	0.593388				6	0	0.000152588	257.147	0	CCMSLIB00005463949
243	spectra_filtered.mgf	*..*		:760	3988	-1	0	355.102	1	0.98362	0	0	168477000.0	1349680.0	Chlorogenic acid M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf243	-1	GNPS-LIBRARY.mgf	0.945343				9	0	0.000335693	355.102	0	CCMSLIB00004684185
810	spectra_filtered.mgf	*..*		:10702	11148	-1	0	415.212	1	0.978362	0	0	4896590.0	1927670.0	1-({[2-(2-furylmethyl)-5-methylpyrrolidinyl]amino}methylene)-7-[8-({[2-(2-fury lmethyl)pyrrolidinyl]amino}methylene)-1,6-dihydroxy-3-methyl-5-(methylethyl)-7 -oxo(2-naphthyl)]-3,8-dihydroxy-6-methyl-4-(methylethyl)naphthalen-2-one CollisionEnergy:102040 M+2H]	BERKELEY-LAB	temp/spectra_filtered.mgf810	-1	BERKELEY-LAB.mgf	1.24948				6	0	0.000518799	415.211	0	CCMSLIB00010113136
786	spectra_filtered.mgf	*..*		:10702	11148	-1	0	415.212	1	0.977272	0	0	4896590.0	9267810.0	1-({[2-(2-furylmethyl)-5-methylpyrrolidinyl]amino}methylene)-7-[8-({[2-(2-fury lmethyl)pyrrolidinyl]amino}methylene)-1,6-dihydroxy-3-methyl-5-(methylethyl)-7 -oxo(2-naphthyl)]-3,8-dihydroxy-6-methyl-4-(methylethyl)naphthalen-2-one CollisionEnergy:102040 M+2H]	BERKELEY-LAB	temp/spectra_filtered.mgf786	-1	BERKELEY-LAB.mgf	1.32298				8	0	0.000549316	415.211	0	CCMSLIB00010113136
745	spectra_filtered.mgf	*..*		:10702	11148	-1	0	415.212	1	0.974457	0	0	4896590.0	692085.0	1-({[2-(2-furylmethyl)-5-methylpyrrolidinyl]amino}methylene)-7-[8-({[2-(2-fury lmethyl)pyrrolidinyl]amino}methylene)-1,6-dihydroxy-3-methyl-5-(methylethyl)-7 -oxo(2-naphthyl)]-3,8-dihydroxy-6-methyl-4-(methylethyl)naphthalen-2-one CollisionEnergy:102040 M+2H]	BERKELEY-LAB	temp/spectra_filtered.mgf745	-1	BERKELEY-LAB.mgf	1.17598				6	0	0.000488281	415.212	0	CCMSLIB00010113136
115	spectra_filtered.mgf	*..*		:13240	13240	-1	0	176.071	1	0.966598	0	0	107.305	1071730.0	7-Amino-4-methylcoumarin [M+H]+	MSNLIB-POSITIVE	temp/spectra_filtered.mgf115	-1	MSNLIB-POSITIVE.mgf	354.017				6	0	0.0623322	176.009	0	CCMSLIB00012287541
1246	spectra_filtered.mgf	*..*		:8563	283	-1	0	185.081	0	0.965944	0	0	9596610.0	940828.0	Asperlactone M+H	TUEBINGEN-NATURAL-PRODUCT-COLLECTION	temp/spectra_filtered.mgf1246	-1	TUEBINGEN-NATURAL-PRODUCT-COLLECTION.mgf	1037.23				8	0	0.191971	184.889	0	CCMSLIB00011906249
182	spectra_filtered.mgf	*..*		:24	1596	-1	0	183.086	1	0.963726	0	0	100779.0	7986090.0	Spectral Match to D-Sorbitol from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf182	-1	GNPS-NIST14-MATCHES.mgf	49.8386				7	0	0.00912476	183.077	0	CCMSLIB00003136083
793	spectra_filtered.mgf	*..*		:1	487	-1	0	288.253	1	0.963419	0	0	293681000.0	365066.0	Lauryl diethanolamide M+H	CASMI	temp/spectra_filtered.mgf793	-1	CASMI.mgf	0.952837				7	0	0.000274658	288.253	0	CCMSLIB00000579850
121	spectra_filtered.mgf	*..*		:18571	19017	-1	0	241.095	1	0.960754	0	0	10331800.0	3009250.0	N-Formylcytisine CollisionEnergy:205060 M+Na	BERKELEY-LAB	temp/spectra_filtered.mgf121	-1	BERKELEY-LAB.mgf	445.748				9	0	0.107468	240.988	0	CCMSLIB00010121006
661	spectra_filtered.mgf	*..*		:966	966	-1	0	228.196	1	0.957788	0	0	198338.0	367958.0	Cycloleucine_2-Heptanone (known isomers: 0; isobaric peaks in run: 1) [M+H]+	GNPS-ALKYLAMINES-LIBRARY	temp/spectra_filtered.mgf661	-1	GNPS-ALKYLAMINES-LIBRARY.mgf	0.735537				10	0	0.000167847	228.196	0	CCMSLIB00016343993
251	spectra_filtered.mgf	*..*		:1	5125	-1	0	355.101	1	0.956942	0	0	161361000.0	406652.0	Chlorogenic acid-emf M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf251	-1	GNPS-LIBRARY.mgf	3.69544				6	0	0.00131226	355.102	0	CCMSLIB00005463717
127	spectra_filtered.mgf	*..*		:1240	7677	-1	0	302.079	1	0.956878	0	0	1327010.0	1376490.0	2-(2H-1,3-benzodioxol-5-yl)-1-methyl-1,4-dihydroquinolin-4-one M+Na	GNPS-LIBRARY	temp/spectra_filtered.mgf127	-1	GNPS-LIBRARY.mgf	402.181				12	0	0.12149	301.958	0	CCMSLIB00005725188
229	spectra_filtered.mgf	*..*		:620	2573	-1	0	188.07	1	0.9536	0	0	4792390.0	393036.0	Spectral Match to L-Tryptophan from NIST14 M+H-NH3	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf229	-1	GNPS-NIST14-MATCHES.mgf	3.32648				6	0	0.00062561	188.071	0	CCMSLIB00003137060
1330	spectra_filtered.mgf	*..*		:4508	4130	-1	0	531.406	1	0.951988	0	0	1898880.0	1096370.0	Spectral Match to Didodecyl 3,3'-thiodipropionate oxide from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf1330	-1	GNPS-NIST14-MATCHES.mgf	4.24967				10	0	0.0022583	531.408	0	CCMSLIB00003138617
838	spectra_filtered.mgf	*..*		:3738	4340	-1	0	277.216	1	0.951751	0	0	1654100.0	265261.0	Spectral Match to 9S-Hydroxy-10E,12Z,15Z-octadecatrienoic acid from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf838	-1	GNPS-NIST14-MATCHES.mgf	0.880687				11	0	0.000244141	277.216	0	CCMSLIB00003138827
1214	spectra_filtered.mgf	*..*		:301	14162	-1	0	165.076	1	0.941302	0	0	73527700.0	80479.7	Mannitol M+H-H2O	GNPS-LIBRARY	temp/spectra_filtered.mgf1214	-1	GNPS-LIBRARY.mgf	1.20165				7	0	0.000198364	165.076	0	CCMSLIB00012176426
111	spectra_filtered.mgf	*..*		:90099	190538	-1	0	158.025	1	0.937459	0	0	209.972	738113.0	5-FLUORO-2-HYDROXYNICOTINIC ACID [M+H]+	MSNLIB-POSITIVE	temp/spectra_filtered.mgf111	-1	MSNLIB-POSITIVE.mgf	60.6393				6	0	0.00958252	158.035	0	CCMSLIB00012989855
112	spectra_filtered.mgf	*..*		:90099	190538	-1	0	158.025	1	0.937459	0	0	209.972	738113.0	5-FLUORO-2-HYDROXYNICOTINIC ACID [M+H]+	MSNLIB-POSITIVE	temp/spectra_filtered.mgf112	-1	MSNLIB-POSITIVE.mgf	85.1653				6	0	0.0134583	158.038	0	CCMSLIB00012989855
1148	spectra_filtered.mgf	*..*		:4684	5620	-1	0	283.26	1	0.933641	0	0	2285130.0	224080000.0	Spectral Match to 3-Hydroxyoctadecanoic Acid from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf1148	-1	GNPS-NIST14-MATCHES.mgf	4057.81				11	0	1.14941	282.111	0	CCMSLIB00003140107
106	spectra_filtered.mgf	*..*		:26612	46478	-1	0	144.066	1	0.932818	0	0	308.115	4875360.0	4-Hydroxy-6-Methylpyran-2-One [M+NH4]+	MONA	temp/spectra_filtered.mgf106	-1	MONA.mgf	13345.7				8	0	1.92267	145.989	0	CCMSLIB00004719078
132	spectra_filtered.mgf	*..*		:301	14162	-1	0	165.076	1	0.931291	0	0	73527700.0	9863290.0	Mannitol M+H-H2O	GNPS-LIBRARY	temp/spectra_filtered.mgf132	-1	GNPS-LIBRARY.mgf	1.29409				7	0	0.000213623	165.076	0	CCMSLIB00012176426
126	spectra_filtered.mgf	*..*		:995	7303	-1	0	273.1	1	0.93057	0	0	627799.0	1598510.0	2-benzyl-1-methyl-1,4-dihydroquinazolin-4-one M+Na	GNPS-LIBRARY	temp/spectra_filtered.mgf126	-1	GNPS-LIBRARY.mgf	3158.59				12	0	0.86261	273.963	0	CCMSLIB00005724814
113	spectra_filtered.mgf	*..*		:83190	183629	-1	0	159.055	1	0.930477	0	0	216.036	947902.0	3-methylimidazo[1,5-a]pyridine-1-carboxylic acid [M+H-H2O]+	MSNLIB-POSITIVE	temp/spectra_filtered.mgf113	-1	MSNLIB-POSITIVE.mgf	151.288				7	0	0.0240631	159.031	0	CCMSLIB00012884718
