cluster index	parent mass	RTMean	ATTRIBUTE_Group:GNPSGROUP:nan	ATTRIBUTE_Group:GNPSGROUP:BB	ATTRIBUTE_Group:GNPSGROUP:IAA	ATTRIBUTE_Group:GNPSGROUP:Pt	ATTRIBUTE_Group:GNPSGROUP:QC	ATTRIBUTE_Group:GNPSGROUP:wt	ATTRIBUTE_Group_detailed:GNPSGROUP:nan	ATTRIBUTE_Group_detailed:GNPSGROUP:Pt_1	ATTRIBUTE_Group_detailed:GNPSGROUP:Pt_2	ATTRIBUTE_Group_detailed:GNPSGROUP:wt_1	ATTRIBUTE_Group_detailed:GNPSGROUP:wt_2	ATTRIBUTE_Group_super_detailed:GNPSGROUP:nan	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_1A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_1B	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_2A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_2B	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_1A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_1B	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_2A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_2B	ATTRIBUTE_time_point:GNPSGROUP:nan	ATTRIBUTE_time_point:GNPSGROUP:0m	ATTRIBUTE_time_point:GNPSGROUP:20m	ATTRIBUTE_plant_extract:GNPSGROUP:nan	ATTRIBUTE_plant_extract:GNPSGROUP:A	ATTRIBUTE_plant_extract:GNPSGROUP:B	ATTRIBUTE_gene_time:GNPSGROUP:nan	ATTRIBUTE_gene_time:GNPSGROUP:Pt_0m	ATTRIBUTE_gene_time:GNPSGROUP:Pt_20m	ATTRIBUTE_gene_time:GNPSGROUP:wt_0m	ATTRIBUTE_gene_time:GNPSGROUP:wt_20m
1	237.9084062656104	0.47731388	0	0.0	0.0	315231.34125	518081.2966666667	265040.1057142857	0	307318.6625	323144.02	229311.1625	312678.6966666667	0	302167.125	312470.2	334007.07999999996	312280.95999999996	226207.375	232414.95	295628.75	321203.67000000004	0	279104.7542857143	302924.77375	0	288627.4157142857	294592.445	0	318492.9925	311969.69	226587.10333333336	293879.8575
2	265.903262612234	0.47754738	0	0.0	0.0	309079.7025	516124.5683333333	265702.96142857143	0	309553.89749999996	308605.5075	218826.5075	328204.89999999997	0	288006.0	331101.79500000004	305807.32999999996	311403.685	223968.53	213684.485	352807.2	315903.75	0	264672.63	309981.2425	0	284052.9885714286	293023.42875	0	305673.8125	312485.5925	210004.3866666667	307476.8925
3	250.9387409470065	0.47776312	0	0.0	0.0	268802.63375	885873.7133333334	185171.12285714288	0	313431.5975	224173.66999999998	131278.9075	257027.41	0	305424.635	321438.56	165469.15	282878.19	141504.08	121053.735	380727.03	195177.6	0	182334.3371428571	271284.82125	0	229360.39428571428	230137.02125	0	221496.28999999998	316108.9775	130118.40000000001	226460.665
4	273.9548943340909	0.4824294	0	0.0	0.0	63513.90375	823280.0483333333	0.0	0	85701.86499999999	41325.9425	0.0	0.0	0	171403.72999999998	0.0	82651.885	0.0	0.0	0.0	0.0	0.0	0	23856.911428571428	42639.10625	0	72587.31857142856	0.0	0	41749.595	85278.2125	0.0	0.0
5	362.8860140273186	0.480789	0	0.0	0.0	84138.37625	1095563.9833333334	64195.719999999994	0	103030.4675	65246.285	0.0	149790.01333333334	0	206060.935	0.0	130492.57	0.0	0.0	0.0	237753.02	105808.51	0	31019.385714285716	113167.66875	0	130122.86142857143	26452.1275	0	54283.925	113992.82750000001	0.0	112342.51
6	158.00297870445746	0.48430616	0	351876.94	305691.22	551372.9762500001	288419.39499999996	527211.5371428572	0	555168.9375	547577.015	495607.81000000006	569349.84	0	555103.125	555234.75	541522.18	553631.85	514648.68000000005	476566.94	561218.56	573415.48	0	518391.2128571429	559090.76	0	540538.0757142857	539712.255	0	548375.0874999999	554370.865	478412.7133333334	563810.655
7	474.8335388421433	0.4825553	0	0.0	0.0	0.0	1254704.7666666666	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0
8	232.9282731764564	0.48259857	0	0.0	0.0	1174914.9825	6058028.25	954208.8742857144	0	1203113.575	1146716.39	724185.655	1260906.5	0	1212396.75	1193830.4	1146957.8	1146474.98	738936.65	709434.66	1260429.5	1261145.0	0	893407.4685714286	1228116.2125	0	1065287.4142857143	1077721.26	0	1055517.34	1294312.625	677260.9733333333	1161919.8
9	255.9440514748515	0.48611215	0	0.0	0.0	315947.82999999996	1985391.45	237366.76285714286	0	345966.0975	285929.5625	156477.625	345218.9466666667	0	373189.61	318742.58499999996	279544.93999999994	292314.185	169378.83	143576.42	320774.12	357441.36	0	235144.7657142857	317892.0775	0	280714.4114285714	278018.6375	0	296586.95749999996	335308.7025	153221.84333333335	300475.4525
10	344.8753603351004	0.4855052	0	0.0	0.0	309038.57875	2172931.0	255362.50285714286	0	323921.72750000004	294155.43	163028.72999999998	378474.2	0	379023.655	268819.8	310409.52	277901.33999999997	159455.36	166602.1	336260.22	399581.19	0	195559.43714285715	361366.26125	0	290576.7557142857	278226.1075	0	217172.945	400904.2125	166741.42666666667	321828.31
11	216.95060190204936	0.4847262	0	0.0	0.0	275869.5075	1601037.3499999999	261515.51142857145	0	296822.15750000003	254916.8575	181612.27500000002	368053.16	0	272002.365	321641.95	261776.3	248057.41499999998	206005.1	157219.45	373526.88	365316.30000000005	0	187509.86285714287	340624.45	0	264727.7728571429	273058.77875	0	219417.285	332321.73	144966.63333333333	348927.17000000004
12	144.9568924343024	0.47587046	0	774332.06	755942.8	841405.99375	806718.1066666668	835023.4828571428	0	844055.4475	838756.54	871678.45	786150.1933333334	0	834295.595	853815.3	856528.48	820984.6	885671.675	857685.225	763208.94	797620.82	0	857905.7757142857	821383.9875	0	845171.4914285714	832526.48625	0	827750.2849999999	855061.7025	898113.0966666667	787706.2725
13	198.9400874971168	0.4882829	0	0.0	0.0	214484.585	1716119.9000000001	261675.72857142854	0	263592.045	165377.125	163608.61	392431.88666666666	0	237747.995	289436.095	202982.585	127771.665	182401.36	144815.86	345443.38	415926.14	0	154610.69571428574	308166.48875	0	227386.75142857144	244487.44	0	143906.8275	285062.34249999997	168882.52	331270.635
14	143.9590598153611	0.48354566	0	443997.72	447109.56	516027.24624999997	518664.5433333333	504708.5857142857	0	524438.58	507615.9125	510066.69500000007	497564.43999999994	0	527817.72	521059.43999999994	516237.315	498994.51	486346.63	533786.76	448028.94	522332.18999999994	0	536909.9042857143	487851.09249999997	0	501261.7528571429	519043.225	0	516489.8575	515564.635	564136.6333333333	460137.55
15	214.9176352712928	0.48829797	0	0.0	0.0	2679048.625	17113292.166666668	2197524.9257142856	0	2784535.25	2573562.0	1587176.12	3011323.3333333335	0	2705145.8	2863924.7	2570855.15	2576268.85	1654899.27	1519452.97	2755688.2	3139140.9	0	2037634.0400000003	2818953.15	0	2373926.9485714287	2524696.855	0	2350619.0	3007478.25	1620320.76	2630428.05
16	131.11799132340545	0.4870563	0	2045178.0	159455.31	583494.7525000001	1471467.5333333332	501841.6257142857	0	592973.0775	574016.4275	456633.5025	562119.1233333334	0	621219.905	564726.25	566700.0800000001	581332.775	484951.48	428315.525	512787.44	586784.9650000001	0	524601.8814285714	563579.52875	0	551218.6242857144	540289.87875	0	592437.7025	574551.8025	434154.11999999994	552607.255
17	277.05411680468694	0.5007086	0	0.0	0.0	24768799.5	13128018.333333334	22959619.85714286	0	20362293.0	29175306.0	18543675.25	28847546.0	0	27946839.0	12777747.0	30169200.0	28181412.0	20154180.0	16933170.5	29982700.0	28279969.0	0	23441046.42857143	24347551.25	0	26646162.57142857	21543074.625	0	26862989.5	22674609.5	18878455.666666668	26020493.0
18	295.0633477394781	0.50088674	0	0.0	0.0	5017659.5	10194758.666666666	4209902.914285714	0	5373830.5	4661488.5	3415534.1	5269061.333333333	0	5421889.5	5325771.5	4560780.75	4762196.25	3619419.85	3211648.35	4868690.0	5469247.0	0	4177632.057142857	5045896.5	0	4581838.6	4692215.775	0	4774962.375	5260356.625	3381191.6333333333	4831436.375
