CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1286	1306	1	0.8669	162.053
1289	1306	1	0.7522	-28.031
1267	1289	1	0.8244	162.053
1267	1286	1	0.7301	-28.031
32	198	2	0.7235	-128.086
74	128	2	0.9955	0.000
77	128	2	0.7106	-1.790
78	128	2	0.782	-0.897
80	128	2	0.9177	116.182
91	128	2	0.9965	0.105
95	128	2	0.9963	-0.007
128	130	2	0.7099	1.789
128	192	2	0.9595	-22.088
128	204	2	0.9587	-22.088
128	215	2	0.9637	-22.088
23	34	2	0.9294	-37.955
27	34	2	0.8691	-200.140
34	35	2	0.9184	-37.956
34	39	2	0.8655	392.233
34	41	2	0.9014	238.095
34	43	2	0.9162	75.909
34	44	2	0.726	116.178
34	45	2	0.854	308.272
63	181	2	0.8874	-0.000
84	181	2	0.7991	-21.982
181	200	2	0.8635	0.000
29	198	2	0.7875	276.048
42	198	2	0.9325	-0.000
43	198	2	0.8699	238.098
98	198	2	0.9421	-43.042
129	198	2	0.9295	-0.000
49	169	2	0.9517	158.976
52	169	2	0.9188	121.020
56	169	2	0.9764	-0.000
169	180	2	0.9725	0.000
27	45	2	0.9458	108.132
39	45	2	0.9478	-83.961
44	45	2	0.887	192.093
53	69	2	0.8857	-196.201
57	69	2	0.9245	-271.216
60	69	2	0.8772	-79.122
61	69	2	0.8306	37.957
66	69	2	0.9267	-117.078
68	69	2	0.9431	-121.019
69	71	2	0.9468	3.940
69	72	2	0.9151	-113.139
69	90	2	0.9419	37.955
69	94	2	0.7568	-79.124
23	43	2	0.9333	37.954
42	43	2	0.923	-238.099
43	98	2	0.9038	281.141
43	129	2	0.921	238.099
42	129	2	0.9745	-0.000
98	129	2	0.9757	-43.042
53	66	2	0.9345	-79.123
57	66	2	0.9648	-154.137
60	66	2	0.9044	37.956
62	66	2	0.8804	-238.099
66	68	2	0.9001	3.941
66	72	2	0.8377	-230.217
66	88	2	0.9434	37.956
55	220	2	0.9875	-0.000
56	220	2	0.9656	15.974
78	220	2	0.9506	-21.982
180	220	2	0.9702	15.974
194	220	2	0.9775	15.974
199	220	2	0.9877	-0.000
208	220	2	0.9857	0.000
211	220	2	0.9857	0.000
217	220	2	0.9803	0.000
220	221	2	0.8847	-77.036
74	91	2	0.9972	-0.105
77	91	2	0.7162	-1.895
78	91	2	0.786	-1.003
91	95	2	0.9969	0.112
91	130	2	0.7145	1.895
91	204	2	0.9542	-21.982
74	77	2	0.7087	1.790
74	80	2	0.9196	-116.182
74	95	2	0.996	0.007
74	130	2	0.7077	1.789
74	204	2	0.955	-22.088
77	95	2	0.7122	-1.783
95	130	2	0.7126	1.782
95	192	2	0.9631	-22.095
95	204	2	0.961	-22.095
95	215	2	0.9661	-22.095
86	88	2	0.9136	-3.941
88	89	2	0.8581	-113.138
88	90	2	0.9307	-117.079
88	93	2	0.8474	-230.217
88	94	2	0.8989	-234.158
98	99	2	0.9278	43.042
73	77	2	0.972	121.912
77	78	2	0.9937	-0.892
77	130	2	0.9984	-0.000
26	29	2	0.8276	-238.096
26	33	2	0.9612	-0.003
53	60	2	0.9446	-117.079
57	60	2	0.9175	-192.093
60	61	2	0.9394	-117.079
60	62	2	0.8755	276.055
60	64	2	0.8705	158.975
60	68	2	0.9148	41.897
60	71	2	0.9091	-75.182
60	72	2	0.8386	-192.261
68	89	2	0.7784	-79.123
71	89	2	0.9209	37.956
80	89	2	0.7768	-351.237
84	89	2	0.7832	-234.158
86	89	2	0.8044	-117.079
89	93	2	0.9302	-117.078
89	94	2	0.9343	-121.020
89	96	2	0.8701	-234.157
