CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
5	10	18.011	0.000	0.7306	0.5481	1
6	624	0.000	0.000	0.9601	0.8171	1
7	10	129.958	0.000	0.8330	0.6294	1
8	9	-23.016	0.000	0.7179	0.5352	1
8	11	15.978	0.000	0.7166	0.5779	1
8	15	18.011	0.000	0.8453	0.5500	1
9	10	-88.931	0.000	0.7264	0.5982	1
11	13	18.011	0.000	0.7873	0.5514	1
11	15	2.033	0.000	0.7433	0.5134	1
12	715	0.998	0.000	0.7832	0.8473	1
12	776	0.998	0.000	0.7128	0.7919	1
13	15	-15.978	0.000	0.7006	0.6235	1
13	157	35.966	0.000	0.8977	0.6211	1
13	195	35.973	0.000	0.9017	0.6462	1
14	186	-0.000	0.000	0.9310	0.8986	1
14	715	0.000	0.000	0.9158	0.8190	1
14	776	0.000	0.000	0.9605	0.8971	1
14	1046	0.000	0.000	0.9404	0.9454	1
14	1098	0.000	0.000	0.8989	0.8232	1
14	1127	0.000	0.000	0.9182	0.8951	1
14	1128	-1.995	0.000	0.8840	0.8001	1
14	1230	-1.995	0.000	0.9158	0.8986	1
14	1234	0.000	0.000	0.9336	0.9431	1
14	1241	-1.995	0.000	0.9118	0.8914	1
14	1249	0.000	0.000	0.8839	0.8001	1
14	1272	-1.995	0.000	0.9206	0.8963	1
19	30	-0.012	0.000	0.8432	0.7417	1
20	25	1.003	0.000	0.8023	0.6819	1
20	145	1.003	0.000	0.7942	0.6587	1
22	41	21.982	0.000	0.7446	0.5472	1
23	34	-37.955	0.000	0.9294	0.5769	1
23	43	37.954	0.000	0.9333	0.5648	1
25	145	0.000	0.000	0.9808	0.9322	1
26	29	-238.096	0.000	0.8276	0.7502	1
26	33	-0.003	0.000	0.9612	0.7612	1
27	34	-200.140	0.000	0.8691	0.4789	1
27	35	-238.096	0.000	0.8060	0.4107	1
27	41	37.956	0.000	0.9594	0.6442	1
27	44	-83.961	0.000	0.7969	0.4826	1
27	45	108.132	0.000	0.9458	0.6424	1
27	49	158.976	0.000	0.9419	0.5988	1
29	33	238.093	0.000	0.8374	0.7502	1
29	52	359.112	0.000	0.8533	0.5870	1
29	198	276.048	0.000	0.7875	0.4905	1
32	198	-128.086	0.000	0.7235	0.4433	1
34	35	-37.956	0.000	0.9184	0.5996	1
34	39	392.233	0.000	0.8655	0.4694	1
34	41	238.095	0.000	0.9014	0.5564	1
34	43	75.909	0.000	0.9162	0.6056	1
34	44	116.178	0.000	0.7260	0.4861	1
34	45	308.272	0.000	0.8540	0.5006	1
35	41	276.052	0.000	0.8055	0.4253	1
35	44	154.135	0.000	0.9447	0.5854	1
36	46	28.010	0.000	0.7541	0.5139	1
36	137	-0.000	0.000	0.9557	0.8246	1
36	139	21.521	0.000	0.7858	0.5623	1
36	147	28.010	0.000	0.7513	0.5217	1
36	155	-0.000	0.000	0.9741	0.8877	1
36	173	-0.000	0.000	0.9751	0.8879	1
38	206	-0.000	0.000	0.8633	0.7326	1
38	212	-0.000	0.000	0.8754	0.7859	1
38	530	-116.063	0.000	0.7167	0.5537	1
38	586	-116.063	0.000	0.7260	0.5383	1
39	45	-83.961	0.000	0.9478	0.6742	1
40	153	-0.000	0.000	0.9119	0.8271	1
42	43	-238.099	0.000	0.9230	0.6681	1
42	52	83.063	0.000	0.8528	0.4898	1
42	73	121.020	0.000	0.9189	0.5452	1
42	98	43.042	0.000	0.9779	0.7761	1
42	129	-0.000	0.000	0.9745	0.7771	1
42	198	-0.000	0.000	0.9325	0.6275	1
43	98	281.141	0.000	0.9038	0.6114	1
43	129	238.099	0.000	0.9210	0.6879	1
43	198	238.098	0.000	0.8699	0.5284	1
44	45	192.093	0.000	0.8870	0.5856	1
46	137	-28.010	0.000	0.7261	0.4872	1
46	139	-6.489	0.000	0.7114	0.4339	1
46	147	-0.000	0.000	0.9739	0.8861	1
46	155	-28.010	0.000	0.7631	0.5171	1
46	173	-28.010	0.000	0.7284	0.4985	1
