feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final
1023	59	Terpenoids	0.3333333333333333	Sesquiterpenoids	0.3333333333333333	Secoeudesmane sesquiterpenoids	0.3333333333333333	1.0	0.29269555	ISDB									XQQARSOXXGMYHZ							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	1.170782208442688	1
1020	52	Fatty acids	0.25	Fatty Acids and Conjugates	0.25	Hydroxy fatty acids	0.25	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q27104217	RBNPOMFGQQGHHO-UWTATZPHSA-N	InChI=1S/C3H6O4/c4-1-2(5)3(6)7/h2,4-5H,1H2,(H,6,7)/t2-/m1/s1	O=C(O)[C@H](O)CO	C3H6O4	pos_1_minus1proton1calcium	106.026608672	(2R)-2,3-Dihydroxypropanoic acid	RBNPOMFGQQGHHO	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	http://www.wikidata.org/entity/Q23501	Solanum lycopersicum	378964.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Solaneae']	['Solanum']	['Solanum lycopersicum']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']				6	3	7.5	1
1005	37	Fatty acids	0.6666666666666666	Glycerolipids	0.6666666666666666	Glycosyldiacylglycerols	0.6666666666666666	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q104667635	QUZHZFAQJATMCA-QAZQWDDOSA-N	InChI=1S/C45H74O10/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-40(47)52-36-38(37-53-45-44(51)43(50)42(49)39(35-46)55-45)54-41(48)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h5-8,11-14,17-20,38-39,42-46,49-51H,3-4,9-10,15-16,21-37H2,1-2H3/b7-5-,8-6-,13-11-,14-12-,19-17-,20-18-/t38-,39-,42+,43+,44-,45-/m1/s1	CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)OC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC	C45H74O10	pos_1_1proton1ammonium	774.5281985680001	1,2-Di-O-alpha-linolenoyl-3-O-beta-galactopyranosyl-sn-glycerol	QUZHZFAQJATMCA	Fatty acids	Glycerolipids	Glycosyldiacylglycerols	http://www.wikidata.org/entity/Q1380	Capsicum annuum	473836.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Capsiceae']	['Capsicum']	['Capsicum annuum']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']				6	3	7.5	1
991	37	Fatty acids	0.6666666666666666	Glycerolipids	0.6666666666666666	Glycosyldiacylglycerols	0.6666666666666666	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q42403316	KDYAPQVYJXUQNY-OPHDRXFHSA-N	InChI=1S/C51H84O15/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-42(53)61-36-39(64-43(54)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2)37-62-50-49(60)47(58)45(56)41(66-50)38-63-51-48(59)46(57)44(55)40(35-52)65-51/h5-8,11-14,17-20,39-41,44-52,55-60H,3-4,9-10,15-16,21-38H2,1-2H3/b7-5-,8-6-,13-11-,14-12-,19-17-,20-18-/t39-,40-,41-,44+,45+,46+,47+,48-,49-,50-,51+/m1/s1	CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](CO[C@@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O)OC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC	C51H84O15	pos_1_1proton1ammonium	936.5810219880002	1-18:3-2-18:3-Digalactosyldiacylglycerol	KDYAPQVYJXUQNY	Fatty acids	Glycerolipids	Glycosyldiacylglycerols	http://www.wikidata.org/entity/Q196332	Lycium barbarum	40038.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Lycieae']	['Lycium']	['Lycium barbarum']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']				6	3	7.5	1
989	5	Fatty acids	0.6153846153846154	Fatty amides	0.38461538461538464	Primary amides	0.23076923076923078	1.0	0.79425126	ISDB	http://www.wikidata.org/entity/Q27231146	UAUDZVJPLUQNMU-KTKRTIGZSA-N	InChI=1S/C22H43NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h9-10H,2-8,11-21H2,1H3,(H2,23,24)/b10-9-	CCCCCCCC/C=C\CCCCCCCCCCCC(N)=O	C22H43NO		337.334464996	Erucamide	UAUDZVJPLUQNMU	Fatty acids	Fatty amides	Primary amides	http://www.wikidata.org/entity/Q221179	Streptococcus pneumoniae	699152.0	['Bacteria']	['Unknown']	['Firmicutes']	['Bacilli']	['Lactobacillales']	['Streptococcaceae']	['Unknown']	['Streptococcus']	['Streptococcus pneumoniae']											0	3	4.677005052566528	1
987	49	Fatty acids	0.42857142857142855	Fatty amides	0.42857142857142855	Primary amides	0.42857142857142855	1.0	0.6453223	ISDB	http://www.wikidata.org/entity/Q83072296	OOCSVLHOTKHEFZ-UHFFFAOYSA-N	InChI=1S/C20H41NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h2-19H2,1H3,(H2,21,22)	CCCCCCCCCCCCCCCCCCCC(N)=O	C20H41NO		311.318814932	Icosanamide	OOCSVLHOTKHEFZ	Fatty acids	Fatty amides	Primary amides	http://www.wikidata.org/entity/Q2353550	Annona glabra	209798.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Magnoliales']	['Annonaceae']	['Annoneae']	['Annona']	['Annona glabra']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	3	8.081289291381836	1
977	-1							2.0	0.3875603	ISDB	http://www.wikidata.org/entity/Q105288338	VLEXYJYNPNSQRM-XRXBZNFBSA-N	InChI=1S/C36H57NO4/c1-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-34(38)40-27-31(35(2,3)39)30-26-37-32-23-22-28(24-29(30)32)25-33-36(4,5)41-33/h13-14,22-24,26,31,33,37,39H,6-12,15-21,25,27H2,1-5H3/b14-13-/t31-,33+/m1/s1	CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](c1c[nH]c2ccc(C[C@@H]3OC3(C)C)cc12)C(C)(C)O	C36H57NO4		567.428759304	[(2S)-2-[5-[[(2S)-3,3-dimethyloxiran-2-yl]methyl]-1H-indol-3-yl]-3-hydroxy-3-methylbutyl] (Z)-octadec-9-enoate	VLEXYJYNPNSQRM				http://www.wikidata.org/entity/Q15361929	Hexalobus crispiflorus	6284.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Magnoliales']	['Annonaceae']	['Monodoreae']	['Hexalobus']	['Hexalobus crispiflorus']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	0	5.550241231918335	1
975	91	Fatty acids	1.0	Fatty Acids and Conjugates	1.0	Unsaturated fatty acids	0.5	2.0	0.67137307	ISDB	http://www.wikidata.org/entity/Q27145388	VBICKXHEKHSIBG-FQEVSTJZSA-N	InChI=1S/C21H42O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(24)25-19-20(23)18-22/h20,22-23H,2-19H2,1H3/t20-/m0/s1	CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)CO	C21H42O4		358.30830982399993	1-Stearoyl-sn-glycerol	VBICKXHEKHSIBG	Fatty acids	Glycerolipids	Monoacylglycerols	http://www.wikidata.org/entity/Q161058	Hyoscyamus niger	822716.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Hyoscyameae']	['Hyoscyamus']	['Hyoscyamus niger']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']				6	1	9.185492277145386	1
974	91	Fatty acids	1.0	Fatty Acids and Conjugates	1.0	Unsaturated fatty acids	0.5	8.0	0.0	MS1_match	http://www.wikidata.org/entity/Q407426	OYHQOLUKZRVURQ-HZJYTTRNSA-N	InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9-	CCCCC/C=C\C/C=C\CCCCCCCC(=O)O	C18H32O2	pos_1_1proton1isopropanol	280.240230264	Linoleic Acid	OYHQOLUKZRVURQ	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	http://www.wikidata.org/entity/Q181095	Nicotiana tabacum	222787.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']	['Nicotiana tabacum']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']		8	3	9.5	1
972	1	Terpenoids	0.5	Steroids	0.5	Ergostane steroids	0.5	10.0	0.0	MS1_match	http://www.wikidata.org/entity/Q104984401	DLJKJPONFBSXHR-FGNMPWMKSA-N	InChI=1S/C28H42O6/c1-16(21-15-25(3,31)27(5,32)23(30)34-21)28(33)14-12-19-18-10-9-17-7-6-8-22(29)26(17,4)20(18)11-13-24(19,28)2/h6,8-9,16,18-21,23,30-33H,7,10-15H2,1-5H3/t16-,18+,19+,20+,21-,23?,24+,25-,26+,27-,28+/m1/s1	C[C@H]([C@H]1C[C@@](C)(O)[C@](C)(O)C(O)O1)[C@@]1(O)CC[C@H]2[C@@H]3CC=C4CC=CC(=O)[C@]4(C)[C@H]3CC[C@@]21C	C28H42O6	pos_2_1proton1sodium	474.298139064	Cilistol g	DLJKJPONFBSXHR	Terpenoids	Steroids	Ergostane steroids	http://www.wikidata.org/entity/Q4022813	Solanum capsicoides	311868.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Solaneae']	['Solanum']	['Solanum capsicoides']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']				6	3	7.5	1
