feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	structure_taxonomy_npclassifier_02superclass_consensus	structure_taxonomy_npclassifier_03class_consensus	msms_score	libname	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	score_taxo	score_max_consistency	final_score
1357	-1				0.0	MS1_match	KYQCOXFCLRTKLS-UHFFFAOYSA-N	InChI=1S/C4H4N2/c1-2-6-4-3-5-1/h1-4H	c1cnccn1	C4H4N2	pos_1_1proton2acetonitrile	80.037448128	KYQCOXFCLRTKLS	Alkaloids	Tetramate alkaloids	Pyrazine and Piperazine alkaloids	Nicotiana tabacum	222787.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']	['Nicotiana tabacum']	8	0	8.0
1357	-1				0.0	MS1_match	LDRWAWZXDDBHTG-UHFFFAOYSA-N	InChI=1S/C9H16O/c1-7-4-8(10)6-9(2,3)5-7/h4,8,10H,5-6H2,1-3H3	CC1=CC(O)CC(C)(C)C1	C9H16O	pos_1_minus1proton1magnesium	140.120115132	LDRWAWZXDDBHTG	Terpenoids	Apocarotenoids	Apocarotenoids(ε-)	Nicotiana tabacum	222787.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']	['Nicotiana tabacum']	8	0	8.0
1357	-1				0.0	MS1_match	MTNXTOAQNAWJRM-UHFFFAOYSA-N	InChI=1S/C9H16O/c1-4-9(5-2)7-6-8(3)10/h6-7,9H,4-5H2,1-3H3	CCC(C=CC(C)=O)CC	C9H16O	pos_1_minus1proton1magnesium	140.120115132	MTNXTOAQNAWJRM	Fatty acids	Fatty acyls	Oxygenated hydrocarbons	Nicotiana tabacum	222787.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']	['Nicotiana tabacum']	8	0	8.0
1357	-1				0.0	MS1_match	WRCBAWDQQSQNRE-UHFFFAOYSA-N	InChI=1S/C9H16O/c1-8(2)6-5-7-9(3,4)10/h5-7,10H,1-4H3	CC(C)=CC=CC(C)(C)O	C9H16O	pos_1_minus1proton1magnesium	140.120115132	WRCBAWDQQSQNRE	Terpenoids	Monoterpenoids	Acyclic monoterpenoids	Nicotiana tabacum	222787.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']	['Nicotiana tabacum']	8	0	8.0
1351	-1				0.0	MS1_match	HJFZAYHYIWGLNL-UHFFFAOYSA-N	InChI=1S/C6H8N2/c1-5-3-7-4-6(2)8-5/h3-4H,1-2H3	Cc1cncc(C)n1	C6H8N2	pos_1_1proton1acetonitrile	108.068748256	HJFZAYHYIWGLNL	Alkaloids	Tetramate alkaloids	Pyrazine and Piperazine alkaloids	Nicotiana tabacum	222787.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']	['Nicotiana tabacum']	8	0	8.0
1351	-1				0.0	MS1_match	KAESVJOAVNADME-UHFFFAOYSA-N	InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H	c1cc[nH]c1	C4H5N	pos_1_1proton2acetonitrile	67.04219916	KAESVJOAVNADME	Alkaloids	Proline alkaloids		Nicotiana tabacum	222787.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']	['Nicotiana tabacum']	8	0	8.0
1351	-1				0.0	MS1_match	LCZUOKDVTBMCMX-UHFFFAOYSA-N	InChI=1S/C6H8N2/c1-5-3-8-6(2)4-7-5/h3-4H,1-2H3	Cc1cnc(C)cn1	C6H8N2	pos_1_1proton1acetonitrile	108.068748256	LCZUOKDVTBMCMX	Alkaloids	Tetramate alkaloids	Pyrazine and Piperazine alkaloids	Nicotiana tabacum	222787.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']	['Nicotiana tabacum']	8	0	8.0
1350	-1				0.0	MS1_match	HJFZAYHYIWGLNL-UHFFFAOYSA-N	InChI=1S/C6H8N2/c1-5-3-7-4-6(2)8-5/h3-4H,1-2H3	Cc1cncc(C)n1	C6H8N2	pos_1_1proton1acetonitrile	108.068748256	HJFZAYHYIWGLNL	Alkaloids	Tetramate alkaloids	Pyrazine and Piperazine alkaloids	Nicotiana tabacum	222787.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']	['Nicotiana tabacum']	8	0	8.0
1350	-1				0.0	MS1_match	KAESVJOAVNADME-UHFFFAOYSA-N	InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H	c1cc[nH]c1	C4H5N	pos_1_1proton2acetonitrile	67.04219916	KAESVJOAVNADME	Alkaloids	Proline alkaloids		Nicotiana tabacum	222787.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']	['Nicotiana tabacum']	8	0	8.0
1350	-1				0.0	MS1_match	LCZUOKDVTBMCMX-UHFFFAOYSA-N	InChI=1S/C6H8N2/c1-5-3-8-6(2)4-7-5/h3-4H,1-2H3	Cc1cnc(C)cn1	C6H8N2	pos_1_1proton1acetonitrile	108.068748256	LCZUOKDVTBMCMX	Alkaloids	Tetramate alkaloids	Pyrazine and Piperazine alkaloids	Nicotiana tabacum	222787.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']	['Nicotiana tabacum']	8	0	8.0
1345	96	Alkaloids	Tetramate alkaloids	Pyrazine and Piperazine alkaloids	0.0	MS1_match	HJFZAYHYIWGLNL-UHFFFAOYSA-N	InChI=1S/C6H8N2/c1-5-3-7-4-6(2)8-5/h3-4H,1-2H3	Cc1cncc(C)n1	C6H8N2	pos_1_1proton1acetonitrile	108.068748256	HJFZAYHYIWGLNL	Alkaloids	Tetramate alkaloids	Pyrazine and Piperazine alkaloids	Nicotiana tabacum	222787.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']	['Nicotiana tabacum']	8	3	9.5
1345	96	Alkaloids	Tetramate alkaloids	Pyrazine and Piperazine alkaloids	0.0	MS1_match	LCZUOKDVTBMCMX-UHFFFAOYSA-N	InChI=1S/C6H8N2/c1-5-3-8-6(2)4-7-5/h3-4H,1-2H3	Cc1cnc(C)cn1	C6H8N2	pos_1_1proton1acetonitrile	108.068748256	LCZUOKDVTBMCMX	Alkaloids	Tetramate alkaloids	Pyrazine and Piperazine alkaloids	Nicotiana tabacum	222787.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']	['Nicotiana tabacum']	8	3	9.5
1343	-1				0.0	MS1_match	MVMKNQHHTBZKBH-UHFFFAOYSA-N	InChI=1S/C24H46O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25/h6-7,9-10,25H,2-5,8,11-24H2,1H3	CCCCCC=CCC=CCCCCCCCCCCCCCCO	C24H46O	pos_1_1proton1ethylamine	350.35486609199995	MVMKNQHHTBZKBH	Fatty acids	Fatty acyls	Fatty alcohols	Solanum lycopersicum	378964.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Solaneae']	['Solanum']	['Solanum lycopersicum']	6	0	6.0
1343	-1				0.0	MS1_match	TYWMIZZBOVGFOV-UHFFFAOYSA-N	InChI=1S/C24H50O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25/h25H,2-24H2,1H3	CCCCCCCCCCCCCCCCCCCCCCCCO	C24H50O	pos_1_1proton1acetonitrile	354.38616622	TYWMIZZBOVGFOV	Fatty acids	Fatty acyls	Fatty alcohols	Solanum lycopersicum	378964.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Solaneae']	['Solanum']	['Solanum lycopersicum']	6	0	6.0
1343	-1				0.0	MS1_match	XIAGDFDTJBCDQJ-UHFFFAOYSA-N	InChI=1S/C26H50O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27/h6-7,9-10,27H,2-5,8,11-26H2,1H3	CCCCCC=CCC=CCCCCCCCCCCCCCCCCO	C26H50O	pos_1_1proton1ammonium	378.3861662199999	XIAGDFDTJBCDQJ	Fatty acids	Fatty acyls	Fatty alcohols	Solanum lycopersicum	378964.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Solaneae']	['Solanum']	['Solanum lycopersicum']	6	0	6.0
1338	-1				0.0	MS1_match	HJFZAYHYIWGLNL-UHFFFAOYSA-N	InChI=1S/C6H8N2/c1-5-3-7-4-6(2)8-5/h3-4H,1-2H3	Cc1cncc(C)n1	C6H8N2	pos_1_1proton1acetonitrile	108.068748256	HJFZAYHYIWGLNL	Alkaloids	Tetramate alkaloids	Pyrazine and Piperazine alkaloids	Nicotiana tabacum	222787.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']	['Nicotiana tabacum']	8	0	8.0
1338	-1				0.0	MS1_match	KAESVJOAVNADME-UHFFFAOYSA-N	InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H	c1cc[nH]c1	C4H5N	pos_1_1proton2acetonitrile	67.04219916	KAESVJOAVNADME	Alkaloids	Proline alkaloids		Nicotiana tabacum	222787.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']	['Nicotiana tabacum']	8	0	8.0
1338	-1				0.0	MS1_match	LCZUOKDVTBMCMX-UHFFFAOYSA-N	InChI=1S/C6H8N2/c1-5-3-8-6(2)4-7-5/h3-4H,1-2H3	Cc1cnc(C)cn1	C6H8N2	pos_1_1proton1acetonitrile	108.068748256	LCZUOKDVTBMCMX	Alkaloids	Tetramate alkaloids	Pyrazine and Piperazine alkaloids	Nicotiana tabacum	222787.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']	['Nicotiana tabacum']	8	0	8.0
1337	-1				0.0	MS1_match	HJFZAYHYIWGLNL-UHFFFAOYSA-N	InChI=1S/C6H8N2/c1-5-3-7-4-6(2)8-5/h3-4H,1-2H3	Cc1cncc(C)n1	C6H8N2	pos_1_1proton1acetonitrile	108.068748256	HJFZAYHYIWGLNL	Alkaloids	Tetramate alkaloids	Pyrazine and Piperazine alkaloids	Nicotiana tabacum	222787.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']	['Nicotiana tabacum']	8	0	8.0
1337	-1				0.0	MS1_match	KAESVJOAVNADME-UHFFFAOYSA-N	InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H	c1cc[nH]c1	C4H5N	pos_1_1proton2acetonitrile	67.04219916	KAESVJOAVNADME	Alkaloids	Proline alkaloids		Nicotiana tabacum	222787.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']	['Nicotiana tabacum']	8	0	8.0
1337	-1				0.0	MS1_match	LCZUOKDVTBMCMX-UHFFFAOYSA-N	InChI=1S/C6H8N2/c1-5-3-8-6(2)4-7-5/h3-4H,1-2H3	Cc1cnc(C)cn1	C6H8N2	pos_1_1proton1acetonitrile	108.068748256	LCZUOKDVTBMCMX	Alkaloids	Tetramate alkaloids	Pyrazine and Piperazine alkaloids	Nicotiana tabacum	222787.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']	['Nicotiana tabacum']	8	0	8.0
1334	-1				0.0	MS1_match	HJFZAYHYIWGLNL-UHFFFAOYSA-N	InChI=1S/C6H8N2/c1-5-3-7-4-6(2)8-5/h3-4H,1-2H3	Cc1cncc(C)n1	C6H8N2	pos_1_1proton1acetonitrile	108.068748256	HJFZAYHYIWGLNL	Alkaloids	Tetramate alkaloids	Pyrazine and Piperazine alkaloids	Nicotiana tabacum	222787.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']	['Nicotiana tabacum']	8	0	8.0
1334	-1				0.0	MS1_match	KAESVJOAVNADME-UHFFFAOYSA-N	InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H	c1cc[nH]c1	C4H5N	pos_1_1proton2acetonitrile	67.04219916	KAESVJOAVNADME	Alkaloids	Proline alkaloids		Nicotiana tabacum	222787.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']	['Nicotiana tabacum']	8	0	8.0
1334	-1				0.0	MS1_match	LCZUOKDVTBMCMX-UHFFFAOYSA-N	InChI=1S/C6H8N2/c1-5-3-8-6(2)4-7-5/h3-4H,1-2H3	Cc1cnc(C)cn1	C6H8N2	pos_1_1proton1acetonitrile	108.068748256	LCZUOKDVTBMCMX	Alkaloids	Tetramate alkaloids	Pyrazine and Piperazine alkaloids	Nicotiana tabacum	222787.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']	['Nicotiana tabacum']	8	0	8.0
1330	66	Terpenoids	Sesquiterpenoids	Secoeudesmane sesquiterpenoids	0.29269555	ISDB							XQQARSOXXGMYHZ						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	0	0	1.170782208442688
1326	114	Alkaloids	Proline alkaloids	Pyrazine and Piperazine alkaloids	0.0	MS1_match	HJFZAYHYIWGLNL-UHFFFAOYSA-N	InChI=1S/C6H8N2/c1-5-3-7-4-6(2)8-5/h3-4H,1-2H3	Cc1cncc(C)n1	C6H8N2	pos_1_1proton1acetonitrile	108.068748256	HJFZAYHYIWGLNL	Alkaloids	Tetramate alkaloids	Pyrazine and Piperazine alkaloids	Nicotiana tabacum	222787.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']	['Nicotiana tabacum']	8	3	9.5
