row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20260424_CVOL_Group_03_BB_10mM.mzML Peak height,20260424_CVOL_Group_03_IAA_50uM.mzML Peak height,20260424_CVOL_Group_03_Pt_1A_0m.mzML Peak height,20260424_CVOL_Group_03_Pt_1A_20m.mzML Peak height,20260424_CVOL_Group_03_Pt_1B_0m.mzML Peak height,20260424_CVOL_Group_03_Pt_1B_20m.mzML Peak height,20260424_CVOL_Group_03_Pt_2A_0m.mzML Peak height,20260424_CVOL_Group_03_Pt_2A_20m.mzML Peak height,20260424_CVOL_Group_03_Pt_2B_0m.mzML Peak height,20260424_CVOL_Group_03_Pt_2B_20m.mzML Peak height,20260424_CVOL_Group_03_QC_01.mzML Peak height,20260424_CVOL_Group_03_QC_02.mzML Peak height,20260424_CVOL_Group_03_QC_03.mzML Peak height,20260424_CVOL_Group_03_QC_04.mzML Peak height,20260424_CVOL_Group_03_QC_05.mzML Peak height,20260424_CVOL_Group_03_QC_06.mzML Peak height,20260424_CVOL_Group_03_bl.mzML Peak height,20260424_CVOL_Group_03_wt_1A_0m.mzML Peak height,20260424_CVOL_Group_03_wt_1A_20m.mzML Peak height,20260424_CVOL_Group_03_wt_1B_0m.mzML Peak height,20260424_CVOL_Group_03_wt_1B_20m.mzML Peak height,20260424_CVOL_Group_03_wt_2A_0m.mzML Peak height,20260424_CVOL_Group_03_wt_2A_20m.mzML Peak height,20260424_CVOL_Group_03_wt_2B_0m.mzML Peak height,20260424_CVOL_Group_03_wt_2B_20m.mzML Peak height,20260424_CVOL_bk_mapp_05.mzML Peak height,
1,158.00297536765618,0.4847488,,,,,,,,,,,366974.62,305691.22,583623.75,526582.5,540239.1,570230.4,500129.3,582915.06,569508.2,537755.5,303596.22,281215.7,287391.8,279142.97,291952.06,292939.47,316567.97,473507.8,555789.56,409080.6,560619.1,552368.75,564821.6,569215.56,577920.25,407884.47,
2,216.95059349658456,0.48389217,,,,,,,,,,,0,0,0,316465.4,0,423119.84,0,0,0,340590.3,1413201.9,1483985.4,1781412.0,1549582.8,1746541.0,1860373.0,0,0,471607.94,0,314438.9,0,373526.88,0,0,0,
3,232.92826957441312,0.48163986,,,,,,,,,,,0,0,1352069.6,1072723.9,1059976.9,1419987.5,952188.4,1341727.2,950138.06,1342811.9,6019061.5,5683005.0,6015892.5,5721220.0,6732284.0,6176706.5,0,0,1149993.5,0,1125597.1,728198.7,1260429.5,1410630.9,1111659.1,0,
4,255.94405378319917,0.48563507,,,,,,,,,,,0,0,413011.22,333368.0,0,382674.12,0,289334.66,0,0,1956590.8,1680800.5,2268527.5,1921134.4,2133056.5,1952239.0,0,0,0,0,0,0,0,459665.53,0,0,
5,344.8753505505073,0.48321015,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2065767.2,1894379.0,2209975.8,2270541.8,2405941.2,2190981.0,0,0,0,0,0,0,0,500224.28,0,0,
6,198.94009836237046,0.48693696,,,,,,,,,,,0,0,0,0,0,0,0,0,0,255543.33,1637691.9,1336113.5,1807988.0,1810168.2,1875883.9,1828873.9,0,0,0,0,0,0,345443.38,506647.56,325204.72,0,
7,144.95689288256017,0.47587043,,,,,,,,,,,774332.06,755942.8,812148.44,856442.75,797374.7,910255.9,875211.4,837845.56,826266.6,815702.6,787645.8,783467.8,890493.44,835505.4,805533.4,737662.8,776415.56,1008957.06,852905.75,896397.25,818973.2,812814.56,763208.94,879504.44,715737.2,805296.75,
8,143.9590608606594,0.48331907,,,,,,,,,,,443997.72,447109.56,532525.44,539495.5,516451.94,525666.94,640807.06,506808.38,491315.8,506673.22,564648.94,472562.62,533422.8,526865.2,533004.8,460692.2,440697.62,543019.06,429674.2,563202.9,504370.62,507713.34,448028.94,586187.94,458476.44,449767.62,
9,214.91763519738623,0.48803023,,,,,,,,,,,0,0,2753295.8,2741566.5,2219814.2,3508035.2,2248801.8,2892908.5,2180564.2,2971973.5,1.5204001E7,1.5154522E7,1.9119832E7,1.7855134E7,1.8414622E7,1.6931642E7,0,510890.34,2798908.2,577710.94,2461195.0,1647922.4,2755688.2,3772361.0,2505920.8,0,
10,131.1179908252114,0.49097908,,,,,,,,,,,2045178.0,0,675533.75,645279.6,589855.8,528296.8,541027.06,592373.1,552034.3,610631.25,1357236.1,1406142.9,1471151.1,1425569.5,1591657.2,1577048.4,0,349608.8,646335.8,322432.34,548903.25,497252.72,512787.44,671167.4,513164.25,0,
