formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C2H6AsNO5	[M + K]+	C2H6AsKNO5+	Fatty acids	0.388	Fatty Acids and Conjugates	0.371	Halogenated fatty acids	0.691	Organometallic compounds	0.965	Organometalloid compounds	0.965	Organoarsenic compounds	0.992	Pentavalent organic arsenic compounds	0.948	Pentaorganoarsanes	0.948	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organoarsenic compounds; Organometallic compounds; Carboxylic acids; Organometalloid compounds; Carbonyl compounds; Organic salts; Organic oxides; Arsine oxides; Organic metalloid salts; Organic metal salts; Pentavalent organic arsenic compounds; Hydrocarbon derivatives; Pentaorganoarsanes; Oxygen-containing organoarsenic compounds; Organopnictogen compounds; Organic oxygen compounds; Alkylarsine oxides; Organic nitrogen compounds; Chemical entities	237.908	28	0.473	836975105110080767	836974936671019519	836974936645853694	1	
1	CH3N2O2P	[M + K]+	CH3KN2O2P+	Alkaloids	0.866	Pseudoalkaloids (transamidation)	0.330	Pyridine alkaloids	0.324	Organoheterocyclic compounds	0.545	Azacyclic compounds	0.513					Azacyclic compounds	0.513	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	144.957	29	0.476	836975098441136921	836974937820258859	836974937816064554	12	
1	CH5ClFN3O6Se	[M - H2O + H]+	CH4ClFN3O5Se+	Fatty acids	0.214	Fatty Acids and Conjugates	0.135	Halogenated fatty acids	0.215	Organic 1,3-dipolar compounds	0.787	Allyl-type 1,3-dipolar organic compounds	0.745	Organic nitro compounds	0.793	C-nitro compounds	0.527	Fluorodinitromethyl compounds	0.751	Organic compounds; Organonitrogen compounds; Organoarsenic compounds; Organometallic compounds; Organic nitro compounds; Organometalloid compounds; Organic oxoazanium compounds; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; Pentavalent organic arsenic compounds; C-nitro compounds; Hydrocarbon derivatives; Pentaorganoarsanes; Oxygen-containing organoarsenic compounds; Organopnictogen compounds; Organic oxygen compounds; Fluorodinitromethyl compounds; Organic nitrogen compounds; Chemical entities	265.903	29	0.476	836975100844473291	836974936876540419	836974936868151810	2	
1	C4H5Cl3N2O4	[M + H]+	C4H6Cl3N2O4+	Alkaloids	0.284	Pseudoalkaloids (transamidation)	0.027	Halogenated fatty acids	0.429	Organohalogen compounds	0.999	Halohydrins	0.771	Chlorohydrins	0.894			Chlorohydrins	0.894	Organic compounds; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Organic carbonic acids and derivatives; Ureas; Alkyl chlorides; Organochlorides; Carbonyl compounds; Alkanolamines; Halohydrins; Chlorohydrins; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	250.939	29	0.479	836975101343595482	836974936973009415	836974936968815110	3	
1	C8H12Cl4N2O4S3	[M + K]+	C8H12Cl4KN2O4S3+	Alkaloids	0.255	Oligopeptides	0.080	Imidazole alkaloids	0.004	Organic acids and derivatives	0.948	Organic sulfonic acids and derivatives	0.670	Organosulfonic acids and derivatives	0.666			Organosulfonic acids and derivatives	0.666	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Alkyl chlorides; Sulfonyls; Organochlorides; Alkyl halides; Aminosulfonyl compounds; Sulfenyl compounds; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	474.834	29	0.482	836975155349456009	836974937300165143	836974937300165142	7	
1	C7H6ClNO5S	[M + Na]+	C7H6ClNNaO5S+	Shikimates and Phenylpropanoids	0.351	Phenolic acids (C6-C1)	0.528	Simple phenolic acids	0.580	Benzenoids	0.999	Benzene and substituted derivatives	0.989	Benzenesulfonamides	0.638			Benzenesulfonamides	0.638	Organic compounds; Organosulfur compounds; Benzenesulfonamides; Halobenzenes; Nitrobenzenes; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Benzoyl derivatives; Organooxygen compounds; Aryl chlorides; Chlorobenzenes; Monocarboxylic acids and derivatives; Organic nitro compounds; Sulfonyls; Carboxylic acids; Organic oxoazanium compounds; Organochlorides; Benzene and substituted derivatives; Benzenoids; Benzoic acids; Aryl halides; 1-carboxy-2-haloaromatic compounds; Halobenzoic acids and derivatives; Halobenzoic acids; 4-halobenzoic acids and derivatives; 2-halobenzoic acids; 4-halobenzoic acids; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Benzenesulfonyl compounds; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities	273.955	29	0.482	836975115323211729	836974937065284107	836974937065284106	4	
1	C6H5NOSi	[M + Na]+	C6H5NNaOSi+	Alkaloids	0.811	Nicotinic acid alkaloids	0.689	Pyridine alkaloids	0.688	Organic oxygen compounds	0.955	Organooxygen compounds	0.822	Carbonyl compounds	0.719	Aldehydes	0.643	Aldehydes	0.643	Organic compounds; Aldehydes; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	158.003	29	0.483	836975092460058923	836974937228861971	836974937228861970	6	
1	C6H10Cl2N2O3S3	[M + K]+	C6H10Cl2KN2O3S3+	Amino acids and Peptides	0.114	Oligopeptides	0.150	Tantazoles and mirabazoles	0.018	Organohalogen compounds	0.995	Aryl halides	0.687	Aryl chlorides	0.766			Aryl chlorides	0.766	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Aryl chlorides; Sulfonyls; Organochlorides; Organosulfonamides; Aryl halides; Aminosulfonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	362.886	29	0.483	836975125095940456	836974937149170191	836974937144975886	5	
1	C3H4N2O4P2	[M + K]+	C3H4KN2O4P2+	Alkaloids	0.844	Pseudoalkaloids (transamidation)	0.491	Purine alkaloids	0.250	Organoheterocyclic compounds	0.903	Azacyclic compounds	0.898					Azacyclic compounds	0.898	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	232.928	29	0.483	836975636129957536	836974937505686043	836974937505686042	8	
1	C6HF3O3	[M + K]+	C6HF3KO3+	Polyketides	0.502	Cyclic polyketides	0.397	Halogenated fatty acids	0.099	Organoheterocyclic compounds	0.869	Heteroaromatic compounds	0.823					Heteroaromatic compounds	0.823	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Alkyl fluorides; Organofluorides; Alkyl halides; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	216.951	29	0.485	836975100286630815	836974937744761383	836974937744761382	11	
