formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	CH3N2O2P	[M + K]+	CH3KN2O2P+	Alkaloids	0.866	Pseudoalkaloids (transamidation)	0.330	Pyridine alkaloids	0.324	Organoheterocyclic compounds	0.545	Azacyclic compounds	0.513					Azacyclic compounds	0.513	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	144.957	29	0.476	836975098441136921	836974937820258859	836974937816064554	12	
3	C5H6Cl2N2O3	[M + K]+	C5H6Cl2KN2O3+	Fatty acids	0.342	Fatty Acids and Conjugates	0.105	Halogenated fatty acids	0.700	Organic acids and derivatives	0.875	Carboxylic acids and derivatives	0.698					Carboxylic acids and derivatives	0.698	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl chlorides; Organochlorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	250.939	29	0.479	836975101343595485	836974936973009415	836974936968815110	3	
1	C7H6ClNO5S	[M + Na]+	C7H6ClNNaO5S+	Shikimates and Phenylpropanoids	0.351	Phenolic acids (C6-C1)	0.528	Simple phenolic acids	0.580	Benzenoids	0.999	Benzene and substituted derivatives	0.989	Benzenesulfonamides	0.638			Benzenesulfonamides	0.638	Organic compounds; Organosulfur compounds; Benzenesulfonamides; Halobenzenes; Nitrobenzenes; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Benzoyl derivatives; Organooxygen compounds; Aryl chlorides; Chlorobenzenes; Monocarboxylic acids and derivatives; Organic nitro compounds; Sulfonyls; Carboxylic acids; Organic oxoazanium compounds; Organochlorides; Benzene and substituted derivatives; Benzenoids; Benzoic acids; Aryl halides; 1-carboxy-2-haloaromatic compounds; Halobenzoic acids and derivatives; Halobenzoic acids; 4-halobenzoic acids and derivatives; 2-halobenzoic acids; 4-halobenzoic acids; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Benzenesulfonyl compounds; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities	273.955	29	0.482	836975115323211729	836974937065284107	836974937065284106	4	
1	C6HF3O3	[M + K]+	C6HF3KO3+	Polyketides	0.502	Cyclic polyketides	0.397	Halogenated fatty acids	0.099	Organoheterocyclic compounds	0.869	Heteroaromatic compounds	0.823					Heteroaromatic compounds	0.823	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Alkyl fluorides; Organofluorides; Alkyl halides; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	216.951	29	0.485	836975100286630815	836974937744761383	836974937744761382	11	
1	C6H4Cl3N3O2	[M + H]+	C6H5Cl3N3O2+	Alkaloids	0.799	Pseudoalkaloids (transamidation)	0.758	Purine alkaloids	0.901	Organoheterocyclic compounds	0.999	Diazines	0.896	Pyrimidines and pyrimidine derivatives	0.805	Halopyrimidines	0.605	Halopyrimidines	0.605	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Lactams; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Aryl chlorides; Diazines; Organochlorides; Halopyrimidines; Aryl halides; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	255.944	29	0.486	836975100597009334	836974937597960735	836974937593766430	9	
2	C6H14N2O	[M + H]+	C6H15N2O+	Alkaloids	0.637	Lysine alkaloids	0.063	Quinolizidine alkaloids	0.012	Organoheterocyclic compounds	0.984	Diazinanes	0.963	Piperazines	0.963	N-alkylpiperazines	0.938	N-alkylpiperazines	0.938	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Piperazines; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Dialkylamines; Trialkylamines; Diazinanes; Amines; Secondary amines; Tertiary amines; Alkanolamines; N-alkylpiperazines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	131.118	29	0.487	836975087301064659	836974938092888635	836974938088694330	16	
1	C8H19N2O3P	[M + K]+	C8H19KN2O3P+	Alkaloids	0.496	Ornithine alkaloids	0.311	Polyamines	0.350	Organic nitrogen compounds	0.995	Organonitrogen compounds	0.976	Amines	0.561			Amines	0.561	Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organophosphorus compounds; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	261.076	30	0.501	836975094913726892	836974938298409543	836974938294215238	19	
1	C13H12N4OS	[M + Na]+	C13H12N4NaOS+	Alkaloids	0.838	Tryptophan alkaloids	0.230	Imidazole alkaloids	0.063	Benzenoids	0.961	Benzene and substituted derivatives	0.715					Benzene and substituted derivatives	0.715	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organonitrogen compounds; Azoles; Thiosemicarbazides; Thiosemicarbazones; Benzene and substituted derivatives; Benzenoids; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	295.063	30	0.502	836975572078739520	836974938227106371	836974938227106370	18	
1	C12H17ClO4	[M + K]+	C12H17ClKO4+	Polyketides	0.783	Sesquiterpenoids	0.218	Bisabolane sesquiterpenoids	0.357	Benzenoids	0.616	Benzene and substituted derivatives	0.584					Benzene and substituted derivatives	0.584	Organic compounds; Alcohols and polyols; Organohalogen compounds; Organooxygen compounds; Alkyl chlorides; Organochlorides; Benzene and substituted derivatives; Benzenoids; Alkyl halides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	299.044	30	0.502	836975096796969510	836974938428432975	836974938428432974	21	
1	C27H19F3N4O4S	[M + Na]+	C27H19F3N4NaO4S+	Alkaloids	0.231	Flavonoids	0.056	Simple coumarins	0.021	Benzenoids	0.999	Benzene and substituted derivatives	0.996	N-phenylthioureas	0.612			N-phenylthioureas	0.612	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Carboxylic acid derivatives; Thioureas; Organofluorides; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Alkyl halides; N-phenylthioureas; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Trifluoromethylbenzenes; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	575.098	30	0.504	836975749510384243	836974938495541843	836974938491347538	22	
