#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
252	spectra_filtered.mgf	*..*		:622	1068	-1	0	163.123	1	0.996662	0	0	251165000.0	9406900.0	nicotine CollisionEnergy:102040 M+H	BERKELEY-LAB	temp/spectra_filtered.mgf252	-1	BERKELEY-LAB.mgf	0.0935416				6	0	1.52588e-05	163.123	0	CCMSLIB00010103056
453	spectra_filtered.mgf	*..*		:15	5593	-1	0	183.086	0	0.99432	0	0	1331950.0	10144300.0	Spectral Match to D-Mannitol from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf453	-1	GNPS-NIST14-MATCHES.mgf	3333.35				9	0	0.610291	182.476	0	CCMSLIB00003140080
260	spectra_filtered.mgf	*..*		:12574	12574	-1	0	267.109	1	0.990776	0	0	104.818	7630230.0	3-DEAZAADENOSINE M+H	MCE-DRUG	temp/spectra_filtered.mgf260	-1	MCE-DRUG.mgf	3724.94				9	0	0.994965	268.104	0	CCMSLIB00010142298
449	spectra_filtered.mgf	*..*		:24	1596	-1	0	183.086	1	0.990767	0	0	100779.0	37542700.0	Spectral Match to D-Sorbitol from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf449	-1	GNPS-NIST14-MATCHES.mgf	2.1669				8	0	0.000396729	183.086	0	CCMSLIB00003136083
558	spectra_filtered.mgf	*..*		:24	1596	-1	0	183.086	1	0.990738	0	0	100779.0	909001.0	Spectral Match to D-Sorbitol from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf558	-1	GNPS-NIST14-MATCHES.mgf	1.83353				8	0	0.000335693	183.086	0	CCMSLIB00003136083
707	spectra_filtered.mgf	*..*		:15	5593	-1	0	183.086	1	0.988841	0	0	1331950.0	1588360.0	Spectral Match to D-Mannitol from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf707	-1	GNPS-NIST14-MATCHES.mgf	2.00021				9	0	0.000366211	183.086	0	CCMSLIB00003140080
664	spectra_filtered.mgf	*..*		:24	1596	-1	0	183.086	0	0.987873	0	0	100779.0	1142250.0	Spectral Match to D-Sorbitol from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf664	-1	GNPS-NIST14-MATCHES.mgf	2.00021				8	0	0.000366211	183.086	0	CCMSLIB00003136083
108	spectra_filtered.mgf	*..*		:10702	11148	-1	0	415.212	1	0.987584	0	0	4896590.0	459685000.0	1-({[2-(2-furylmethyl)-5-methylpyrrolidinyl]amino}methylene)-7-[8-({[2-(2-fury lmethyl)pyrrolidinyl]amino}methylene)-1,6-dihydroxy-3-methyl-5-(methylethyl)-7 -oxo(2-naphthyl)]-3,8-dihydroxy-6-methyl-4-(methylethyl)naphthalen-2-one CollisionEnergy:102040 M+2H]	BERKELEY-LAB	temp/spectra_filtered.mgf108	-1	BERKELEY-LAB.mgf	1.54347				7	0	0.000640869	415.211	0	CCMSLIB00010113136
686	spectra_filtered.mgf	*..*		:21	198	-1	0	257.147	1	0.982242	0	0	4072860.0	5243500.0	BETAINE 2M+Na	GNPS-MSMLS	temp/spectra_filtered.mgf686	-1	GNPS-MSMLS.mgf	0.830743				6	0	0.000213623	257.147	0	CCMSLIB00005463949
114	spectra_filtered.mgf	*..*		:659	1413	-1	0	288.253	1	0.981434	0	0	293681000.0	668686.0	MassbankEU:SM876702 Lauryl diethanolamide|N,N-bis(2-hydroxyethyl)dodecanamide [M+H]+	MASSBANKEU	temp/spectra_filtered.mgf114	-1	MASSBANKEU.mgf	0.105871				7	0	3.05176e-05	288.253	0	CCMSLIB00000842020
420	spectra_filtered.mgf	*..*		:53459	130410	-1	0	233.093	0	0.974041	0	0	106.779	6490550.0	1955548-88-5 [M-H]-	MSNLIB-NEGATIVE	temp/spectra_filtered.mgf420	-1	MSNLIB-NEGATIVE.mgf	5062.59				6	0	1.18005	234.273	0	CCMSLIB00012837050
82	spectra_filtered.mgf	*..*		:4371	2613	-1	0	256.263	1	0.972961	0	0	2967350.0	1125580.0	Spectral Match to Palmitamide from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf82	-1	GNPS-NIST14-MATCHES.mgf	1.19087				12	0	0.000305176	256.263	0	CCMSLIB00003137100
360	spectra_filtered.mgf	*..*		:30768	30768	-1	0	237.123	1	0.972795	0	0	106.016	1640890000.0	Phe-ala [M+H]+	MSNLIB-POSITIVE	temp/spectra_filtered.mgf360	-1	MSNLIB-POSITIVE.mgf	8256.84				6	0	1.95789	235.165	0	CCMSLIB00012329243
270	spectra_filtered.mgf	*..*		:112	7281	-1	0	202.07	1	0.967916	0	0	2319900.0	496391.0	2-amino-1,9-dimethyl-6,9-dihydro-1H-purin-6-one M+Na	GNPS-LIBRARY	temp/spectra_filtered.mgf270	-1	GNPS-LIBRARY.mgf	545.124				6	0	0.110153	202.18	0	CCMSLIB00005724792
303	spectra_filtered.mgf	*..*		:40717	40717	-1	0	235.119	1	0.958882	0	0	43.829	1839390.0	Cyclo(his-pro) [M+H]+	MSNLIB-POSITIVE	temp/spectra_filtered.mgf303	-1	MSNLIB-POSITIVE.mgf	0.0				8	0	0.0	235.119	0	CCMSLIB00012349263
706	spectra_filtered.mgf	*..*		:191	128	-1	0	345.139	1	0.957114	0	0	798792.0	560155.0	Isomalt (known structural isomers: 2; isobaric peaks in run: 0) [M+H]+	CMMC-FOOD-BIOMARKERS	temp/spectra_filtered.mgf706	-1	CMMC-FOOD-BIOMARKERS.mgf	0.972632				8	0	0.000335693	345.139	0	CCMSLIB00013576248
142	spectra_filtered.mgf	*..*		:30308	30308	-1	0	316.321	1	0.942002	0	0	394.233	122355.0	METHYL STEARATE [M+NH4]+	MSNLIB-POSITIVE	temp/spectra_filtered.mgf142	-1	MSNLIB-POSITIVE.mgf	0.192953				6	0	6.10352e-05	316.321	0	CCMSLIB00012328322
696	spectra_filtered.mgf	*..*		:179	4875	-1	0	360.149	1	0.936433	0	0	1008960.0	393114.0	Spectral Match to Lactulose from NIST14 M+NH4	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf696	-1	GNPS-NIST14-MATCHES.mgf	4.57574				8	0	0.00164795	360.151	0	CCMSLIB00003139362
446	spectra_filtered.mgf	*..*		:301	14162	-1	0	165.076	1	0.931894	0	0	73527700.0	23489100.0	Mannitol M+H-H2O	GNPS-LIBRARY	temp/spectra_filtered.mgf446	-1	GNPS-LIBRARY.mgf	1.20165				7	0	0.000198364	165.076	0	CCMSLIB00012176426
557	spectra_filtered.mgf	*..*		:301	14162	-1	0	165.076	1	0.930203	0	0	73527700.0	517932.0	Mannitol M+H-H2O	GNPS-LIBRARY	temp/spectra_filtered.mgf557	-1	GNPS-LIBRARY.mgf	1.29409				7	0	0.000213623	165.076	0	CCMSLIB00012176426
385	spectra_filtered.mgf	*..*		:77	3818	-1	0	196.06	1	0.929688	0	0	747315.0	19039100.0	Spectral Match to 2-(N-Morpholino)ethanesulfonic acid from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf385	-1	GNPS-NIST14-MATCHES.mgf	19.5346				6	0	0.00382996	196.064	0	CCMSLIB00003138305
50	spectra_filtered.mgf	*..*		:12077	12523	-1	0	637.302	1	0.928979	0	0	4882030.0	728516.0	AC1L1X1Z CollisionEnergy:102040 M+Na	BERKELEY-LAB	temp/spectra_filtered.mgf50	-1	BERKELEY-LAB.mgf	3.73508				17	0	0.00238037	637.304	0	CCMSLIB00010114511
576	spectra_filtered.mgf	*..*		:24	1596	-1	0	183.086	1	0.919684	0	0	100779.0	324612.0	Spectral Match to D-Sorbitol from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf576	-1	GNPS-NIST14-MATCHES.mgf	1.75019				7	0	0.000320435	183.086	0	CCMSLIB00003136083
282	spectra_filtered.mgf	*..*		:8006	8006	-1	0	163.0	1	0.919635	0	0	242327000.0	1019670.0	Massbank:KO002204 Anabasine|(-)-Anabasine [M+H]+	MASSBANK	temp/spectra_filtered.mgf282	-1	MASSBANK.mgf	754.795				6	0	0.123032	163.123	0	CCMSLIB00000216897
710	spectra_filtered.mgf	*..*		:301	14162	-1	0	165.076	1	0.916058	0	0	73527700.0	272246.0	Mannitol M+H-H2O	GNPS-LIBRARY	temp/spectra_filtered.mgf710	-1	GNPS-LIBRARY.mgf	1.01678				7	0	0.000167847	165.076	0	CCMSLIB00012176426
437	spectra_filtered.mgf	*..*		:36127	36127	-1	0	196.064	1	0.91296	0	0	189.933	1327840.0	4432-31-9 [M+H]+	MSNLIB-POSITIVE	temp/spectra_filtered.mgf437	-1	MSNLIB-POSITIVE.mgf	0.466953				6	0	9.15527e-05	196.064	0	CCMSLIB00012340035
109	spectra_filtered.mgf	*..*		:34185	34185	-1	0	432.111	1	0.909725	0	0	144.292	71097800.0	Ex229 [M+H]+	MSNLIB-POSITIVE	temp/spectra_filtered.mgf109	-1	MSNLIB-POSITIVE.mgf	293.727				7	0	0.126923	432.238	0	CCMSLIB00012336145
96	spectra_filtered.mgf	*..*		:2109	3963	-1	0	135.117	1	0.905471	0	0	105344.0	2937480.0	Spectral Match to .alpha.-Pinene oxide from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf96	-1	GNPS-NIST14-MATCHES.mgf	270.355				6	0	0.0365295	135.08	0	CCMSLIB00003138450
173	spectra_filtered.mgf	*..*		:301	14162	-1	0	165.076	1	0.90236	0	0	73527700.0	492022.0	Mannitol M+H-H2O	GNPS-LIBRARY	temp/spectra_filtered.mgf173	-1	GNPS-LIBRARY.mgf	1.10922				7	0	0.000183105	165.076	0	CCMSLIB00012176426
