cluster index	parent mass	RTMean	ATTRIBUTE_Group:GNPSGROUP:nan	ATTRIBUTE_Group:GNPSGROUP:BB	ATTRIBUTE_Group:GNPSGROUP:IAA	ATTRIBUTE_Group:GNPSGROUP:Pt	ATTRIBUTE_Group:GNPSGROUP:QC	ATTRIBUTE_Group:GNPSGROUP:wt	ATTRIBUTE_Group_detailed:GNPSGROUP:nan	ATTRIBUTE_Group_detailed:GNPSGROUP:Pt_1	ATTRIBUTE_Group_detailed:GNPSGROUP:Pt_2	ATTRIBUTE_Group_detailed:GNPSGROUP:wt_1	ATTRIBUTE_Group_detailed:GNPSGROUP:wt_2	ATTRIBUTE_Group_super_detailed:GNPSGROUP:nan	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_1A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_1B	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_2A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_2B	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_1A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_1B	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_2A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_2B	ATTRIBUTE_time_point:GNPSGROUP:nan	ATTRIBUTE_time_point:GNPSGROUP:0m	ATTRIBUTE_time_point:GNPSGROUP:20m	ATTRIBUTE_plant_extract:GNPSGROUP:nan	ATTRIBUTE_plant_extract:GNPSGROUP:A	ATTRIBUTE_plant_extract:GNPSGROUP:B	ATTRIBUTE_gene_time:GNPSGROUP:nan	ATTRIBUTE_gene_time:GNPSGROUP:Pt_0m	ATTRIBUTE_gene_time:GNPSGROUP:Pt_20m	ATTRIBUTE_gene_time:GNPSGROUP:wt_0m	ATTRIBUTE_gene_time:GNPSGROUP:wt_20m
1	647.4590128494212	0.4661935	0	0.0	5667177.5	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0
2	1140.2702514674563	0.47101942	0	0.0	0.0	561570.72375	0.0	835942.8875	0	653199.51	469941.9375	1086295.8	585589.975	0	472327.1	834071.9199999999	422622.25	517261.625	659712.3	1512879.3	1171179.95	0.0	0	724308.1675	673205.44375	0	681460.4	716053.2112499999	0	606999.2849999999	516142.1625	841617.05	830268.725
3	1228.2898841542608	0.46788123	0	0.0	0.0	1090086.625	0.0	1399120.7	0	1092535.81	1087637.44	1673011.95	1125229.45	0	1030821.55	1154250.0699999998	916423.23	1258851.65	1412481.95	1933541.95	1783595.5	466863.4	0	1284385.93	1204821.395	0	1285830.5575	1203376.7675	0	1045062.435	1135110.815	1523709.425	1274531.975
4	1227.2934071941431	0.47013417	0	0.0	0.0	1089192.7825	0.0	1446005.895	0	1070705.275	1107680.29	1737349.19	1154662.6	0	983349.2	1158061.35	864625.5800000001	1350735.0	1459356.9300000002	2015341.45	1798830.85	510494.35	0	1325474.9125	1209723.7650000001	0	1276540.6400000001	1258658.0375	0	1032492.4500000001	1145893.115	1618457.375	1273554.415
5	957.2734482091288	0.4705798	0	0.0	0.0	1637703.0	0.0	2291590.4375	0	1662145.875	1613260.125	2479985.475	2103195.4	0	1575552.8	1748738.95	1363864.75	1862655.5	1947088.05	3012882.9	2912635.2	1293755.6	0	1899160.2125	2030133.225	0	1949785.2000000002	1979508.2374999998	0	1655042.375	1620363.625	2143278.05	2439902.825
6	1005.2367607402526	0.47241905	0	0.0	0.0	2545252.8375	242646.04166666666	3589320.85	0	2566777.275	2523728.4	4302890.1	2875751.6	0	2518318.3	2615236.25	2150672.3	2896784.5	3265185.7	5340594.5	4090372.65	1661130.5499999998	0	2966872.4625	3167701.225	0	3006137.2375	3128436.45	0	2562700.875	2527804.8	3371044.05	3807597.65
7	1226.2915860552714	0.4684127	0	0.0	0.0	917012.1575	0.0	1241100.8075	0	989866.765	844157.55	1498474.365	983727.25	0	931213.23	1048520.3	559878.0	1128437.1	1294199.03	1702749.7	1540673.15	426781.35	0	1182960.475	975152.49	0	1081490.8525	1076622.1125	0	969780.05	864244.265	1396140.9	1086060.7149999999
8	1215.2905188407235	0.47327524	0	0.0	0.0	577954.19	0.0	828668.0925	0	697460.49	458447.89	1088700.185	568636.0	0	502522.78	892398.2	408990.0	507905.78	665171.25	1512229.1199999999	1137272.0	0.0	0	736344.1625	670278.1199999999	0	678489.0075000001	728133.2749999999	0	633108.94	522799.44	839579.385	817756.7999999999
9	1153.2744399143198	0.47058123	0	0.0	0.0	1955717.5875	0.0	2554595.7625	0	1935363.5999999999	1976071.5750000002	2924108.3	2185083.225	0	1823372.1	2047355.0999999999	1614205.1	2337938.05	2412474.35	3435742.25	2977410.35	1392756.1	0	2218667.1	2291646.25	0	2206865.475	2303447.875	0	1921701.225	1989733.9500000002	2515632.975	2593558.55
10	956.2722002168952	0.47198474	0	0.0	0.0	1766578.6	0.0	2358846.275	0	1771379.725	1761777.475	2702882.6500000004	2014809.9	0	1607809.25	1934950.2000000002	1474456.35	2049098.6	2123904.1500000004	3281861.15	2787614.0	1242005.7999999998	0	2037160.3625	2088264.5125	0	1998445.9375	2126978.9375	0	1755582.075	1777575.125	2318738.65	2398953.9
