CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
320	405	1	0.9762	-58.539
334	405	1	0.9545	175.619
347	405	1	0.9807	-58.540
348	405	1	0.9714	58.540
356	405	1	0.9682	-175.618
398	405	1	0.9578	-175.618
400	405	1	0.9786	-58.540
405	408	1	0.9743	-58.540
320	334	1	0.9634	-234.158
334	336	1	0.957	117.580
334	347	1	0.9635	234.158
334	348	1	0.9751	117.079
334	408	1	0.9728	117.079
319	344	1	0.9846	-58.539
335	344	1	0.9734	-175.618
336	344	1	0.9781	58.540
338	344	1	0.9727	-117.079
344	346	1	0.9863	58.539
344	389	1	0.9879	0.000
344	394	1	0.9689	175.618
344	401	1	0.9739	117.079
344	406	1	0.9729	-117.079
344	407	1	0.9793	58.539
319	346	1	0.9854	0.000
335	346	1	0.9781	-117.079
336	346	1	0.981	117.079
338	346	1	0.974	-58.539
346	389	1	0.9798	-58.539
346	394	1	0.9659	117.079
346	401	1	0.9752	58.540
346	406	1	0.9741	-175.619
346	407	1	0.98	0.000
318	320	1	0.9777	-117.078
320	347	1	0.9918	0.000
320	348	1	0.9842	-117.079
320	356	1	0.983	117.079
320	398	1	0.9723	117.079
320	400	1	0.991	0.000
320	408	1	0.9825	-117.079
336	403	1	0.9648	0.000
403	406	1	0.9604	-58.540
318	338	1	0.9696	-58.037
319	338	1	0.971	58.540
335	338	1	0.9846	-58.540
338	345	1	0.9675	117.079
338	356	1	0.9739	58.038
338	389	1	0.9722	-117.079
338	394	1	0.9792	58.540
338	401	1	0.9891	0.000
319	394	1	0.9683	117.079
335	394	1	0.9759	0.000
389	394	1	0.9702	175.618
394	398	1	0.9613	-0.502
394	401	1	0.9732	-58.540
394	407	1	0.9622	-117.079
319	336	1	0.9838	-117.079
336	348	1	0.9613	-0.501
336	389	1	0.9736	58.540
336	406	1	0.9792	-58.540
336	407	1	0.9737	117.079
319	389	1	0.9851	-58.539
335	389	1	0.9709	-175.618
389	401	1	0.9706	117.079
389	406	1	0.975	-117.079
389	407	1	0.9785	58.539
319	407	1	0.981	0.000
401	407	1	0.9621	-58.540
406	407	1	0.9759	175.619
318	335	1	0.9717	0.502
319	335	1	0.973	117.079
335	356	1	0.9725	-0.502
335	398	1	0.9654	-0.502
335	401	1	0.983	-58.539
318	398	1	0.9858	0.000
347	398	1	0.9748	117.078
356	398	1	0.9872	0.000
398	400	1	0.9737	-117.078
398	408	1	0.9594	-234.158
318	348	1	0.9576	-234.157
347	348	1	0.9824	-117.079
348	356	1	0.967	234.158
348	400	1	0.9785	117.079
348	408	1	0.9899	0.000
319	401	1	0.9674	58.540
345	401	1	0.9684	-117.079
395	401	1	0.9623	-117.079
319	406	1	0.9802	-175.618
345	395	1	0.9894	0.000
318	400	1	0.9763	-117.078
347	400	1	0.9941	0.000
356	400	1	0.9814	-117.078
400	408	1	0.9864	-117.079
318	408	1	0.96	-234.157
347	408	1	0.9865	-117.079
356	408	1	0.9671	-234.158
318	347	1	0.9768	-117.078
318	356	1	0.9911	0.000
347	356	1	0.9848	117.078
332	418	2	0.993	0.106
372	418	2	0.9951	-0.003
376	418	2	0.9954	-0.006
397	418	2	0.9945	-0.001
414	418	2	0.9944	-0.005
417	418	2	0.9938	-0.006
418	424	2	0.9942	0.005
418	519	2	0.9943	-0.107
324	423	2	0.997	-0.007
331	423	2	0.9968	-0.007
368	423	2	0.9957	-0.000
391	423	2	0.996	-0.008
392	423	2	0.996	-0.000
411	423	2	0.9939	-0.007
412	423	2	0.9936	-0.004
423	425	2	0.9963	0.006
324	331	2	0.9976	0.001
331	368	2	0.9963	-0.007
331	372	2	0.9945	-0.003
331	391	2	0.9965	0.000
331	392	2	0.9965	-0.007
331	397	2	0.9949	-0.005
331	411	2	0.994	0.000
331	412	2	0.9938	-0.003
331	425	2	0.9969	-0.001
324	397	2	0.9942	-0.004
332	397	2	0.9948	0.108
372	397	2	0.9973	-0.002
376	397	2	0.9959	-0.005
397	414	2	0.9947	0.003
397	417	2	0.9961	0.005
397	424	2	0.9958	0.003
397	519	2	0.9947	-0.108
324	368	2	0.9965	-0.006
324	372	2	0.9947	-0.003
324	391	2	0.9967	0.001
324	392	2	0.9967	-0.006
324	411	2	0.9943	0.001
324	412	2	0.9941	-0.003
324	425	2	0.997	-0.000
332	412	2	0.9948	0.109
391	412	2	0.9935	-0.004
392	412	2	0.9935	0.004
411	412	2	0.9978	-0.003
412	425	2	0.9941	0.003
332	417	2	0.994	0.112
372	417	2	0.9966	0.003
376	417	2	0.9951	0.000
414	417	2	0.9939	0.001
417	424	2	0.9951	-0.001
417	519	2	0.9936	-0.113
368	391	2	0.9964	0.008
368	392	2	0.9964	0.000
368	425	2	0.9969	0.006
391	392	2	1.0	-0.008
392	411	2	0.9939	0.007
392	425	2	0.9974	0.006
391	411	2	0.9939	-0.000
391	425	2	0.9974	-0.001
376	411	2	0.9937	0.001
411	425	2	0.9944	-0.001
332	372	2	0.9953	0.109
332	376	2	0.9941	0.112
332	414	2	0.993	0.111
332	424	2	0.9939	0.111
332	519	2	0.9927	-0.001
372	414	2	0.9954	0.002
376	414	2	0.994	-0.001
414	424	2	0.9944	0.000
414	519	2	0.9946	-0.112
372	376	2	0.9963	0.003
376	424	2	0.9951	-0.001
376	519	2	0.995	-0.113
372	519	2	0.9952	-0.110
424	519	2	0.9939	-0.112
372	424	2	0.9963	0.002
372	425	2	0.9945	0.003
587	592	3	0.8818	31.937
592	593	3	0.8737	-238.099
592	607	3	0.9145	21.982
592	650	3	0.882	-238.099
592	653	3	0.8913	-15.975
592	654	3	0.882	-31.938
592	655	3	0.8664	-33.938
592	657	3	0.968	-0.000
592	675	3	0.8895	-21.983
592	700	3	0.8683	-106.034
129	139	3	0.7367	299.194
134	139	3	0.7697	150.089
136	139	3	0.8186	62.037
139	150	3	0.7729	8.989
136	150	3	0.7509	71.026
609	624	3	0.9513	-119.049
613	624	3	0.9333	-357.147
614	624	3	0.9613	-238.098
619	624	3	0.9711	0.501
624	627	3	0.9606	237.597
624	628	3	0.9687	-119.049
603	627	3	0.9688	0.499
605	627	3	0.9676	119.214
