CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
2	3	-88.020	0.000	0.7000	0.5797	1
2	4	-87.023	0.000	0.7079	0.6231	1
2	6	135.034	0.000	0.7594	0.6661	1
2	7	-86.021	0.000	0.7523	0.6548	1
2	8	-75.020	0.000	0.7985	0.6664	1
2	9	-13.004	0.000	0.7409	0.6614	1
2	13	258.017	0.000	0.7247	0.5943	1
2	15	61.015	0.000	0.7892	0.6816	1
2	16	136.035	0.000	0.8306	0.7271	1
2	17	62.016	0.000	0.8012	0.7368	1
2	21	272.069	0.000	0.7030	0.6339	1
2	30	210.053	0.000	0.7959	0.7261	1
3	4	0.996	0.000	0.8805	0.7904	1
3	5	271.016	0.000	0.7288	0.5980	1
3	7	1.998	0.000	0.8123	0.6842	1
3	8	12.999	0.000	0.8136	0.7454	1
3	9	75.016	0.000	0.8558	0.7584	1
3	10	272.018	0.000	0.7451	0.6261	1
3	11	197.999	0.000	0.7730	0.6575	1
3	12	212.051	0.000	0.7109	0.6219	1
3	13	346.036	0.000	0.7229	0.6014	1
3	14	196.998	0.000	0.7585	0.6596	1
3	15	149.034	0.000	0.7630	0.5962	1
3	16	224.054	0.000	0.7241	0.5767	1
3	17	150.035	0.000	0.7671	0.6309	1
3	19	211.050	0.000	0.7538	0.6919	1
3	20	286.070	0.000	0.7222	0.5936	1
4	5	270.020	0.000	0.7543	0.6105	1
4	6	222.057	0.000	0.7080	0.6178	1
4	7	1.002	0.000	0.8552	0.7327	1
4	8	12.003	0.000	0.8237	0.7441	1
4	9	74.019	0.000	0.8605	0.7621	1
4	10	271.021	0.000	0.7805	0.6775	1
4	11	197.002	0.000	0.7970	0.6839	1
4	12	211.055	0.000	0.7354	0.6639	1
4	13	345.040	0.000	0.7622	0.6539	1
4	14	196.001	0.000	0.7818	0.6890	1
4	15	148.038	0.000	0.7556	0.6166	1
4	16	223.058	0.000	0.7091	0.5813	1
4	17	149.039	0.000	0.7839	0.6683	1
4	19	210.054	0.000	0.8151	0.6965	1
4	20	285.073	0.000	0.7227	0.5991	1
5	6	-47.963	0.000	0.7001	0.4941	1
5	9	-196.001	0.000	0.7014	0.5664	1
5	10	1.001	0.000	0.8122	0.6625	1
5	11	-73.018	0.000	0.8519	0.7459	1
5	13	75.020	0.000	0.8006	0.6766	1
5	14	-74.019	0.000	0.8423	0.7214	1
5	19	-59.966	0.000	0.7461	0.6936	1
5	20	15.053	0.000	0.7091	0.6440	1
6	8	-210.054	0.000	0.7323	0.5977	1
6	10	48.965	0.000	0.7269	0.5863	1
6	12	-11.002	0.000	0.7087	0.5559	1
6	13	122.983	0.000	0.7848	0.6082	1
6	14	-26.055	0.000	0.7223	0.5531	1
6	15	-74.019	0.000	0.8408	0.7217	1
6	16	1.001	0.000	0.8754	0.7653	1
6	17	-73.018	0.000	0.8436	0.7719	1
6	20	63.017	0.000	0.7710	0.5479	1
6	21	137.035	0.000	0.7913	0.6456	1
6	30	75.020	0.000	0.8249	0.7408	1
6	31	136.034	0.000	0.7591	0.6114	1
7	8	11.001	0.000	0.7847	0.6978	1
7	9	73.017	0.000	0.8536	0.7494	1
7	10	270.019	0.000	0.8295	0.7443	1
7	11	196.001	0.000	0.7809	0.6773	1
7	12	210.053	0.000	0.8022	0.7169	1
7	13	344.038	0.000	0.8011	0.7354	1
7	15	147.036	0.000	0.7597	0.6085	1
7	16	222.056	0.000	0.7433	0.6193	1
7	17	148.037	0.000	0.8272	0.7283	1
7	19	209.052	0.000	0.7062	0.6623	1
7	20	284.071	0.000	0.7417	0.6165	1
8	9	62.016	0.000	0.8296	0.7444	1
8	15	136.035	0.000	0.8361	0.6528	1
8	16	211.055	0.000	0.7125	0.5572	1
8	17	137.036	0.000	0.7877	0.6576	1
9	10	197.002	0.000	0.7529	0.6402	1
9	11	122.983	0.000	0.7734	0.6673	1
9	12	137.036	0.000	0.7543	0.6635	1
9	13	271.021	0.000	0.7460	0.6419	1
9	14	121.982	0.000	0.7582	0.6906	1
9	15	74.019	0.000	0.8252	0.6681	1
9	16	149.039	0.000	0.7082	0.5725	1
9	17	75.020	0.000	0.7932	0.6921	1
9	19	136.035	0.000	0.8172	0.6890	1
9	20	211.054	0.000	0.7168	0.5983	1
10	11	-74.019	0.000	0.7948	0.7247	1
10	12	-59.967	0.000	0.7781	0.7136	1
10	13	74.019	0.000	0.8836	0.7519	1
10	14	-75.020	0.000	0.8290	0.6940	1
10	15	-122.983	0.000	0.7670	0.5884	1
10	16	-47.963	0.000	0.7727	0.6123	1
10	17	-121.982	0.000	0.7963	0.6682	1
10	19	-60.968	0.000	0.7391	0.7078	1
10	20	14.052	0.000	0.7519	0.6777	1
10	21	88.071	0.000	0.7218	0.6769	1
11	12	14.052	0.000	0.7463	0.7102	1
11	13	148.038	0.000	0.8910	0.7915	1
11	14	-1.001	0.000	0.8334	0.6643	1
11	15	-48.964	0.000	0.7341	0.5157	1
11	16	26.055	0.000	0.7613	0.5657	1
11	17	-47.964	0.000	0.7772	0.6102	1
11	19	13.051	0.000	0.7093	0.6934	1
11	20	88.071	0.000	0.7340	0.6798	1
11	21	162.089	0.000	0.7094	0.6369	1
12	13	133.985	0.000	0.8000	0.7608	1
12	14	-15.053	0.000	0.7105	0.6409	1
12	15	-63.017	0.000	0.7847	0.5905	1
12	16	12.003	0.000	0.7599	0.6169	1
12	17	-62.016	0.000	0.8275	0.6910	1
12	19	-1.001	0.000	0.8391	0.7099	1
12	20	74.019	0.000	0.8430	0.6904	1
13	14	-149.039	0.000	0.7927	0.6384	1
13	15	-197.002	0.000	0.8008	0.6069	1
13	16	-121.982	0.000	0.8172	0.6338	1
13	17	-196.001	0.000	0.8216	0.6584	1
13	19	-134.986	0.000	0.7525	0.7175	1
13	20	-59.967	0.000	0.7897	0.6995	1
13	21	14.052	0.000	0.7710	0.7225	1
14	15	-47.963	0.000	0.7711	0.6049	1
