feature_id	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class
1	1.0	0.46669862	ISDB	http://www.wikidata.org/entity/Q104916547	APTYMLOLERDMRK-FQPZWGHWSA-N	InChI=1S/C42H62O5/c1-26-10-14-31-37(3,4)18-8-19-38(31,5)30(26)13-11-28-16-22-41(23-17-28)29-12-15-32-39(6)20-9-21-40(7,36(45)46)33(39)24-34(47-27(2)43)42(32,25-29)35(41)44/h16,29-34H,1,8-15,17-25H2,2-7H3,(H,45,46)/t29-,30-,31-,32+,33+,34+,38+,39+,40-,41-,42-/m1/s1	C=C1CC[C@@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1CCC1=CC[C@]2(CC1)C(=O)[C@]13C[C@H]2CC[C@H]1[C@]1(C)CCC[C@@](C)(C(=O)O)[C@H]1C[C@@H]3OC(C)=O	C42H62O5	nan	646.459725084	(1'R,2'S,4S,4'S,5'R,9'S,10'S,13'R)-1-[2-[(1R,4aR,8aR)-5,5,8a-trimethyl-2-methylidene-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]ethyl]-2'-acetyloxy-5',9'-dimethyl-15'-oxospiro[cyclohexene-4,14'-tetracyclo[11.2.1.01,10.04,9]hexadecane]-5'-carboxylic acid	APTYMLOLERDMRK	Terpenoids	Diterpenoids	Kaurane and Phyllocladane diterpenoids	http://www.wikidata.org/entity/Q10835242	Xylopia emarginata	3867957.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Magnoliales']	['Annonaceae']	['Xylopieae']	['Xylopia']	['Xylopia emarginata']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	1.866794466972351	1	-1	nan	nan	nan	nan	nan	nan
102	3.0	0.45166954	ISDB	http://www.wikidata.org/entity/Q27138440	BBRMJCAPNGJKEM-AQASXUMVSA-N	InChI=1S/C16H29NO/c1-4-5-6-7-8-9-10-11-12-13-16(18)17-14-15(2)3/h10-13,15H,4-9,14H2,1-3H3,(H,17,18)/b11-10+,13-12+	CCCCCCC/C=C/C=C/C(=O)NCC(C)C	C16H29NO	nan	251.224914548	2,4-Dodecadienamide, N-(2-methylpropyl)-, (2E,4E)-	BBRMJCAPNGJKEM	Fatty acids	Fatty amides	N-acyl amines	http://www.wikidata.org/entity/Q15246421	Piper sintenense	5478628.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Piperales']	['Piperaceae']	['Unknown']	['Piper']	['Piper sintenense']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	3	3.3066781759262085	1	6	Fatty acids	0.5769230769230769	Fatty acyls	0.2692307692307692	N-acyl amines	0.3076923076923077
106	1.0	0.23790513	ISDB	nan	nan	nan	nan	nan	nan	nan	nan	ASEBTWHXRMVUJL	nan	nan	nan	nan	nan	nan	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	0.9516205191612244	1	72	Carbohydrates	0.5	Aminosugars and aminoglycosides	0.5	Aminosugars	0.5
107	1.0	0.20185995	ISDB	http://www.wikidata.org/entity/Q110171875	MRKMGEXDKRHLPD-QFHLTQOMSA-N	InChI=1S/C26H35NO6/c1-17(2)22(29)10-9-18(3)7-6-8-19(4)11-14-33-25-23(32-5)15-20-21(24(25)30)16-27(12-13-28)26(20)31/h7,11,15,28,30H,1,6,8-10,12-14,16H2,2-5H3/b18-7+,19-11+	C=C(C)C(=O)CC/C(C)=C/CC/C(C)=C/COc1c(OC)cc2c(c1O)CN(CCO)C2=O	C26H35NO6	nan	457.24643784	Aspernidine H	MRKMGEXDKRHLPD	Alkaloids	Pseudoalkaloids	Isoindole alkaloids	http://www.wikidata.org/entity/Q683881	Aspergillus nidulans	117339.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Eurotiomycetes']	['Eurotiales']	['Trichocomaceae']	['Unknown']	['Aspergillus']	['Aspergillus nidulans']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	3	2.3074398040771484	1	17	Alkaloids	0.08333333333333333	Pseudoalkaloids	0.08333333333333333	Isoindole alkaloids	0.08333333333333333
110	4.0	0.2517325	ISDB	http://www.wikidata.org/entity/Q105009489	GJNIZHUDNBTUTM-NYZDEALMSA-N	InChI=1S/C16H21ClO2/c1-4-6-8-9-11-13-16(19-14(3)18)15(17)12-10-7-5-2/h2,6-11,15-16H,4,12-13H2,1,3H3/b8-6+,10-7?,11-9?	C#CC=CCC(Cl)C(CC=C/C=C/CC)OC(C)=O	C16H21ClO2	nan	280.123007592	nan	GJNIZHUDNBTUTM	Fatty acids	Fatty acyls	Fatty alcohols	http://www.wikidata.org/entity/Q42362687	Chondrophycus glandulifer	4012168.0	['Eukaryota']	['Archaeplastida']	['Rhodophyta']	['Florideophycidae']	['Unknown']	['Unknown']	['Unknown']	['Chondrophycus']	['Chondrophycus glandulifer']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	2	2.0069299936294556	1	6	Fatty acids	0.5769230769230769	Fatty acyls	0.2692307692307692	N-acyl amines	0.3076923076923077
114	1.0	0.6871268	ISDB	nan	nan	nan	nan	nan	nan	nan	nan	AOMUHOFOVNGZAN	nan	nan	nan	nan	nan	nan	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	2.748507261276245	1	57	nan	nan	nan	nan	nan	nan
117	3.0	0.0	MS1_match	http://www.wikidata.org/entity/Q105188837	OAVJZQQCCILZMJ-VZRYHHJDSA-N	InChI=1S/C21H32O4/c1-14(12-19(24)25-5)6-8-16-15(2)7-9-17-20(16,3)11-10-18(23)21(17,4)13-22/h12,16-17,22H,2,6-11,13H2,1,3-5H3/b14-12+/t16-,17+,20+,21-/m0/s1	C=C1CC[C@@H]2[C@](C)(CCC(=O)[C@@]2(C)CO)[C@H]1CC/C(C)=C/C(=O)OC	C21H32O4	pos_1_1potassium	348.230059504	Rostratone	OAVJZQQCCILZMJ	Terpenoids	Diterpenoids	Norlabdane diterpenoids	http://www.wikidata.org/entity/Q12249432	Nolana rostrata	899666.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nolaneae']	['Nolana']	['Nolana rostrata']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	nan	nan	nan	6	1	6.5	1	23	Terpenoids	0.2	Flavonoids	0.2	Chalcones	0.2
122	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q104667635	QUZHZFAQJATMCA-QAZQWDDOSA-N	InChI=1S/C45H74O10/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-40(47)52-36-38(37-53-45-44(51)43(50)42(49)39(35-46)55-45)54-41(48)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h5-8,11-14,17-20,38-39,42-46,49-51H,3-4,9-10,15-16,21-37H2,1-2H3/b7-5-,8-6-,13-11-,14-12-,19-17-,20-18-/t38-,39-,42+,43+,44-,45-/m1/s1	CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)OC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC	C45H74O10	pos_1_1proton1ammonium	774.5281985680001	1,2-Di-O-alpha-linolenoyl-3-O-beta-galactopyranosyl-sn-glycerol	QUZHZFAQJATMCA	Fatty acids	Glycerolipids	Glycosyldiacylglycerols	http://www.wikidata.org/entity/Q1380	Capsicum annuum	473836.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Capsiceae']	['Capsicum']	['Capsicum annuum']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	nan	nan	nan	6	3	7.5	1	55	Fatty acids	0.625	Glycerolipids	0.625	Glycosyldiacylglycerols	0.5
123	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q105373046	ZEBIACKKLGVLFZ-VXGBXAGGSA-N	InChI=1S/C13H24N2O/c1-14-7-3-5-11(14)9-13(16)10-12-6-4-8-15(12)2/h11-12H,3-10H2,1-2H3/t11-,12-/m1/s1	CN1CCC[C@@H]1CC(=O)C[C@H]1CCCN1C	C13H24N2O	pos_1_1proton	224.188863388	1,3-Bis(1-methyl-2beta-pyrrolidinyl)-2-propanone	ZEBIACKKLGVLFZ	Alkaloids	Ornithine alkaloids	Pyrrolidine alkaloids	http://www.wikidata.org/entity/Q15535397	Solanum grandiflorum	3869761.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Solaneae']	['Solanum']	['Solanum grandiflorum']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	nan	nan	nan	6	3	7.5	1	82	Alkaloids	1.0	Fatty acyls	1.0	Pyrrolidine alkaloids	0.5
124	3.0	0.504475	ISDB	http://www.wikidata.org/entity/Q105185176	NSOPGAYUGBZWHL-UHFFFAOYSA-N	InChI=1S/C39H64O5/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-38(41)43-35-37(40)36-44-39(42)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h5-8,11-14,17-20,37,40H,3-4,9-10,15-16,21-36H2,1-2H3	CCC=CCC=CCC=CCCCCCCCC(=O)OCC(O)COC(=O)CCCCCCCC=CCC=CCC=CCC	C39H64O5	nan	612.475375148	(2-Hydroxy-3-octadeca-9,12,15-trienoyloxypropyl) octadeca-9,12,15-trienoate	NSOPGAYUGBZWHL	Fatty acids	Glycerolipids	Triacylglycerols	http://www.wikidata.org/entity/Q2051387	Angelica sinensis	182228.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Apiales']	['Apiaceae']	['Selineae']	['Angelica']	['Angelica sinensis']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	nan	nan	nan	nan	nan	4	2	7.017899990081787	1	55	Fatty acids	0.625	Glycerolipids	0.625	Glycosyldiacylglycerols	0.5
