row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20260428_CVOL_Group_03_BB_10mM.mzML Peak height,20260428_CVOL_Group_03_IAA_50uM.mzML Peak height,20260428_CVOL_Group_03_Pt_1A_0m.mzML Peak height,20260428_CVOL_Group_03_Pt_1A_20m.mzML Peak height,20260428_CVOL_Group_03_Pt_1B_0m.mzML Peak height,20260428_CVOL_Group_03_Pt_1B_20m.mzML Peak height,20260428_CVOL_Group_03_Pt_2A_0m.mzML Peak height,20260428_CVOL_Group_03_Pt_2A_20m.mzML Peak height,20260428_CVOL_Group_03_Pt_2B_0m.mzML Peak height,20260428_CVOL_Group_03_Pt_2B_20m.mzML Peak height,20260428_CVOL_Group_03_QC_01.mzML Peak height,20260428_CVOL_Group_03_QC_02.mzML Peak height,20260428_CVOL_Group_03_QC_03.mzML Peak height,20260428_CVOL_Group_03_QC_04.mzML Peak height,20260428_CVOL_Group_03_QC_05.mzML Peak height,20260428_CVOL_Group_03_QC_06.mzML Peak height,20260428_CVOL_Group_03_bl.mzML Peak height,20260428_CVOL_Group_03_wt_1A_0m.mzML Peak height,20260428_CVOL_Group_03_wt_1A_20m.mzML Peak height,20260428_CVOL_Group_03_wt_1B_0m.mzML Peak height,20260428_CVOL_Group_03_wt_1B_20m.mzML Peak height,20260428_CVOL_Group_03_wt_2A_0m.mzML Peak height,20260428_CVOL_Group_03_wt_2A_20m.mzML Peak height,20260428_CVOL_Group_03_wt_2B_0m.mzML Peak height,20260428_CVOL_Group_03_wt_2B_20m.mzML Peak height,20260428_CVOL_bk_mapp_pre_01.mzML Peak height,
1,647.4590128494212,0.4661935,,,,,,,,,,,0,5667177.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6971150.0,0,0,0,0,0,0,0,0,0,
2,1140.2702514674565,0.47101942,,,,,,,,,,,0,0,944654.2,0,638098.44,1030045.4,845244.5,0,0,1034523.25,0,0,0,0,0,0,0,1319424.6,0,804813.1,2220945.5,1242230.5,1100129.4,0,0,0,
3,1228.2898841542608,0.46788123,,,,,,,,,,,0,0,1182054.1,879589.0,958873.94,1349626.2,1189191.9,643654.56,850129.8,1667573.5,0,0,0,0,0,0,0,1983016.5,841947.4,1337966.4,2529117.5,1840128.0,1727063.0,933726.8,0,0,
4,1227.2934071941431,0.47013417,,,,,,,,,,,0,0,1158031.5,808666.9,1006740.3,1309382.4,1050790.1,678461.06,914407.9,1787062.1,0,0,0,0,0,0,0,2072573.8,846140.06,1455174.9,2575508.0,1925092.1,1672569.6,1020988.7,0,0,
5,957.2734482091289,0.4705798,,,,,,,,,,,0,0,1993258.6,1157847.0,1444735.5,2052742.4,1827886.2,899843.3,1354289.2,2371021.8,0,0,0,0,0,0,0,2829356.2,1064819.9,1620624.8,4405141.0,2801896.2,3023374.2,1321235.0,1266276.2,0,
6,1005.2367607402526,0.47241905,,,,,,,,,,,0,0,3362411.5,1674225.1,2053265.0,3177207.5,2696659.2,1604685.4,2138467.8,3655101.2,0,0,0,601234.5,0,854641.75,0,4652015.0,1878356.4,3043584.5,7637604.5,3874331.8,4306413.5,1914244.9,1408016.2,0,
7,1226.2915860552714,0.4684127,,,,,,,,,,,0,0,1051951.4,810475.06,910346.0,1186694.6,1119756.0,0,797066.8,1459807.4,0,0,0,0,0,0,0,1837831.5,750566.56,1235196.6,2170302.8,1657972.8,1423373.5,853562.7,0,0,
8,1215.2905188407235,0.47327524,,,,,,,,,,,0,0,1005045.56,0,709410.2,1075386.2,817980.0,0,0,1015811.56,0,0,0,0,0,0,0,1330342.5,0,905195.44,2119262.8,1122779.6,1151764.4,0,0,0,
9,1153.2744399143198,0.47058123,,,,,,,,,,,0,0,2194790.0,1451954.2,1748999.4,2345710.8,2006141.6,1222268.6,1736873.9,2939002.2,0,0,0,0,0,0,0,3463169.2,1361779.5,2029866.0,4841618.5,3062727.5,2892093.2,1506769.2,1278743.0,0,
10,956.2722002168952,0.47198474,,,,,,,,,,,0,0,2011202.5,1204416.0,1597087.2,2272813.2,1876773.6,1072139.1,1537265.0,2560932.2,0,0,0,0,0,0,0,2982697.2,1265111.1,1980483.8,4583238.5,2908643.2,2666584.8,1403130.4,1080881.2,0,
