"canopus_formulaRank"	"canopus_molecularFormula"	"canopus_adduct"	"canopus_precursorFormula"	"canopus_NPC#pathway"	"canopus_NPC#pathway Probability"	"canopus_NPC#superclass"	"canopus_NPC#superclass Probability"	"canopus_NPC#class"	"canopus_NPC#class Probability"	"canopus_ClassyFire#superclass"	"canopus_ClassyFire#superclass probability"	"canopus_ClassyFire#class"	"canopus_ClassyFire#class Probability"	"canopus_ClassyFire#subclass"	"canopus_ClassyFire#subclass Probability"	"canopus_ClassyFire#level 5"	"canopus_ClassyFire#level 5 Probability"	"canopus_ClassyFire#most specific class"	"canopus_ClassyFire#most specific class Probability"	"canopus_ClassyFire#all classifications"	"canopus_ionMass"	"canopus_retentionTimeInSeconds"	"canopus_retentionTimeInMinutes"	"canopus_formulaId"	"canopus_alignedFeatureId"	"canopus_compoundId"	"canopus_mappingFeatureId"	"canopus_overallFeatureQuality"	"feature_id"
2	"C41H72N8O11"	"[M + H3N + H]+"	"C41H76N9O11+"	"Amino acids and Peptides"	0.935	"Oligopeptides"	0.995	"Lipopeptides"	0.786	"Organic acids and derivatives"	0.994	"Carboxylic acids and derivatives"	0.986	"Amino acids, peptides, and analogues"	0.972	"Peptides"	0.664	"Peptides"	0.664	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Guanidines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	870.566	28	0.46	839408661203031168	839408476783673088	839408476783673088	24	NA	24
6	"C44H58N2O2"	"[M + H]+"	"C44H59N2O2+"	"Alkaloids"	0.245	"Flavonoids"	0.206	"Chalcones"	0.281	"Benzenoids"	0.995	"Benzene and substituted derivatives"	0.97	"Phenylpropanes"	0.969	NA	NA	"Phenylpropanes"	0.969	"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Benzoyl derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Phenylpropanes; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	647.459	28	0.466	839408606060514560	839408474850098944	839408474833321728	1	NA	1
2	"C36H73NO2"	"[M - H2O + H]+"	"C36H72NO+"	"Fatty acids"	1	"Spingolipids"	1	"Ceramides"	1	"Lipids and lipid-like molecules"	0.997	"Sphingolipids"	0.983	"Ceramides"	0.995	"Long-chain ceramides"	0.812	"Long-chain ceramides"	0.812	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Ceramides; Secondary alcohols; Secondary carboxylic acid amides; Long-chain ceramides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	534.561	29	0.477	839408599190244352	839408476678815488	839408476674621184	22	NA	22
3	"C42H64O7"	"[M + H3N + H]+"	"C42H68NO7+"	"Terpenoids"	0.981	"Triterpenoids"	0.932	"Ursane and Taraxastane triterpenoids"	0.316	"Lipids and lipid-like molecules"	0.96	"Prenol lipids"	0.859	"Triterpenoids"	0.743	NA	NA	"Triterpenoids"	0.743	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Steroids and steroid derivatives; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Cyclic alcohols and derivatives; Triterpenoids; Secondary alcohols; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	698.5	29	0.484	839408602075925504	839408477471539072	839408477471539072	36	NA	36
3	"C34H67NO"	"[M + H]+"	"C34H68NO+"	"Fatty acids"	1	"Fatty amides"	0.995	"N-acyl amines"	0.713	"Lipids and lipid-like molecules"	0.985	"Fatty Acyls"	0.979	"Fatty amides"	0.981	"N-acyl amines"	0.928	"N-acyl amines"	0.928	"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	506.53	29	0.485	839408599618063360	839408477370875776	839408477370875776	34	NA	34
2	"C55H72N4O6"	"[M + H]+"	"C55H73N4O6+"	"Alkaloids"	0.98	"Tryptophan alkaloids"	0.062	"Pyrrole alkaloids"	0.016	"Organoheterocyclic compounds"	0.999	"Tetrapyrroles and derivatives"	0.999	NA	NA	NA	NA	"Tetrapyrroles and derivatives"	0.999	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Pyrroles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Tetrapyrroles and derivatives; Carbonyl compounds; Substituted pyrroles; Methyl esters; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	885.552	29	0.485	839408650012627712	839408477580590976	839408477580590976	38	NA	38
1	"C40H60O7"	"[M + H3N + H]+"	"C40H64NO7+"	"Terpenoids"	0.99	"Triterpenoids"	0.932	"Ursane and Taraxastane triterpenoids"	0.287	"Lipids and lipid-like molecules"	0.984	"Prenol lipids"	0.87	"Triterpenoids"	0.737	NA	NA	"Triterpenoids"	0.737	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Steroids and steroid derivatives; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Cyclic alcohols and derivatives; Hydroxysteroids; Triterpenoids; Secondary alcohols; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	670.468	29	0.486	839408604500233344	839408476733341440	839408476733341440	23	NA	23
1	"C34H62O"	"[M + H3N + H]+"	"C34H66NO+"	"Terpenoids"	0.849	"Steroids"	0.17	"Prenyl quinone meroterpenoids"	0.29	"Lipids and lipid-like molecules"	0.875	"Prenol lipids"	0.661	NA	NA	NA	NA	"Prenol lipids"	0.661	"Organic compounds; Lipids and lipid-like molecules; Ethers; Prenol lipids; Organooxygen compounds; Dialkyl ethers; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	504.514	29	0.487	839409213630626304	839408477635116928	839408477635116928	39	NA	39
3	"C32H62O"	"[M + H3N + H]+"	"C32H66NO+"	"Terpenoids"	0.844	"Steroids"	0.366	"Cholestane steroids"	0.254	"Lipids and lipid-like molecules"	0.907	"Prenol lipids"	0.506	NA	NA	NA	NA	"Prenol lipids"	0.506	"Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	480.515	29	0.488	839408987779936896	839408477312155520	839408477312155520	33	NA	33
5	"C12H15FN4O3S"	"[M - H2O + H]+"	"C12H14FN4O2S+"	"Alkaloids"	0.561	"Histidine alkaloids"	0.022	"Imidazole alkaloids"	0.022	"Benzenoids"	0.929	"Benzene and substituted derivatives"	0.951	"Halobenzenes"	0.847	"Fluorobenzenes"	0.874	"Fluorobenzenes"	0.874	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Halobenzenes; Pyrimidines and pyrimidine derivatives; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Aryl fluorides; Fluorobenzenes; Sulfonyls; Diazines; Organofluorides; Benzene and substituted derivatives; Benzenoids; Aryl halides; Aminosulfonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	297.082	29	0.488	839408606568025472	839408477828054912	839408477828054912	43	NA	43
2	"C28H57NO"	"[M + H]+"	"C28H58NO+"	"Fatty acids"	0.996	"Fatty amides"	0.994	"N-acyl amines"	0.539	"Lipids and lipid-like molecules"	0.941	"Fatty Acyls"	0.94	"Fatty amides"	0.931	"N-acyl amines"	0.815	"N-acyl amines"	0.815	"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	424.451	29	0.489	839408602608602240	839408478104878976	839408478104878976	49	NA	49
1	"C32H60O"	"[M + H3N + H]+"	"C32H64NO+"	"Terpenoids"	0.972	"Meroterpenoids"	0.256	"Prenyl quinone meroterpenoids"	0.647	"Lipids and lipid-like molecules"	0.893	"Prenol lipids"	0.688	"Diterpenoids"	0.541	NA	NA	"Diterpenoids"	0.541	"Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Organooxygen compounds; Carboxylic acid esters; Diterpenoids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	478.498	29	0.489	839409197222508800	839408477966466944	839408477962272640	46	NA	46
1	"C18H26N4O11S"	"[M - H2O + H]+"	"C18H25N4O10S+"	"Carbohydrates"	0.749	"Nucleosides"	0.486	"Pyrimidine nucleosides"	0.547	"Organic acids and derivatives"	0.992	"Carboxylic acids and derivatives"	0.9	"Amino acids, peptides, and analogues"	0.765	"Amino acids and derivatives"	0.763	"Alpha amino acids and derivatives"	0.69	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Lactams; Beta lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Organic carbonic acids and derivatives; Organic sulfuric acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acids; Diazines; Secondary alcohols; Carbonyl compounds; Hydropyrimidines; Amines; Sulfenyl compounds; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	489.129	29	0.489	839409444195712640	839408477916135296	839408477916135296	45	NA	45
6	"C12H15ClN2O3Si"	"[M - H2O + H]+"	"C12H14ClN2O2Si+"	"Alkaloids"	0.747	"Tryptophan alkaloids"	0.319	"Benzodiazepine alkaloids"	0.177	"Benzenoids"	0.803	"Benzene and substituted derivatives"	0.555	"Halobenzenes"	0.483	"Chlorobenzenes"	0.54	"Chlorobenzenes"	0.54	"Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl chlorides; Chlorobenzenes; Organochlorides; Benzene and substituted derivatives; Benzenoids; Aryl halides; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	281.051	29	0.489	839408609780862336	839408477781917568	839408477781917568	42	NA	42
1	"C34H60O"	"[M + H3N + H]+"	"C34H64NO+"	"Terpenoids"	0.882	"Steroids"	0.102	"Prenyl quinone meroterpenoids"	0.42	"Lipids and lipid-like molecules"	0.961	"Prenol lipids"	0.801	NA	NA	NA	NA	"Prenol lipids"	0.801	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Prenol lipids; Primary alcohols; Organooxygen compounds; Fatty Acyls; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	502.498	29	0.49	839408906091671680	839408478058741632	839408478058741632	48	NA	48
8	"C11H8ClNO"	"[M + H3N + H]+"	"C11H12ClN2O+"	"Alkaloids"	0.853	"Tryptophan alkaloids"	0.433	"Simple oxindole alkaloids"	0.103	"Benzenoids"	0.992	"Benzene and substituted derivatives"	0.858	"Halobenzenes"	0.667	"Chlorobenzenes"	0.639	"Chlorobenzenes"	0.639	"Organic compounds; Halobenzenes; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Aryl chlorides; Chlorobenzenes; Organochlorides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	223.064	29	0.49	839408652323689472	839408477739974528	839408477735780224	41	NA	41
