formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C40H76N4O15	[M + H3N + H]+	C40H80N5O15+	0.504	0.163	35.692	35.692	0.000	12	0.597	0.740	0.878	1.518		870.566	28	0.460	839146219193865235	839146021600198276	839146021596003971	24	
1	C37H64N2O8	[M - H2O + H]+	C37H63N2O7+	0.343	0.323	37.529	32.657	4.872	16	0.643	3.491	3.857	-27823.435		647.459	28	0.466	839146155994090608	839146019700178472	839146019675012647	1	
1	C50H71N3O21Si7	[M - H2O + H]+	C50H70N3O20Si7+	0.203	0.071	43.024	43.024	0.000	41	0.783	0.147	1.018	-14665.828		1228.290	28	0.468	839147021178355623	839146020077665840	839146020073471535	3	
1	C51H69N3O22Si6	[M - H2O + H]+	C51H68N3O21Si6+	0.366	0.258	51.222	51.222	0.000	30	0.793	0.673	1.121	-14690.239		1226.292	28	0.468	839146542717318353	839146020429987392	839146020429987391	7	
1	C49H72O26Si6	[M - H2O + H]+	C49H71O25Si6+	0.125	0.070	77.332	77.332	0.000	42	0.812	0.651	1.018	-14671.804		1227.293	28	0.470	839146838101180042	839146020190912052	839146020186717747	4	
1	C45H58F3NO11Si6	[M + H3N + H]+	C45H62F3N2O11Si6+	0.168	0.238	30.545	30.545	0.000	25	0.724	-0.189	0.691	0.610		1031.292	28	0.471	839146296494892021	839146020971052636	839146020966858331	14	
1	C47H66N4O18Si7	[M - H2O + H]+	C47H65N4O17Si7+	0.335	0.320	75.223	71.798	3.425	41	0.763	0.373	0.649	-15615.133		1153.274	28	0.471	839146808921406988	839146020627119688	839146020627119687	9	
1	C41H71NO24Si7	[M - H2O + H]+	C41H70NO23Si7+	0.368	0.333	43.850	43.850	0.000	38	0.788	-0.050	1.046	-15796.356		1140.270	28	0.471	839146914227797723	839146019947642412	839146019939253803	2	
1	C34H58F7N3O14Si6	[M - H2O + H]+	C34H57F7N3O13Si6+	0.282	0.292	33.272	33.272	0.000	23	0.750	-0.079	0.848	-17722.847		1016.239	28	0.472	839146201376461225	839146020836834900	839146020836834899	12	
1	C35H63N5O14Si7	[M - H2O + H]+	C35H62N5O13Si7+	0.141	0.051	61.802	61.802	0.000	35	0.821	0.155	0.631	-18834.296		956.272	28	0.472	839146512140841622	839146020702617164	839146020698422859	10	
