"samples"	"LV1"	"LV2"
"20260428_CVOL_Group_03_Pt_1A_0m.mzML"	-11.8366020027515	1.26861384739934
"20260428_CVOL_Group_03_Pt_1A_20m.mzML"	-12.3893967100414	1.41723329413619
"20260428_CVOL_Group_03_Pt_1B_0m.mzML"	-12.8037930247536	1.21142813584107
"20260428_CVOL_Group_03_Pt_1B_20m.mzML"	-13.200880362898	1.90120955917649
"20260428_CVOL_Group_03_Pt_2A_0m.mzML"	-12.2166293125954	1.46456474389069
"20260428_CVOL_Group_03_Pt_2A_20m.mzML"	-11.9396938596726	0.623755092308987
"20260428_CVOL_Group_03_Pt_2B_0m.mzML"	-11.9021543545425	0.135770904493252
"20260428_CVOL_Group_03_Pt_2B_20m.mzML"	-13.9665949194835	1.186392403159
"20260428_CVOL_Group_03_wt_1A_0m.mzML"	-5.11911349036044	-4.71442745277228
"20260428_CVOL_Group_03_wt_1A_20m.mzML"	-11.4077352992368	0.0789626356900593
"20260428_CVOL_Group_03_wt_1B_0m.mzML"	-2.81263900123765	-4.87115780673516
"20260428_CVOL_Group_03_wt_1B_20m.mzML"	-12.2025151442777	-0.731544996201964
"20260428_CVOL_Group_03_wt_2A_0m.mzML"	-9.55656257917938	-3.56003747800723
"20260428_CVOL_Group_03_wt_2A_20m.mzML"	-12.2799218139922	-1.23925996444741
"20260428_CVOL_Group_03_wt_2B_0m.mzML"	-13.4889735722578	-0.574833750927368
"20260428_CVOL_Group_03_wt_2B_20m.mzML"	-10.3307130212645	-1.34110009658383
