"attribute_gene_time"	"attribute_group"	"attribute_group_detailed"	"attribute_group_super_detailed"	"attribute_plant_extract"	"attribute_time_point"	"filename"	"sample_id"	"sample_type"	"source_taxon"	"source_taxon_qid"
"Pt_0m"	"Pt"	"Pt_1"	"Pt_1A"	"A"	"0m"	"20260428_CVOL_Group_03_Pt_1A_0m.mzML"	"Pt_1A_0m"	"sample"	"Nicotiana benthamiana"	"Q3024956"
"Pt_20m"	"Pt"	"Pt_1"	"Pt_1A"	"A"	"20m"	"20260428_CVOL_Group_03_Pt_1A_20m.mzML"	"Pt_1A_20m"	"sample"	"Nicotiana benthamiana"	"Q3024956"
"Pt_0m"	"Pt"	"Pt_1"	"Pt_1B"	"B"	"0m"	"20260428_CVOL_Group_03_Pt_1B_0m.mzML"	"Pt_1B_0m"	"sample"	"Nicotiana benthamiana"	"Q3024956"
"Pt_20m"	"Pt"	"Pt_1"	"Pt_1B"	"B"	"20m"	"20260428_CVOL_Group_03_Pt_1B_20m.mzML"	"Pt_1B_20m"	"sample"	"Nicotiana benthamiana"	"Q3024956"
"Pt_0m"	"Pt"	"Pt_2"	"Pt_2A"	"A"	"0m"	"20260428_CVOL_Group_03_Pt_2A_0m.mzML"	"Pt_2A_0m"	"sample"	"Nicotiana benthamiana"	"Q3024956"
"Pt_20m"	"Pt"	"Pt_2"	"Pt_2A"	"A"	"20m"	"20260428_CVOL_Group_03_Pt_2A_20m.mzML"	"Pt_2A_20m"	"sample"	"Nicotiana benthamiana"	"Q3024956"
"Pt_0m"	"Pt"	"Pt_2"	"Pt_2B"	"B"	"0m"	"20260428_CVOL_Group_03_Pt_2B_0m.mzML"	"Pt_2B_0m"	"sample"	"Nicotiana benthamiana"	"Q3024956"
"Pt_20m"	"Pt"	"Pt_2"	"Pt_2B"	"B"	"20m"	"20260428_CVOL_Group_03_Pt_2B_20m.mzML"	"Pt_2B_20m"	"sample"	"Nicotiana benthamiana"	"Q3024956"
"wt_0m"	"wt"	"wt_1"	"wt_1A"	"A"	"0m"	"20260428_CVOL_Group_03_wt_1A_0m.mzML"	"wt_1A_0m"	"sample"	"Nicotiana benthamiana"	"Q3024956"
"wt_20m"	"wt"	"wt_1"	"wt_1A"	"A"	"20m"	"20260428_CVOL_Group_03_wt_1A_20m.mzML"	"wt_1A_20m"	"sample"	"Nicotiana benthamiana"	"Q3024956"
"wt_0m"	"wt"	"wt_1"	"wt_1B"	"B"	"0m"	"20260428_CVOL_Group_03_wt_1B_0m.mzML"	"wt_1B_0m"	"sample"	"Nicotiana benthamiana"	"Q3024956"
"wt_20m"	"wt"	"wt_1"	"wt_1B"	"B"	"20m"	"20260428_CVOL_Group_03_wt_1B_20m.mzML"	"wt_1B_20m"	"sample"	"Nicotiana benthamiana"	"Q3024956"
"wt_0m"	"wt"	"wt_2"	"wt_2A"	"A"	"0m"	"20260428_CVOL_Group_03_wt_2A_0m.mzML"	"wt_2A_0m"	"sample"	"Nicotiana benthamiana"	"Q3024956"
"wt_20m"	"wt"	"wt_2"	"wt_2A"	"A"	"20m"	"20260428_CVOL_Group_03_wt_2A_20m.mzML"	"wt_2A_20m"	"sample"	"Nicotiana benthamiana"	"Q3024956"
"wt_0m"	"wt"	"wt_2"	"wt_2B"	"B"	"0m"	"20260428_CVOL_Group_03_wt_2B_0m.mzML"	"wt_2B_0m"	"sample"	"Nicotiana benthamiana"	"Q3024956"
"wt_20m"	"wt"	"wt_2"	"wt_2B"	"B"	"20m"	"20260428_CVOL_Group_03_wt_2B_20m.mzML"	"wt_2B_20m"	"sample"	"Nicotiana benthamiana"	"Q3024956"
