	Pt_0m_vs_Pt_20m_fold_change_log2	Pt_0m_vs_Pt_20m_p_value	Pt_0m_vs_wt_0m_fold_change_log2	Pt_0m_vs_wt_0m_p_value	Pt_0m_vs_wt_20m_fold_change_log2	Pt_0m_vs_wt_20m_p_value	Pt_20m_vs_wt_0m_fold_change_log2	Pt_20m_vs_wt_0m_p_value	Pt_20m_vs_wt_20m_fold_change_log2	Pt_20m_vs_wt_20m_p_value	wt_0m_vs_wt_20m_fold_change_log2	wt_0m_vs_wt_20m_p_value
PC(P-18:1(9Z)/P-18:1(9Z))	0.104459883891068	0.957532096520537	0.342924456743173	0.325725322912654	0.0444626822676008	0.996620462531609	0.238464572852105	0.587858128653129	-0.059997201623467	0.990919651857493	-0.298461774475572	0.425744865141546
pentaethylene glycol	0.149982616279587	0.927090996659262	0.235366736048752	0.759986490934599	0.199981148935059	0.840595578127116	0.0853841197691649	0.980970593469708	0.0499985326554715	0.996154628112952	-0.0353855871136932	0.998494918875208
3-(5-Methyl-2-furyl)prop-2-enal	0.0050117629376064	0.999967845336351	-0.385344732122575	0.0511905069839347	-0.15029661075575	0.610718295466494	-0.390356495060182	0.0474546535443537	-0.155308373693356	0.585158075783826	0.235048121366826	0.361508998059031
Musacin D	-0.0841639305143529	0.848733127246639	-0.482952975990838	0.00738624927127185	-0.126255463221139	0.639982264198151	-0.398789045476485	0.0304079573912742	-0.0420915327067863	0.979308226937954	0.356697512769699	0.0595409824164561
(+/-)-2,4,8-Trimethyl-7-nonen-2-ol	0.0285783089857357	0.998774967483535	-0.307965341354319	0.509764222794614	-0.17122664852321	0.840049213765585	-0.336543650340055	0.429489573039479	-0.199804957508946	0.765083323671573	0.136738692831109	0.931830386214382
lauramidopropyl betaine	0.331552560877984	0.241706449974763	-0.43233985527443	0.240140847960756	-0.43233985527443	0.240140847960756	-0.763892416152414	0.00824309898292042	-0.763892416152414	0.00824309898292042	0	1
Collacyclumin B	-0.0540601488529998	0.962858222355022	-0.531007596858668	0.00841513097621394	-0.175144257748646	0.477459970404143	-0.476947448005669	0.0193517042294953	-0.121084108895646	0.749791139335112	0.355863339110023	0.10895183915052
2-(4-Hydroxy-3,5-dimethoxyphenyl)ethanol 4'-glucoside	0.368121373485884	0.29703332254175	0.218918877917017	0.727349633903562	0.53290143218405	0.0613534678163692	-0.149202495568867	0.849128591899041	0.164780058698166	0.754498487439912	0.313982554267033	0.317762871734676
Proacaciberin	0.365582029041541	0.116178999382843	0.408699079276625	0.0663800609674452	0.681940181197725	0.00114503903345298	0.0431170502350845	0.986442144414524	0.316358152156185	0.0785528789527958	0.2732411019211	0.136454242380964
1H-inden-1-ylidene	0.480042442462146	0.00155181257760362	-0.164229832604613	0.545860578115007	0.359997650511594	0.0171911943051716	-0.644272275066759	0.000187006061028838	-0.120044791950552	0.518786999527545	0.524227483116207	0.00167810651802813
N-[(2S,4aR,12aR)-2-[2-(cyclopropylmethylamino)-2-oxoethyl]-5-methyl-6-oxo-2,3,4,4a,12,12a-hexahydropyrano[2,3-c][1,5]benzoxazocin-8-yl]butanamide	-0.117000197548799	0.772782816719012	-0.681988771100312	0.00270568078330602	-0.582525359544342	0.00690969892365412	-0.564988573551512	0.0141771785130551	-0.465525161995543	0.0370968109911461	0.0994634115559701	0.944918009672168
adenosine	0.478573431856871	3.91373706898346e-05	-0.308440470500696	0.015158017387738	0.0677018299003609	0.799172291919875	-0.787013902357567	5.95127691793707e-07	-0.41087160195651	0.000138593112864238	0.376142300401057	0.0031415592162255
N-[(4S,7S,8S)-8-methoxy-4,7,10-trimethyl-5-[4-oxanyl(oxo)methyl]-11-oxo-2-oxa-5,10-diazabicyclo[10.4.0]hexadeca-1(12),13,15-trien-14-yl]cyclopropanecarboxamide	0.0227346407781635	0.997493582310045	-0.535305907260961	0.0145182823538527	-0.203935111426838	0.433316251727575	-0.558040548039124	0.0104446944736684	-0.226669752205001	0.341155276587382	0.331370795834123	0.203722180796188
Glidobactin D	0.0885430472044956	0.891401947103527	-0.580082854143531	0.0136690706980598	-0.15822292237713	0.65907184962359	-0.668625901348026	0.00400416787682956	-0.246765969581626	0.288844330310009	0.4218599317664	0.102227686613928
anabasine	0.642829378185155	0.000277191891227102	-0.0743765043076273	0.946311888136427	0.605828286720774	0.000534112184894298	-0.717205882492783	0.000124608839120022	-0.0370010914643812	0.972486136110185	0.680204791028401	0.000233011243372716
4-hydroxystyrene	0.517176313264324	0.0241652083130147	0.289118908627714	0.345368933706697	0.678455295826578	0.00243418921271876	-0.228057404636609	0.392643050564242	0.161278982562254	0.562993664807809	0.389336387198864	0.0496534098955306
cyclo(L-His-L-Pro)	0.369463900030696	0.353645833933676	0	1	0	1	-0.369463900030696	0.353645833933675	-0.369463900030696	0.353645833933675	0	1
Clavatustide C	0.0569571447266102	0.989768237618376	-0.342964176123191	0.416575609089822	0.081798041201141	0.970302706143709	-0.399921320849801	0.278570280014911	0.0248408964745308	0.99904383881415	0.424762217324332	0.228719950967144
N-tetradecanoyltaurine(1-)	0.111090288140301	0.931870742692831	-0.234759087408848	0.687631682742362	0.151218448464669	0.843734230403864	-0.345849375549149	0.360863663644317	0.0401281603243682	0.995694531137338	0.385977535873517	0.264746921926539
2-[bis(2-hydroxyethyl)amino]ethanesulfonic acid	-0.295491998882938	0.747108293219727	0.0126941307111619	0.999957446681391	-0.117578164980618	0.972795192490261	0.3081861295941	0.72028224714013	0.17791383390232	0.935339498175764	-0.13027229569178	0.963228999508095
N-(D-ribulosyl)-cadaverine(2+)	-0.17960031689956	0.767149405528009	0.0596959165267037	0.984430254784594	-0.11817964052111	0.912290233771943	0.239296233426263	0.566330754397009	0.0614206763784498	0.988189917684506	-0.177875557047814	0.749809412040636
glycine betaine	0.133578843222191	0.893067320983619	0.213850814830795	0.660684251351988	0.352384439130181	0.2371500309638	0.0802719716086036	0.967096530300255	0.218805595907989	0.576491142866315	0.138533624299386	0.829884105998103
D-altritol	-0.024752155227066	0.997104635127149	-0.415676901910566	0.0552711283968765	-0.129307179144485	0.754054447699017	-0.3909247466835	0.0774428423944362	-0.104555023917419	0.853560214607238	0.286369722766081	0.273016382951263
5,6-Dihydro-4-methoxy-2H-pyran-2-one	-0.0272737702486012	0.996590062168306	-0.41345719687658	0.0689826025568003	-0.12845497339441	0.778768693053544	-0.386183426627979	0.0980395878357411	-0.101181203145809	0.878362733669096	0.28500222348217	0.306844089585062
N-[6-[[(cyclohexylideneamino)oxy-oxomethyl]amino]hexyl]carbamic acid (cyclohexylideneamino) ester	-0.00659750769741463	0.999901178430413	-0.475247225961743	0.00941150233277332	-0.165125487432546	0.460419377019592	-0.468649718264329	0.0105184691775516	-0.158527979735131	0.495327225261336	0.310121738529198	0.127377207220848
Cyclo-(isoleucyl-prolyl-leucyl-alanyl)	0.00261459551710997	0.999995089268774	-0.495443236668844	0.012620784671731	-0.149291044339856	0.597103010675932	-0.498057832185954	0.0121139175584235	-0.151905639856967	0.583460244986565	0.346152192328987	0.112969517306416
2-O-(alpha-D-Manp)-D-Man-OH	0.0229265389129419	0.997886149822544	-0.445581312017775	0.0515815396683849	-0.131442264914043	0.770126662446676	-0.468507850930717	0.0378959763477813	-0.154368803826985	0.670334659534951	0.314139047103732	0.246928028466318
Pro-Thr-Asn	-0.0299269390601196	0.998128154903503	-0.682297576696147	0.0375319301454929	-0.280954808594124	0.482543560528779	-0.652370637636027	0.0504658525884539	-0.251027869534005	0.579429367969554	0.401342768102023	0.383311027946559
2-[4-(2-hydroxyethyl)piperazin-1-yl]ethanesulfonic acid	-0.112006597629463	0.933682267663554	0.217342806597579	0.591280655210452	-0.0292189738054591	0.998516470229231	0.329349404227042	0.290816879127663	0.082787623824004	0.972092037453593	-0.246561780403038	0.500940790588499
dienestrol	0.104814351820762	0.88052469270413	-0.0516416428222783	0.985352393861044	0.106833891097844	0.874393981158071	-0.15645599464304	0.707484725811197	0.00201953927708147	0.999998783541765	0.158475533920122	0.699092207860736
Aeruginopeptin 228-A	-0.182499365276715	0.571133371703289	-0.0595546058481871	0.968826133743581	-0.0554821604225655	0.974387609060796	0.122944759428528	0.821186028296206	0.127017204854149	0.806237050916724	0.00407244542562163	0.999989687352317
Muraglitazar	-0.101084108080551	0.887508505431351	0.408757904934801	0.0204282072481152	0.138347398192746	0.713362124448796	0.509842013015352	0.00583132049616741	0.239431506273297	0.324511997127731	-0.270410506742055	0.127469390690558
2,3-Bis(p-methoxyphenyl)acrylonitrile	0.104573976865547	0.950690561809177	0.165862285969445	0.827243335491524	0.21112920565333	0.692634560561554	0.0612883091038987	0.987259091629966	0.106555228787783	0.936631082745256	0.0452669196838844	0.994147247815807
Mirubactin	-0.045342245129167	0.995647145594177	0.275010506374257	0.445263463514906	-0.0513176563905529	0.993769544046241	0.320352751503424	0.333987359113741	-0.00597541126138583	0.999990330321079	-0.32632816276481	0.321018796258663
choline alfoscerate	0.526049794361155	0.113672347303099	0	1	0.280888198078958	0.63090135718638	-0.526049794361155	0.113672347303099	-0.245161596282197	0.597665115987357	0.280888198078958	0.63090135718638
sucrose	0.0963051638855459	0.799219477078896	-0.42497473735454	0.0248991162651588	-0.0871206865905728	0.864757455131472	-0.521279901240086	0.00508854319660956	-0.183425850476119	0.372249474628042	0.337854050763967	0.0943346151440017
dimethylmaleate(2-)	0.00134028526886841	0.999999631939114	-0.290452353855252	0.263277540519014	-0.0273354629741877	0.997024807607829	-0.29179263912412	0.259567931515778	-0.028675748243056	0.996567030233054	0.263116890881064	0.346724088968219
1-(D-glucopyranosyloxy)-3-hydroxypropan-2-yl D-galactopyranoside	0.717318052655424	2.14783018348541e-06	-0.0751575977185755	0.862770078126532	0.215275380163776	0.116488675150669	-0.792475650374	9.4594849120444e-07	-0.502042672491648	4.21103149770286e-05	0.290432977882352	0.0308945422037187
beta-(1->6)-galactotriitol	0.174558553887417	0.921590597684351	0	1	0.529966307792317	0.189203512106714	-0.174558553887417	0.921590597684351	0.3554077539049	0.448141302834254	0.529966307792317	0.189203512106714
Halolitoralin B	0.321928094887362	0.514606724284755	0	1	0	1	-0.321928094887362	0.514606724284756	-0.321928094887362	0.514606724284755	0	1
