"feature_id_full","feature_id","feature_mz","feature_rt","Pt_0m_vs_Pt_20m_p_value","Pt_0m_vs_wt_0m_p_value","Pt_0m_vs_wt_20m_p_value","Pt_20m_vs_wt_0m_p_value","Pt_20m_vs_wt_20m_p_value","wt_0m_vs_wt_20m_p_value","Pt_0m_vs_Pt_20m_p_value_minus_log10","Pt_0m_vs_wt_0m_p_value_minus_log10","Pt_0m_vs_wt_20m_p_value_minus_log10","Pt_20m_vs_wt_0m_p_value_minus_log10","Pt_20m_vs_wt_20m_p_value_minus_log10","wt_0m_vs_wt_20m_p_value_minus_log10","wt_0m_vs_wt_20m_fold_change","Pt_20m_vs_wt_20m_fold_change","Pt_0m_vs_wt_20m_fold_change","Pt_20m_vs_wt_0m_fold_change","Pt_0m_vs_wt_0m_fold_change","Pt_0m_vs_Pt_20m_fold_change","wt_0m_vs_wt_20m_fold_change_log2","Pt_20m_vs_wt_20m_fold_change_log2","Pt_0m_vs_wt_20m_fold_change_log2","Pt_20m_vs_wt_0m_fold_change_log2","Pt_0m_vs_wt_0m_fold_change_log2","Pt_0m_vs_Pt_20m_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"725_439.14_7.2",725,439.142326362756,7.213807,2.14783018348541e-06,0.862770078126532,0.116488675150669,9.4594849120444e-07,4.21103149770286e-05,0.0308945422037187,5.66800005876888,0.0641049251479256,0.933716294025436,6.02413251116133,4.37561151012868,1.51011823579078,1.22300726837878,0.70610631644684,1.16092548951409,0.577352510245387,0.949238421986663,1.64412279351348,0.290432977882352,-0.502042672491648,0.215275380163776,-0.792475650374,-0.0751575977185755,0.717318052655424,"Carbohydrates","Saccharides","Disaccharides","(2R,3S,4S,5R)-2-(hydroxymethyl)-6-[3-hydroxy-2-[(3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropoxy]oxane-3,4,5-triol",NA,NA,"C(C1C(C(C(C(O1)OCC(CO)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C15H28O13/c16-1-5(26-15-13(24)11(22)9(20)7(3-18)28-15)4-25-14-12(23)10(21)8(19)6(2-17)27-14/h5-24H,1-4H2","QVVMHULEFZHJIS"
"261_435.17_2.7",261,435.165782271787,2.7197948,8.26592552538585e-06,1,1,8.26592552538585e-06,8.26592552538585e-06,1,5.08270851195773,0,0,5.08270851195773,5.08270851195773,0,1,0.56400186175952,1,0.56400186175952,1,1.7730437925866,0,-0.826228169946284,0,-0.826228169946284,0,0.826228169946284,"Carbohydrates","Nucleosides","Purine nucleosides","5-[[9-[3,4-Dihydroxy-5-(hydroxymethyl)oxolan-2-yl]purin-6-yl]amino]pentane-1-sulfonic acid",NA,NA,"C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)NCCCCCS(=O)(=O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C15H23N5O7S/c21-6-9-11(22)12(23)15(27-9)20-8-19-10-13(17-7-18-14(10)20)16-4-2-1-3-5-28(24,25)26/h7-9,11-12,15,21-23H,1-6H2,(H,16,17,18)(H,24,25,26)","WOUMMLCAIIQWOQ"
"258_269.11_2.7",258,269.107227123604,2.718683,1.99894758419195e-05,0.022920871874764,0.821343361532842,4.52601908618178e-07,6.29692693743245e-05,0.00506160125689981,4.69919859367311,1.63976886649535,0.0854752486723364,6.34428361896151,4.20087134574097,2.29571207070463,1.30479072266271,0.720548042523715,1.04964719217721,0.552232653105687,0.804456357595167,1.45673449961896,0.383818429332817,-0.472833469622636,0.0699044901500718,-0.856651898955453,-0.313913939182746,0.542737959772707,"Alkaloids","Nicotinic acid alkaloids","Pyridine alkaloids","2-(1,4-Benzodiazepin-1-yl)ethanesulfonamide","C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)O","CCCCOC(=O)CCC(=O)OCCCC","C1=CC=C2C(=C1)C=NC=CN2CCS(=O)(=O)N","\"\"InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1\"\"",NA,"OIRDTQYFTABQOQ-KQYNXXCUSA-N","OIRDTQYFTABQOQ","YUXIBTJKHLUKBD","InChI=1S/C12H22O4/c1-3-5-9-15-11(13)7-8-12(14)16-10-6-4-2/h3-10H2,1-2H3","YUXIBTJKHLUKBD-UHFFFAOYSA-N","InChI=1S/C11H13N3O2S/c12-17(15,16)8-7-14-6-5-13-9-10-3-1-2-4-11(10)14/h1-6,9H,7-8H2,(H2,12,15,16)","OFDWFBAIHJSKLR"
"260_268.1_2.7",260,268.10395886519,2.7189028,3.91373706898346e-05,0.015158017387738,0.799172291919875,5.95127691793707e-07,0.000138593112864238,0.0031415592162255,4.40740835428487,1.81935759909136,0.0973595819328573,6.22538984117631,3.85825835067207,2.5028547497193,1.29786677587349,0.752168814793716,1.0480458474557,0.57954239123464,0.807514197094954,1.39336519520971,0.376142300401057,-0.41087160195651,0.0677018299003609,-0.787013902357567,-0.308440470500696,0.478573431856871,"Carbohydrates","Nucleosides","Purine nucleosides","Myocol","Nc1nccc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O","C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N","\"\"InChI=1S/C11H14N4O4/c12-10-7-5(1-2-13-10)15(4-14-7)11-9(18)8(17)6(3-16)19-11/h1-2,4,6,8-9,11,16-18H,3H2,(H2,12,13)/t6-,8-,9-,11-/m1/s1\"\"","DBZQFUNLCALWDY-PNHWDRBUSA-N","DBZQFUNLCALWDY-PNHWDRBUSA-N","DBZQFUNLCALWDY","OIRDTQYFTABQOQ","InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)","OIRDTQYFTABQOQ-UHFFFAOYSA-N","InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)","OIRDTQYFTABQOQ"
"282_163.12_3.1",282,163.12303404249,3.1342788,0.000277191891227102,0.946311888136427,0.000534112184894298,0.000124608839120022,0.972486136110185,0.000233011243372716,3.55721947841389,0.0239657040073415,3.27236751420088,3.90445114993291,0.0121165813171775,3.63262312267819,1.60236719557873,0.97467889350238,1.52185223528701,0.608274368192089,0.949752490868585,1.56138831509774,0.680204791028401,-0.0370010914643812,0.605828286720774,-0.717205882492783,-0.0743765043076273,0.642829378185155,"Alkaloids","Nicotinic acid alkaloids","Pyridine alkaloids","Anabasine","C(C2)CNC(C2)c(c1)cncc1","c1cncc([C@@H]2CCCCN2)c1","C1CCNC(C1)C2=CN=CC=C2","1S/C10H14N2/c1-2-7-12-10(5-1)9-4-3-6-11-8-9/h3-4,6,8,10,12H,1-2,5,7H2/t10-/m0/s1",NA,"MTXSIJUGVMTTMU-UHFFFAOYSA-N","MTXSIJUGVMTTMU","MTXSIJUGVMTTMU","InChI=1S/C10H14N2/c1-2-7-12-10(5-1)9-4-3-6-11-8-9/h3-4,6,8,10,12H,1-2,5,7H2/t10-/m0/s1","MTXSIJUGVMTTMU-JTQLQIEISA-N","InChI=1S/C10H14N2/c1-2-7-12-10(5-1)9-4-3-6-11-8-9/h3-4,6,8,10,12H,1-2,5,7H2","MTXSIJUGVMTTMU"
"556_147.07_6.1",556,147.065161571362,6.0595074,0.000312540113242998,0.84493088355396,0.941718813355766,9.45667817209284e-05,0.000136410059283554,0.993732235250726,3.50509423482524,0.0731788154512552,0.0260787532980603,4.024261390541,3.86515360233163,0.00273062206029592,1.02611984529812,0.605973859415248,0.947348332160752,0.590548815707968,0.923233613014782,1.56334851320967,0.0371992398338239,-0.722672535026444,-0.0780331045894732,-0.759871774860267,-0.115232344423297,0.64463943043697,"Carbohydrates","Saccharides","Monosaccharides",NA,NA,NA,"[CH]C(C(C(C(CO)O)O)O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C6H12O5/c1-3(8)5(10)6(11)4(9)2-7/h1,3-11H,2H2","ZRQKZUXZTAJPFH"
"251_132.08_2.6",251,132.080847678036,2.5718997,0.00155181257760362,0.545860578115007,0.0171911943051716,0.000187006061028838,0.518786999527545,0.00167810651802813,2.80916073245137,0.262918269176966,1.76469395099599,3.72814431737408,0.285010915595266,2.775180475734,1.43816328352151,0.920159081621209,1.28342380745257,0.639815445272732,0.892404793084384,1.39478469874072,0.524227483116207,-0.120044791950552,0.359997650511594,-0.644272275066759,-0.164229832604613,0.480042442462146,"Fatty acids","Fatty acyls","Hydrocarbons","1H-inden-1-ylidene",NA,NA,"C1=CC2=CC=C=C2C=C1",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C9H6/c1-2-5-9-7-3-6-8(9)4-1/h1-6H","VRBHURBJIHILRI"
"252_163.12_2.6",252,163.122988942638,2.5737042,0.00162418011796395,0.500020078023729,0.0306701600917187,0.000172950850561682,0.360775632144478,0.00253990899897616,2.78936581013165,0.301012556464297,1.51328395708668,3.76207729781073,0.442762803676046,2.59518184320309,1.42790681276014,0.901530650271562,1.26207255221178,0.631365185889763,0.883861986604151,1.39992195698683,0.513901830098365,-0.149551553597914,0.335794848282028,-0.663453383696278,-0.178106981816337,0.485346401879942,"Alkaloids","Nicotinic acid alkaloids","Pyridine alkaloids","(2As,7bR)-2,2a,3,7b-tetrahydro-1H-indeno[1,2-b]azete","CN1CCC[C@H]1c1cccnc1","CN1CCC[C@H]1c1cccnc1","C1C2CNC2C3=CC=CC=C31","\"\"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1\"\"",NA,"SNICXCGAKADSCV-JTQLQIEISA-N","SNICXCGAKADSCV","SNICXCGAKADSCV","InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1","SNICXCGAKADSCV-JTQLQIEISA-N","InChI=1S/C10H11N/c1-2-4-9-7(3-1)5-8-6-11-10(8)9/h1-4,8,10-11H,5-6H2","SOMFMLLQFUJZLJ"
"294_149.11_3.4",294,149.107378825265,3.390277,0.00335005852390013,0.982165465669563,0.00206297860925575,0.00628531623172013,0.9911528690465,0.00383052747927481,2.47494760598259,0.00781534034574915,2.68550527514384,2.20167286686648,0.00385935755984259,2.41674141778988,1.51357433821109,1.02254804408225,1.58075339251071,0.675584950317546,1.04438437716843,1.54589645118284,0.597959533926417,0.032168629309678,0.660612315734034,-0.565790904616739,0.0626527818076165,0.628443686424356,"Alkaloids","Nicotinic acid alkaloids","Pyridine alkaloids","2,5-Divinylpyridine",NA,"c1cncc([C@H]2CCCN2)c1","C=CC1=CN=C(C=C1)C=C",NA,NA,NA,NA,"MYKUKUCHPMASKF","InChI=1S/C9H12N2/c1-3-8(7-10-5-1)9-4-2-6-11-9/h1,3,5,7,9,11H,2,4,6H2/t9-/m1/s1","MYKUKUCHPMASKF-SECBINFHSA-N","InChI=1S/C9H9N/c1-3-8-5-6-9(4-2)10-7-8/h3-7H,1-2H2","SXLIFQSDMYZOBA"
"521_293.06_5.4",521,293.063221852893,5.3581815,0.00436458188351052,0.107525359658095,0.988134442435309,8.61231665747475e-05,0.00254131375299838,0.179316299272184,2.36005735433679,0.968489096113887,0.00518396266379722,4.06488001042476,2.59494171323217,0.746380232678509,1.23435545659727,0.711566248438327,0.973118534365708,0.57646785991443,0.788361674236278,1.36757264204339,0.303757906339406,-0.490930013688497,-0.0393125462777219,-0.794687920027903,-0.343070452617128,0.451617467410775,"Carbohydrates","Phenolic acids (C6-C1)","Cyclitols","(beta-d-Galactopyranosyl)-sn-glycerol",NA,NA,"C(C1C(C(C(C(O1)C(C(CO)O)O)O)O)O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C9H18O8/c10-1-3(12)5(13)9-8(16)7(15)6(14)4(2-11)17-9/h3-16H,1-2H2","GKVQPWWCDQIXGN"
