"feature_id","feature_id_full","feature_id_full_annotated","feature_mz","feature_rt","Pt_0m_vs_Pt_20m_p_value","Pt_0m_vs_wt_0m_p_value","Pt_0m_vs_wt_20m_p_value","Pt_20m_vs_wt_0m_p_value","Pt_20m_vs_wt_20m_p_value","wt_0m_vs_wt_20m_p_value","Pt_0m_vs_Pt_20m_p_value_minus_log10","Pt_0m_vs_wt_0m_p_value_minus_log10","Pt_0m_vs_wt_20m_p_value_minus_log10","Pt_20m_vs_wt_0m_p_value_minus_log10","Pt_20m_vs_wt_20m_p_value_minus_log10","wt_0m_vs_wt_20m_p_value_minus_log10","wt_0m_vs_wt_20m_fold_change","Pt_20m_vs_wt_20m_fold_change","Pt_0m_vs_wt_20m_fold_change","Pt_20m_vs_wt_0m_fold_change","Pt_0m_vs_wt_0m_fold_change","Pt_0m_vs_Pt_20m_fold_change","wt_0m_vs_wt_20m_fold_change_log2","Pt_20m_vs_wt_20m_fold_change_log2","Pt_0m_vs_wt_20m_fold_change_log2","Pt_20m_vs_wt_0m_fold_change_log2","Pt_0m_vs_wt_0m_fold_change_log2","Pt_0m_vs_Pt_20m_fold_change_log2","sirius_name","sirius_chebiasciiname","sirius_chebiid","sirius_confidencescoreapproximate","sirius_confidencescoreexact","sirius_csi_fingeridscore","sirius_siriusscore","sirius_zodiacscore","sirius_inchi","sirius_inchikey2d","sirius_molecularformula","sirius_adduct","sirius_smiles","canopus_npc_pathway","canopus_npc_class","canopus_npc_superclass","met_annot_structure_exact_mass","met_annot_structure_inchi","met_annot_structure_inchikey","met_annot_short_inchikey","met_annot_structure_smiles","met_annot_structure_molecular_formula","met_annot_structure_nametraditional","met_annot_structure_wikidata","met_annot_structure_taxonomy_npclassifier_01pathway","met_annot_structure_taxonomy_npclassifier_02superclass","met_annot_structure_taxonomy_npclassifier_01pathway_consensus","met_annot_structure_taxonomy_npclassifier_02superclass_consensus","met_annot_structure_taxonomy_npclassifier_03class_consensus","met_annot_organism_name","met_annot_organism_taxonomy_01domain","met_annot_organism_taxonomy_02kingdom","met_annot_organism_taxonomy_03phylum","met_annot_organism_taxonomy_04class","met_annot_organism_taxonomy_05order","met_annot_organism_taxonomy_06family","met_annot_organism_taxonomy_07tribe","met_annot_organism_taxonomy_08genus","met_annot_organism_taxonomy_09species","met_annot_organism_taxonomy_10varietas","met_annot_organism_taxonomy_ottid","met_annot_organism_wikidata","met_annot_score_taxo","Pt_0m","Pt_0m.pval","Pt_20m","Pt_20m.pval","wt_0m","wt_0m.pval","wt_20m","wt_20m.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
251,"251_132.08_2.6","1H-inden-1-ylidene_[251_132.08_2.6]",132.080847678036,2.5718997,0.00155181257760362,0.545860578115007,0.0171911943051716,0.000187006061028838,0.518786999527545,0.00167810651802813,2.80916073245137,0.262918269176966,1.76469395099599,3.72814431737408,0.285010915595266,2.775180475734,1.43816328352151,0.920159081621209,1.28342380745257,0.639815445272732,0.892404793084384,1.39478469874072,0.524227483116207,-0.120044791950552,0.359997650511594,-0.644272275066759,-0.164229832604613,0.480042442462146,"1H-inden-1-ylidene","1H-inden-1-ylidene","CHEBI:33052",0.032,0.032,-90.047,26.923,0.994,"InChI=1S/C9H6/c1-2-5-9-7-3-6-8(9)4-1/h1-6H","VRBHURBJIHILRI","C9H6","[M + H3N + H]+","C1=CC2=CC=C=C2C=C1","Fatty acids","Hydrocarbons","Fatty acyls",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.59205946904709,0.0838323353293413,5.0534608779456,0.031936127744511,4.87467590587464,0.0379241516966068,4.91213641283244,0.0439121756487026,7.29804135797256,0.00399201596806387,0.901141847041847,0.738522954091816
252,"252_163.12_2.6","NA_[252_163.12_2.6]",163.122988942638,2.5737042,0.00162418011796395,0.500020078023729,0.0306701600917187,0.000172950850561682,0.360775632144478,0.00253990899897616,2.78936581013165,0.301012556464297,1.51328395708668,3.76207729781073,0.442762803676046,2.59518184320309,1.42790681276014,0.901530650271562,1.26207255221178,0.631365185889763,0.883861986604151,1.39992195698683,0.513901830098365,-0.149551553597914,0.335794848282028,-0.663453383696278,-0.178106981816337,0.485346401879942,"(2As,7bR)-2,2a,3,7b-tetrahydro-1H-indeno[1,2-b]azete",NA,NA,0.276,0.276,-58.798,60.77,0.996,"InChI=1S/C10H11N/c1-2-4-9-7(3-1)5-8-6-11-10(8)9/h1-4,8,10-11H,5-6H2","SOMFMLLQFUJZLJ","C10H11N","[M + H3N + H]+","C1C2CNC2C3=CC=CC=C31","Alkaloids","Pyridine alkaloids","Nicotinic acid alkaloids","162.115698448","InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1","SNICXCGAKADSCV-JTQLQIEISA-N","SNICXCGAKADSCV","CN1CCC[C@H]1c1cccnc1","C10H14N2","Nicotine","http://www.wikidata.org/entity/Q28086552","Alkaloids","Nicotinic acid alkaloids","nan","nan","nan","Nicotiana benthamiana","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Solanales']","['Solanaceae']","['Nicotianeae']","['Nicotiana']","['Nicotiana benthamiana']","nan","1020638.0","http://www.wikidata.org/entity/Q3024956",9,5.22849483938939,0.00998003992015968,5.8857378598192,0.0119760479041916,5.12250051422635,0.0179640718562874,4.02828275896913,0.0558882235528942,7.67783792649902,0.00998003992015968,1.20956216561217,0.0658682634730539
258,"258_269.11_2.7","NA_[258_269.11_2.7]",269.107227123604,2.718683,1.99894758419195e-05,0.022920871874764,0.821343361532842,4.52601908618178e-07,6.29692693743245e-05,0.00506160125689981,4.69919859367311,1.63976886649535,0.0854752486723364,6.34428361896151,4.20087134574097,2.29571207070463,1.30479072266271,0.720548042523715,1.04964719217721,0.552232653105687,0.804456357595167,1.45673449961896,0.383818429332817,-0.472833469622636,0.0699044901500718,-0.856651898955453,-0.313913939182746,0.542737959772707,"2-(1,4-Benzodiazepin-1-yl)ethanesulfonamide",NA,NA,0.05,0.05,-134.49,16.487,0.105,"InChI=1S/C11H13N3O2S/c12-17(15,16)8-7-14-6-5-13-9-10-3-1-2-4-11(10)14/h1-6,9H,7-8H2,(H2,12,15,16)","OFDWFBAIHJSKLR","C11H13N3O2S","[M + H3N + H]+","C1=CC=C2C(=C1)C=NC=CN2CCS(=O)(=O)N","Alkaloids","Pyridine alkaloids","Nicotinic acid alkaloids","230.151809184","InChI=1S/C12H22O4/c1-3-5-9-15-11(13)7-8-12(14)16-10-6-4-2/h3-10H2,1-2H3","YUXIBTJKHLUKBD-UHFFFAOYSA-N","YUXIBTJKHLUKBD","CCCCOC(=O)CCC(=O)OCCCC","C12H22O4","Dibutyl succinate","http://www.wikidata.org/entity/Q27155847","Fatty acids","Fatty esters","Fatty acids","Nucleosides","Purine nucleos(t)ides","Nicotiana tabacum","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Solanales']","['Solanaceae']","['Nicotianeae']","['Nicotiana']","['Nicotiana tabacum']","nan","222787.0","http://www.wikidata.org/entity/Q181095",8,0.775382703355184,0.317365269461078,7.36062583227794,0.00399201596806387,8.02172044724258,0.00399201596806387,5.23240213364782,0.0219560878243513,9.4193327384001,0.00199600798403194,1.49329704184704,0.00998003992015968
260,"260_268.1_2.7","adenosine_[260_268.1_2.7]",268.10395886519,2.7189028,3.91373706898346e-05,0.015158017387738,0.799172291919875,5.95127691793707e-07,0.000138593112864238,0.0031415592162255,4.40740835428487,1.81935759909136,0.0973595819328573,6.22538984117631,3.85825835067207,2.5028547497193,1.29786677587349,0.752168814793716,1.0480458474557,0.57954239123464,0.807514197094954,1.39336519520971,0.376142300401057,-0.41087160195651,0.0677018299003609,-0.787013902357567,-0.308440470500696,0.478573431856871,"Myocol","adenosine","CHEBI:16335",0.975,0.947,-7.511,45.466,0.083,"InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)","OIRDTQYFTABQOQ","C10H13N5O4","[M + H]+","C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N","Carbohydrates","Purine nucleosides","Nucleosides","267.096753896","InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)","OIRDTQYFTABQOQ-UHFFFAOYSA-N","OIRDTQYFTABQOQ","Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O","C10H13N5O4","2-(6-Aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol","http://www.wikidata.org/entity/Q27165666","Carbohydrates","Nucleosides","Fatty acids","Nucleosides","Purine nucleos(t)ides","Nicotiana undulata","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Solanales']","['Solanaceae']","['Nicotianeae']","['Nicotiana']","['Nicotiana undulata']","nan","210478.0","http://www.wikidata.org/entity/Q15531484",8,-0.587629759454744,0.481037924151697,7.66627413820398,0.00598802395209581,6.1083731330333,0.0119760479041916,5.0492310371686,0.0239520958083832,8.0888913250549,0.00199600798403194,1.1196982961483,0.217564870259481
261,"261_435.17_2.7","NA_[261_435.17_2.7]",435.165782271787,2.7197948,8.26592552538585e-06,1,1,8.26592552538585e-06,8.26592552538585e-06,1,5.08270851195773,0,0,5.08270851195773,5.08270851195773,0,1,0.56400186175952,1,0.56400186175952,1,1.7730437925866,0,-0.826228169946284,0,-0.826228169946284,0,0.826228169946284,"5-[[9-[3,4-Dihydroxy-5-(hydroxymethyl)oxolan-2-yl]purin-6-yl]amino]pentane-1-sulfonic acid",NA,NA,0.254,0.254,-212.995,31.506,0.031,"InChI=1S/C15H23N5O7S/c21-6-9-11(22)12(23)15(27-9)20-8-19-10-13(17-7-18-14(10)20)16-4-2-1-3-5-28(24,25)26/h7-9,11-12,15,21-23H,1-6H2,(H,16,17,18)(H,24,25,26)","WOUMMLCAIIQWOQ","C15H23N5O7S","[M + H3N + H]+","C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)NCCCCCS(=O)(=O)O","Carbohydrates","Purine nucleosides","Nucleosides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63736530665978,0.115768463073852,5.62979180128001,0.00399201596806387,1.94881009766875,0.0898203592814371,3.63088570575154,0.0259481037924152,5.4106843845744,0.00998003992015968,0.436944277944278,0.0199600798403194
272,"272_355.1_2.9","NA_[272_355.1_2.9]",355.099857403995,2.8521998,0.00612967005931364,0.960537193504986,0.554226726342325,0.0143008193167374,0.0637148009508691,0.826060398906606,2.21256290154616,0.0174858139139582,0.256312535170306,1.84463908039893,1.19575966931893,0.0829881972887364,1.1144433621482,0.747071528633391,1.19188247989785,0.670353966838959,1.06948681321982,1.59540610800434,0.156323298316613,-0.42068171390184,0.25324199248889,-0.577005012218453,0.0969186941722769,0.67392370639073,"2-(2-ethenylsulfonylethoxy)-N-[2-(2-ethenylsulfonylethoxy)ethylamino]oxyethanamine",NA,NA,0.008,0.008,-154.116,23.768,0.551,"InChI=1S/C12H24N2O7S2/c1-3-22(15,16)11-9-19-7-5-13-21-14-6-8-20-10-12-23(17,18)4-2/h3-4,13-14H,1-2,5-12H2","NBPPCUZISYYUSR","C12H24N2O7S2","[M - H2O + H]+","C=CS(=O)(=O)CCOCCNONCCOCCS(=O)(=O)C=C","Fatty acids","N-acyl amines","Fatty amides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.44302302252344,0.143712574850299,6.47116160866704,0.00798403193612774,-0.394116406071402,0.451097804391218,0.0546359995635948,0.379241516966068,4.6926520443888,0.0359281437125748,0.615774503274503,0.69061876247505
282,"282_163.12_3.1","anabasine_[282_163.12_3.1]",163.12303404249,3.1342788,0.000277191891227102,0.946311888136427,0.000534112184894298,0.000124608839120022,0.972486136110185,0.000233011243372716,3.55721947841389,0.0239657040073415,3.27236751420088,3.90445114993291,0.0121165813171775,3.63262312267819,1.60236719557873,0.97467889350238,1.52185223528701,0.608274368192089,0.949752490868585,1.56138831509774,0.680204791028401,-0.0370010914643812,0.605828286720774,-0.717205882492783,-0.0743765043076273,0.642829378185155,"Anabasine","anabasine","CHEBI:28986",0.819,0.792,-18.292,53.992,0.016,"InChI=1S/C10H14N2/c1-2-7-12-10(5-1)9-4-3-6-11-8-9/h3-4,6,8,10,12H,1-2,5,7H2","MTXSIJUGVMTTMU","C10H14N2","[M + H]+","C1CCNC(C1)C2=CN=CC=C2","Alkaloids","Pyridine alkaloids","Nicotinic acid alkaloids","162.115698448","InChI=1S/C10H14N2/c1-2-7-12-10(5-1)9-4-3-6-11-8-9/h3-4,6,8,10,12H,1-2,5,7H2/t10-/m0/s1","MTXSIJUGVMTTMU-JTQLQIEISA-N","MTXSIJUGVMTTMU","c1cncc([C@@H]2CCCCN2)c1","C10H14N2","(-)-Anabasine","http://www.wikidata.org/entity/Q419308","Alkaloids","Lysine alkaloids","nan","nan","nan","Nicotiana benthamiana","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Solanales']","['Solanaceae']","['Nicotianeae']","['Nicotiana']","['Nicotiana benthamiana']","nan","1020638.0","http://www.wikidata.org/entity/Q3024956",9,3.78310515171898,0.0419161676646707,4.61512116334889,0.0279441117764471,3.63596191409103,0.0658682634730539,4.68252098501305,0.0119760479041916,6.83377334261679,0.00798403193612774,0.78824531024531,0.918163672654691
294,"294_149.11_3.4","NA_[294_149.11_3.4]",149.107378825265,3.390277,0.00335005852390013,0.982165465669563,0.00206297860925575,0.00628531623172013,0.9911528690465,0.00383052747927481,2.47494760598259,0.00781534034574915,2.68550527514384,2.20167286686648,0.00385935755984259,2.41674141778988,1.51357433821109,1.02254804408225,1.58075339251071,0.675584950317546,1.04438437716843,1.54589645118284,0.597959533926417,0.032168629309678,0.660612315734034,-0.565790904616739,0.0626527818076165,0.628443686424356,"2,5-Divinylpyridine",NA,NA,0.193,0.099,-38.674,60.073,0.984,"InChI=1S/C9H9N/c1-3-8-5-6-9(4-2)10-7-8/h3-7H,1-2H2","SXLIFQSDMYZOBA","C9H9N","[M + H3N + H]+","C=CC1=CN=C(C=C1)C=C","Alkaloids","Pyridine alkaloids","Nicotinic acid alkaloids","148.100048384","InChI=1S/C9H12N2/c1-3-8(7-10-5-1)9-4-2-6-11-9/h1,3,5,7,9,11H,2,4,6H2/t9-/m1/s1","MYKUKUCHPMASKF-SECBINFHSA-N","MYKUKUCHPMASKF","c1cncc([C@H]2CCCN2)c1","C9H12N2","(R)-3-(Pyrrolidin-2-yl)pyridine","http://www.wikidata.org/entity/Q27105207","Alkaloids","Nicotinic acid alkaloids","nan","nan","nan","Nicotiana benthamiana","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Solanales']","['Solanaceae']","['Nicotianeae']","['Nicotiana']","['Nicotiana benthamiana']","nan","1020638.0","http://www.wikidata.org/entity/Q3024956",9,4.45634221317794,0.031936127744511,0.438441261353,0.303393213572854,1.81964912011318,0.169660678642715,5.53073481616396,0.00998003992015968,5.65932943293287,0.0279441117764471,0.799264319014319,0.694610778443114
301,"301_121.06_3.7","4-hydroxystyrene_[301_121.06_3.7]",121.064981346077,3.6765113,0.0241652083130147,0.345368933706697,0.00243418921271876,0.392643050564242,0.562993664807809,0.0496534098955306,1.61680945673024,0.461716730250154,2.6136456665144,0.406002084773,0.249496492101567,1.30405092142918,1.30979078594891,1.11827807817393,1.60042525040971,0.853783741778089,1.2218938074528,1.43115141184123,0.389336387198864,0.161278982562254,0.678455295826578,-0.228057404636609,0.289118908627714,0.517176313264324,"4-ethenylphenol","4-hydroxystyrene","CHEBI:1883",0.477,0.391,-36.631,66.853,0.013,"InChI=1S/C8H8O/c1-2-7-3-5-8(9)6-4-7/h2-6,9H,1H2","FUGYGGDSWSUORM","C8H8O","[M + H]+","C=CC1=CC=C(C=C1)O","Shikimates and Phenylpropanoids","Cinnamic acids and derivatives","Phenylpropanoids (C6-C3)","120.057514876","InChI=1S/C8H8O/c1-2-4-8-7(3-1)5-6-9-8/h1-4H,5-6H2","HBEDSQVIWPRPAY-UHFFFAOYSA-N","HBEDSQVIWPRPAY","c1ccc2c(c1)CCO2","C8H8O","2,3-Dihydrobenzofuran","http://www.wikidata.org/entity/Q27159770","Shikimates and Phenylpropanoids","Isoflavonoids","Shikimates and Phenylpropanoids","Phenylpropanoids (C6-C3)","Cinnamic acids and derivatives","Nicotiana tabacum","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Solanales']","['Solanaceae']","['Nicotianeae']","['Nicotiana']","['Nicotiana tabacum']","nan","222787.0","http://www.wikidata.org/entity/Q181095",8,6.11526550120419,0.0119760479041916,2.46905530851197,0.169660678642715,-0.135459577815363,0.411177644710579,4.77428634680495,0.0379241516966068,5.88546473699667,0.0259481037924152,0.799789682539683,0.902195608782435
521,"521_293.06_5.4","NA_[521_293.06_5.4]",293.063221852893,5.3581815,0.00436458188351052,0.107525359658095,0.988134442435309,8.61231665747475e-05,0.00254131375299838,0.179316299272184,2.36005735433679,0.968489096113887,0.00518396266379722,4.06488001042476,2.59494171323217,0.746380232678509,1.23435545659727,0.711566248438327,0.973118534365708,0.57646785991443,0.788361674236278,1.36757264204339,0.303757906339406,-0.490930013688497,-0.0393125462777219,-0.794687920027903,-0.343070452617128,0.451617467410775,"(beta-d-Galactopyranosyl)-sn-glycerol",NA,NA,0.082,0.07,-120.604,15.167,0.761,"InChI=1S/C9H18O8/c10-1-3(12)5(13)9-8(16)7(15)6(14)4(2-11)17-9/h3-16H,1-2H2","GKVQPWWCDQIXGN","C9H18O8","[M + K]+","C(C1C(C(C(C(O1)C(C(CO)O)O)O)O)O)O","Carbohydrates","Cyclitols","Phenolic acids (C6-C1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.95597872557691,0.119760479041916,5.59156801053231,0.0219560878243513,9.28180823583383,0.00199600798403194,5.25534534464123,0.0279441117764471,9.39817770260588,0.00199600798403194,1.31732748917749,0.117764471057884
