"samples"	"PC1"	"PC2"	"PC3"
"20260428_CVOL_Group_03_Pt_1A_0m.mzML"	-0.143509068119062	0.172855552023398	0.112929954937696
"20260428_CVOL_Group_03_Pt_1A_20m.mzML"	-0.136245064321288	0.155632329906409	-0.0607916397818319
"20260428_CVOL_Group_03_Pt_1B_0m.mzML"	-0.162127005004515	0.122184306781889	0.000529328264949605
"20260428_CVOL_Group_03_Pt_1B_20m.mzML"	-0.176248960558937	0.137535474880774	-0.0560508550247892
"20260428_CVOL_Group_03_Pt_2A_0m.mzML"	-0.180627549095213	0.0985761173683052	-0.0723122111685218
"20260428_CVOL_Group_03_Pt_2A_20m.mzML"	-0.131959141375882	-0.00876873368152778	0.0168358769239731
"20260428_CVOL_Group_03_Pt_2B_0m.mzML"	-0.0955720515992687	0.0208385905364958	0.0824153269795342
"20260428_CVOL_Group_03_Pt_2B_20m.mzML"	-0.17195502108248	-0.0125012715859135	-0.0628405536573978
"20260428_CVOL_Group_03_wt_1A_0m.mzML"	0.636125545451313	-0.0833851550138342	0.290185231067304
"20260428_CVOL_Group_03_wt_1A_20m.mzML"	-0.115286492628654	0.0584062703137111	0.156797094036132
"20260428_CVOL_Group_03_wt_1B_0m.mzML"	0.938953438226926	0.164749635647546	-0.208861976245341
"20260428_CVOL_Group_03_wt_1B_20m.mzML"	-0.0831050402201181	-0.0783961656501168	0.142071236817559
"20260428_CVOL_Group_03_wt_2A_0m.mzML"	0.140625800766452	-0.248513685895769	-0.0328116507119126
"20260428_CVOL_Group_03_wt_2A_20m.mzML"	-0.0861041866065963	-0.201552348568986	-0.0970923871837405
"20260428_CVOL_Group_03_wt_2B_0m.mzML"	-0.179821893333203	-0.0544250718773076	-0.0852813578825658
"20260428_CVOL_Group_03_wt_2B_20m.mzML"	-0.0531433104994741	-0.243235845185073	-0.125721417371046
