"samples"	"LV1"	"LV2"
"20260428_CVOL_Group_03_Pt_1A_0m.mzML"	8.88118280671588	1.89085397390101
"20260428_CVOL_Group_03_Pt_1A_20m.mzML"	9.2600194773636	1.9129703264986
"20260428_CVOL_Group_03_Pt_1B_0m.mzML"	9.42221185104261	1.65821440136276
"20260428_CVOL_Group_03_Pt_1B_20m.mzML"	10.017090927338	2.28895471846117
"20260428_CVOL_Group_03_Pt_2A_0m.mzML"	9.16721461104634	1.90963544887814
"20260428_CVOL_Group_03_Pt_2A_20m.mzML"	8.04630969414459	0.144223771295017
"20260428_CVOL_Group_03_Pt_2B_0m.mzML"	7.88921919888358	-0.0894838842351762
"20260428_CVOL_Group_03_Pt_2B_20m.mzML"	9.75544596770117	0.77775297373424
"20260428_CVOL_Group_03_wt_1A_0m.mzML"	0.233099540238928	-5.96783058380683
"20260428_CVOL_Group_03_wt_1A_20m.mzML"	6.86593442437118	-1.49858602308603
"20260428_CVOL_Group_03_wt_1B_0m.mzML"	-1.1191253336005	-5.54946893971223
"20260428_CVOL_Group_03_wt_1B_20m.mzML"	6.69042857447971	-2.85639686212845
"20260428_CVOL_Group_03_wt_2A_0m.mzML"	3.52512686685842	-5.4880280231162
"20260428_CVOL_Group_03_wt_2A_20m.mzML"	6.36714692285999	-3.62044647254495
"20260428_CVOL_Group_03_wt_2B_0m.mzML"	8.28138883109996	-1.61653914996924
"20260428_CVOL_Group_03_wt_2B_20m.mzML"	5.04505181298874	-3.61589838825152
