"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"111_172.13_0.6",111,172.133115965179,0.57999456,"C9H14O2"
"117_387.19_0.6",117,387.193070141971,0.60766995,"C21H23NO5"
"122_792.56_0.6",122,792.562188135376,0.62269616,"C44H84NO6P"
"125_797.52_0.6",125,797.517431345493,0.6290352,"C43H70N6O9"
"126_764.53_0.6",126,764.530952392489,0.6290576,NA
"136_239.15_0.7",136,239.148841492494,0.7210058,"C10H22O6"
"148_154.09_0.8",148,154.086246731928,0.8012114,"C8H8O2"
"153_172.1_0.8",153,172.096785342606,0.82863134,"C8H10O3"
"158_167.08_0.9",158,167.081545359331,0.89801574,"C8H10N2O2"
"159_311.2_0.9",159,311.196153511047,0.922064,"C16H23NO4"
"160_297.18_0.9",160,297.180746878727,0.92708147,"C15H21NO4"
"163_283.17_0.9",163,283.165034506381,0.9338987,"C14H19NO4"
"165_202.22_0.9",165,202.216589900499,0.9486435,"C12H24O"
"183_305.15_1.2",183,305.147018234362,1.1957107,"C14H22N2O4"
"185_283.17_1.2",185,283.165107010919,1.2106836,"C14H19NO4"
"210_394.23_1.6",210,394.233537433486,1.5713011,"C20H33N3O6"
"216_343.3_1.8",216,343.295390138933,1.8271214,"C19H38N2O3"
"217_408.25_1.9",217,408.249235064229,1.8913196,"C21H35N3O6"
"221_954.62_1.8",221,954.615005850797,1.8498733,"C47H80N6O13"
"222_155.12_1.9",222,155.117842261347,1.8672887,"C8H16N2O2"
"226_408.25_1.9",226,408.249183309363,1.9205407,"C21H35N3O6"
"228_285.18_2",228,285.180637093893,2.0058987,"C14H24N2O4"
"230_394.23_2.1",230,394.233500760459,2.1378696,"C20H37NO4"
"234_174.15_2.1",234,174.148862367005,2.1225488,"C9H16O2"
"235_193.16_2.1",235,193.16243443351,2.127735,NA
"236_192.16_2.1",236,192.159412240317,2.131608,"C9H18O3"
"239_394.23_2.2",239,394.233507307402,2.1820676,"C20H33N3O6"
"242_181.09_2.2",242,181.085830857087,2.2400389,"C10H12O3"
"243_383.13_2.2",243,383.131153452357,2.2418754,"C16H24O9"
"244_374.14_2.2",244,374.144538125465,2.2429333,"C16H25NO10"
"246_352.22_2.3",246,352.222910531946,2.339721,"C18H31N3O5"
"251_132.08_2.6",251,132.080847678036,2.5718997,"C9H6"
"252_163.12_2.6",252,163.122988942638,2.5737042,"C10H11N"
"254_451.16_2.6",254,451.164599609841,2.602528,"C26H24N2O4"
"256_461.28_2.6",256,461.275873923599,2.6267776,"C24H33N3O5"
"257_266.19_2.7",257,266.186446027015,2.7070138,"C14H20N2O2"
"258_269.11_2.7",258,269.107227123604,2.718683,"C11H13N3O2S"
"260_268.1_2.7",260,268.10395886519,2.7189028,"C10H13N5O4"
"261_435.17_2.7",261,435.165782271787,2.7197948,"C15H23N5O7S"
"263_451.16_2.7",263,451.164631879827,2.741319,"C26H24N2O4"
"267_519.32_2.7",267,519.318035971715,2.742254,"C27H39N3O6"
"272_355.1_2.9",272,355.099857403995,2.8521998,"C12H24N2O7S2"
"273_519.32_2.9",273,519.318036963313,2.8882504,"C27H44N4O7"
"277_152.05_3",277,152.047306507608,2.9768357,"C5H12ClNO3"
"279_527.28_3.1",279,527.284442450265,3.1149716,"C26H40N4O6"
"281_505.3_3.1",281,505.302417922687,3.1151292,"C26H37N3O6"
"282_163.12_3.1",282,163.12303404249,3.1342788,"C10H14N2"
"284_463.29_3.2",284,463.291794150262,3.210394,"C24H38N4O5"
"285_146.12_3.2",285,146.117562556345,3.172291,"C7H12O2"
"287_319.14_3.2",287,319.136346478104,3.208686,"C10H23NO5S2"
"288_463.29_3.2",288,463.291793148436,3.2405224,"C24H40N4O6"
"290_377.25_3.3",290,377.254840578259,3.3466818,"C20H29N3O3"
"294_149.11_3.4",294,149.107378825265,3.390277,"C9H9N"
"299_201.16_3.5",299,201.15983414387,3.5225582,"C10H22N2O3"
"300_291.11_3.6",300,291.105038375239,3.6421165,"C14H9F2N3O"
"301_121.06_3.7",301,121.064981346077,3.6765113,"C8H8O"
"302_217.15_3.7",302,217.154772996122,3.714289,"C10H17NO3"
"303_235.12_3.7",303,235.11899667839,3.74371,"C11H14N4O2"
"305_377.25_3.8",305,377.254804159751,3.7607117,"C20H29N3O3"
"306_616.37_3.8",306,616.370976029085,3.76132,"C32H46N4O7"
"307_133.11_3.8",307,133.105077924994,3.811999,NA
"308_638.35_3.8",308,638.352950385334,3.8077245,"C29H53N5O7S"
"310_247.08_3.8",310,247.078858829489,3.8161004,"C8H14BNO5S"
"311_267.1_3.8",311,267.100936171813,3.8311844,"C9H15NO5S"
"314_133.11_4",314,133.105105223347,3.9900315,NA
"325_587.41_4.1",325,587.405396231627,4.0698447,"C34H56N2O7"
"326_234.28_4.1",326,234.279425797011,4.072939,NA
"327_491.31_4",327,491.305153708318,4.0455484,"C22H44N4O9"
"328_257.15_4",328,257.147005652321,4.0422134,NA
"329_1523.54_4.1",329,1523.53517365415,4.0722823,NA
"332_236.17_4.1",332,236.167780922684,4.091745,"C11H25NO2S"
"333_1641.11_4.1",333,1641.1143468806,4.069704,"C85H149N13O18"
"334_1347.92_4.1",334,1347.91687350806,4.0715847,"C68H119N11O15"
"335_996.18_4.1",335,996.178367940506,4.0706315,NA
"336_1230.34_4.1",336,1230.33647535536,4.0712194,NA
"337_1524.04_4.1",337,1524.03696895328,4.0724216,NA
"338_1054.72_4.1",338,1054.71794303335,4.0718417,NA
"339_586.4_4.1",339,586.402295352914,4.071977,"C30H57N3O9"
"340_1465_4.1",340,1464.99572132625,4.072664,NA
"341_1367.6_4.1",341,1367.59623223797,4.075621,"C67H96N2O25"
"342_1405.95_4.1",342,1405.95437683721,4.076508,NA
"343_469.32_4.1",343,469.323184657942,4.073358,"C20H44N4O8"
"344_1171.8_4.1",344,1171.79661628027,4.0745897,"C56H103N11O14"
"345_937.64_4.1",345,937.639120117385,4.0747395,NA
"346_1113.26_4.1",346,1113.25733813691,4.070038,NA
"347_1113.76_4.1",347,1113.75859278824,4.074231,"C56H102N10O11"
"348_1230.84_4.1",348,1230.83794091993,4.07646,NA
