	Pt_vs_wt_fold_change_log2	Pt_vs_wt_p_value
PC(P-18:1(9Z)/P-18:1(9Z))	0.148222812900254	0.320388639128392
pentaethylene glycol	0.140842973714512	0.381064342993222
3-(5-Methyl-2-furyl)prop-2-enal	-0.265547172620737	0.0114423343574717
Musacin D	-0.252139966946513	0.021896066482628
(+/-)-2,4,8-Trimethyl-7-nonen-2-ol	-0.252336505322794	0.0927028960379567
lauramidopropyl betaine	-0.607619707018217	0.00138994246699786
Collacyclumin B	-0.315354349287253	0.00830666022257762
2-(4-Hydroxy-3,5-dimethoxyphenyl)ethanol 4'-glucoside	0.188664784819415	0.232148858177135
Proacaciberin	0.357438768195238	0.00968941290935704
1H-inden-1-ylidene	-0.138331043700016	0.36567914573419
N-[(2S,4aR,12aR)-2-[2-(cyclopropylmethylamino)-2-oxoethyl]-5-methyl-6-oxo-2,3,4,4a,12,12a-hexahydropyrano[2,3-c][1,5]benzoxazocin-8-yl]butanamide	-0.574085716286411	5.78881467335979e-05
adenosine	-0.367185863119348	0.0123700460652296
N-[(4S,7S,8S)-8-methoxy-4,7,10-trimethyl-5-[4-oxanyl(oxo)methyl]-11-oxo-2-oxa-5,10-diazabicyclo[10.4.0]hexadeca-1(12),13,15-trien-14-yl]cyclopropanecarboxamide	-0.371539435333184	0.00329209467897898
Glidobactin D	-0.398738640384131	0.00439093097152172
anabasine	-0.0514779496945276	0.787131855175253
4-hydroxystyrene	0.215241344063784	0.174629868672145
cyclo(L-His-L-Pro)	-0.196526904612832	0.257961350022844
Clavatustide C	-0.143766384353017	0.354124186066755
N-tetradecanoyltaurine(1-)	-0.0855147670249743	0.567149055234117
2-[bis(2-hydroxyethyl)amino]ethanesulfonic acid	0.0892217705014037	0.653433450226049
N-(D-ribulosyl)-cadaverine(2+)	0.0605049438235779	0.642377647355325
glycine betaine	0.216444936466585	0.0941455037650983
D-altritol	-0.253075261761407	0.0266259760711664
5,6-Dihydro-4-methoxy-2H-pyran-2-one	-0.250357343763558	0.0323391413178074
N-[6-[[(cyclohexylideneamino)oxy-oxomethyl]amino]hexyl]carbamic acid (cyclohexylideneamino) ester	-0.308574397160338	0.00460030819468402
Cyclo-(isoleucyl-prolyl-leucyl-alanyl)	-0.313318109919383	0.00731964410764242
2-O-(alpha-D-Manp)-D-Man-OH	-0.291487177632909	0.016857908821223
Pro-Thr-Asn	-0.452828919708152	0.00863173687185405
2-[4-(2-hydroxyethyl)piperazin-1-yl]ethanesulfonic acid	0.154239394496176	0.252930234898786
dienestrol	-0.0235877990336031	0.817765194961526
Aeruginopeptin 228-A	0.0308489118982675	0.752689351586551
Muraglitazar	0.3295358371263	0.00573221355080542
2,3-Bis(p-methoxyphenyl)acrylonitrile	0.135438990276037	0.298462566382185
Mirubactin	0.143546481848048	0.323671456041372
choline alfoscerate	-0.139600589031129	0.460932382919082
sucrose	-0.295136310013689	0.00912234722677206
dimethylmaleate(2-)	-0.153574135954282	0.164573284730223
1-(D-glucopyranosyloxy)-3-hydroxypropan-2-yl D-galactopyranoside	-0.325434109693173	0.0681078701211438
beta-(1->6)-galactotriitol	0.199264830493952	0.342113265034386
Halolitoralin B	-0.169925001442312	0.334281943394657
