"feature_id_full","feature_id","feature_mz","feature_rt","Pt_vs_wt_p_value","Pt_vs_wt_p_value_minus_log10","Pt_vs_wt_fold_change","Pt_vs_wt_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"583_489.82_6.5",583,489.823107088525,6.47991,2.02413946562686e-05,4.69375956739278,0.637637004862123,-0.649192737231012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256_461.28_2.6",256,461.275873923599,2.6267776,5.78881467335979e-05,4.23741035397881,0.671711802588493,-0.574085716286411,"Amino acids and Peptides","Oligopeptides","Dipeptides","N-[(2S,4aS,12aS)-2-[2-(cyclopropylmethylamino)-2-oxoethyl]-5-methyl-6-oxo-2,3,4,4a,12,12a-hexahydropyrano[2,3-c][1,5]benzoxazocin-8-yl]butanamide",NA,NA,"CCCC(=O)NC1=CC2=C(C=C1)OCC3C(CCC(O3)CC(=O)NCC4CC4)N(C2=O)C",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C24H33N3O5/c1-3-4-22(28)26-16-7-10-20-18(11-16)24(30)27(2)19-9-8-17(32-21(19)14-31-20)12-23(29)25-13-15-5-6-15/h7,10-11,15,17,19,21H,3-6,8-9,12-14H2,1-2H3,(H,25,29)(H,26,28)","KICHFZXSYRHWSE"
"524_534.37_5.4",524,534.365309916223,5.405283,0.000146452664189313,3.83430272345529,0.715283715267159,-0.483412498560703,"Amino acids and Peptides","Oligopeptides","Tripeptides","3-{[(1R,2S,5S)-3-[(2S)-2-{[tert-butyl(methyl)carbamoyl]amino}-3,3-dimethylbutanoyl]-6,6-dimethyl-3-azabicyclo[3.1.0]hexan-2-yl]formamido}-4-cyclobutyl-2-oxobutanamide",NA,NA,"CC1(C2C1C(N(C2)C(=O)C(C(C)(C)C)NC(=O)N(C)C(C)(C)C)C(=O)NC(CC3CCC3)C(=O)C(=O)N)C",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C28H47N5O5/c1-26(2,3)21(31-25(38)32(9)27(4,5)6)24(37)33-14-16-18(28(16,7)8)19(33)23(36)30-17(20(34)22(29)35)13-15-11-10-12-15/h15-19,21H,10-14H2,1-9H3,(H2,29,35)(H,30,36)(H,31,38)","MXQJWXDHKUABDI"
"216_343.3_1.8",216,343.295390138933,1.8271214,0.00138994246699786,2.8570031758484,0.656278598885119,-0.607619707018217,"Fatty acids","Fatty amides","N-acyl ethanolamines (endocannabinoids)","2-[Dimethyl-[3-(2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-tricosadeuteriododecanoylamino)propyl]azaniumyl]acetate","O=C1c2cc(CO)cc(O)c2C(=O)c2c1cc(O)c(Cl)c2O",NA,"CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)O","InChI=1S/C15H9ClO6/c16-12-9(19)3-7-11(15(12)22)14(21)10-6(13(7)20)1-5(4-17)2-8(10)18/h1-3,17-19,22H,4H2",NA,"GPTPSPAFUZTDEG-UHFFFAOYSA-N","GPTPSPAFUZTDEG",NA,NA,NA,"InChI=1S/C19H38N2O3/c1-4-5-6-7-8-9-10-11-12-14-18(22)20-15-13-16-21(2,3)17-19(23)24/h4-17H2,1-3H3,(H-,20,22,23,24)/p+1","MRUAUOIMASANKQ"
"683_750.45_6.7",683,750.453143772481,6.6926594,0.0024289913266077,2.61457403596191,0.713515948294705,-0.486982418138616,"Amino acids and Peptides","Oligopeptides","Microcolins and mirabimids","N-[(R)-3,7-Dimethyloctyl]-N',N''-bis[2-[2-[2-(2-methoxyethoxy)ethoxy]ethoxy]ethyl]-1,3,5-benzenetricarboxamide",NA,NA,"CC(C)CCCC(C)CCNC(=O)C1=CC(=CC(=C1)C(=O)NCCOCCOCCOCCOC)C(=O)NCCOCCOCCOCCOC",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C37H65N3O11/c1-30(2)7-6-8-31(3)9-10-38-35(41)32-27-33(36(42)39-11-13-46-19-21-50-25-23-48-17-15-44-4)29-34(28-32)37(43)40-12-14-47-20-22-51-26-24-49-18-16-45-5/h27-31H,6-26H2,1-5H3,(H,38,41)(H,39,42)(H,40,43)","FUIMIOFLIRZCJH"
"239_394.23_2.2",239,394.233507307402,2.1820676,0.00267749827397718,2.57227080045967,0.793330910169173,-0.334005333774815,"Amino acids and Peptides","Oligopeptides","Cyclic peptides","Unk-Ala(tBu)-Ala((S)-2-oxopyrrolidin-3-yl)-MeOH",NA,"C/C=C(\C)C(=O)OC1CC2C(O)C(OC(=O)CC)C(C1)N2C","CC(C)(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)CO)NC(=O)C2CCCO2",NA,NA,NA,NA,"HGOLJZZEGFBRMR","InChI=1S/C16H25NO5/c1-5-9(3)16(20)21-10-7-11-14(19)15(22-13(18)6-2)12(8-10)17(11)4/h5,10-12,14-15,19H,6-8H2,1-4H3/b9-5+","HGOLJZZEGFBRMR-WEVVVXLNSA-N","InChI=1S/C20H33N3O6/c1-20(2,3)10-14(23-19(28)16-5-4-8-29-16)18(27)22-13(15(25)11-24)9-12-6-7-21-17(12)26/h12-14,16,24H,4-11H2,1-3H3,(H,21,26)(H,22,27)(H,23,28)","PFJSVGDZMGOTSD"
"673_545.36_6.6",673,545.357364891445,6.6406174,0.00268446044203773,2.57114299137715,0.739597772766707,-0.435187214687255,"Amino acids and Peptides","Linear polyketides","Open-chain polyketides","2-methyl-N-[3-[3-(6-methyl-5-oxohept-6-enoxy)-2-[(6-methyl-5-oxohept-6-enoxy)methyl]-2-(2-methylprop-2-enoylamino)propoxy]propyl]prop-2-enamide",NA,"CN(C)CCCC(=O)N1CCCC1c1cccnc1","CC(=C)C(=O)CCCCOCC(COCCCCC(=O)C(=C)C)(COCCCNC(=O)C(=C)C)NC(=O)C(=C)C",NA,NA,NA,NA,"JSMLDRQMULJGNG","InChI=1S/C15H23N3O/c1-17(2)10-5-8-15(19)18-11-4-7-14(18)13-6-3-9-16-12-13/h3,6,9,12,14H,4-5,7-8,10-11H2,1-2H3","JSMLDRQMULJGNG-UHFFFAOYSA-N","InChI=1S/C31H50N2O7/c1-23(2)27(34)14-9-11-17-38-20-31(33-30(37)26(7)8,21-39-18-12-10-15-28(35)24(3)4)22-40-19-13-16-32-29(36)25(5)6/h1,3,5,7,9-22H2,2,4,6,8H3,(H,32,36)(H,33,37)","YVFGPOQVGSADLB"
"523_433.22_5.4",523,433.221262494597,5.4009314,0.00269081537800628,2.57011609898976,0.780357199031932,-0.357793443590526,"Amino acids and Peptides","Small peptides","Tripeptides","1-({3-[4-(4-fluorophenyl)piperazin-1-yl]-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl}methyl)-3-(propan-2-yl)urea",NA,NA,"CC(C)NC(=O)NCC1C(C(C(O1)CO)O)N2CCN(CC2)C3=CC=C(C=C3)F",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C20H31FN4O4/c1-13(2)23-20(28)22-11-16-18(19(27)17(12-26)29-16)25-9-7-24(8-10-25)15-5-3-14(21)4-6-15/h3-6,13,16-19,26-27H,7-12H2,1-2H3,(H2,22,23,28)","YJTQBPSZBVAHBL"
"158_167.08_0.9",158,167.081545359331,0.89801574,0.00280571117146946,2.55195703861529,0.772594695149648,-0.372216323229465,"Amino acids and Peptides","Nicotinic acid alkaloids","Pyridine alkaloids","N-Methoxy-N-methylnicotinamide",NA,NA,"CN(C(=O)C1=CN=CC=C1)OC",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C8H10N2O2/c1-10(12-2)8(11)7-4-3-5-9-6-7/h3-6H,1-2H3","KFEZCMOHRDCFIQ"
"246_352.22_2.3",246,352.222910531946,2.339721,0.00297388135904781,2.52667636134824,0.75570360081393,-0.40410759785292,"Amino acids and Peptides","Small peptides","Tripeptides","cyclobutyl N-[(2S)-1-[[(2S)-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]propan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]carbamate",NA,"CN1[C@@H]2CC(O)C[C@H]1[C@@H]1O[C@@H]12|CN1[C@@H]2C[C@@H]3C[C@H]1[C@H](O)[C@H]2O3","CC(C)CC(C(=O)NC(CC1CCNC1=O)CO)NC(=O)OC2CCC2",NA,NA,NA,NA,"FIMXSEMBHGTNKT|MEGPURSNXMUDAE","InChI=1S/C8H13NO2/c1-9-5-2-4(10)3-6(9)8-7(5)11-8/h4-8,10H,2-3H2,1H3/t4?,5-,6+,7-,8+|InChI=1S/C8H13NO2/c1-9-5-2-4-3-6(9)8(11-4)7(5)10/h4-8,10H,2-3H2,1H3/t4-,5-,6+,7-,8-/m0/s1","FIMXSEMBHGTNKT-UPGAHCIJSA-N|MEGPURSNXMUDAE-RLMOJYMMSA-N","InChI=1S/C18H31N3O5/c1-11(2)8-15(21-18(25)26-14-4-3-5-14)17(24)20-13(10-22)9-12-6-7-19-16(12)23/h11-15,22H,3-10H2,1-2H3,(H,19,23)(H,20,24)(H,21,25)","GCQNXXAARPLCPY"
