"feature_id","feature_id_full","feature_id_full_annotated","feature_mz","feature_rt","Pt_vs_wt_p_value","Pt_vs_wt_p_value_minus_log10","Pt_vs_wt_fold_change","Pt_vs_wt_fold_change_log2","sirius_name","sirius_chebiasciiname","sirius_chebiid","sirius_confidencescoreapproximate","sirius_confidencescoreexact","sirius_csi_fingeridscore","sirius_siriusscore","sirius_zodiacscore","sirius_inchi","sirius_inchikey2d","sirius_molecularformula","sirius_adduct","sirius_smiles","canopus_npc_pathway","canopus_npc_class","canopus_npc_superclass","met_annot_structure_exact_mass","met_annot_structure_inchi","met_annot_structure_inchikey","met_annot_short_inchikey","met_annot_structure_smiles","met_annot_structure_molecular_formula","met_annot_structure_nametraditional","met_annot_structure_wikidata","met_annot_structure_taxonomy_npclassifier_01pathway","met_annot_structure_taxonomy_npclassifier_02superclass","met_annot_structure_taxonomy_npclassifier_01pathway_consensus","met_annot_structure_taxonomy_npclassifier_02superclass_consensus","met_annot_structure_taxonomy_npclassifier_03class_consensus","met_annot_organism_name","met_annot_organism_taxonomy_01domain","met_annot_organism_taxonomy_02kingdom","met_annot_organism_taxonomy_03phylum","met_annot_organism_taxonomy_04class","met_annot_organism_taxonomy_05order","met_annot_organism_taxonomy_06family","met_annot_organism_taxonomy_07tribe","met_annot_organism_taxonomy_08genus","met_annot_organism_taxonomy_09species","met_annot_organism_taxonomy_10varietas","met_annot_organism_taxonomy_ottid","met_annot_organism_wikidata","met_annot_score_taxo","Pt","Pt.pval","wt","wt.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
56,"56_871.57_0.5","NA_[56_871.57_0.5]",871.57307057985,0.50017726,0.0144219009391259,1.84097749183838,1.24239373491379,0.313122459699737,NA,NA,NA,0.093,0.093,-346.732,77.142,0.43,"InChI=1S/C55H74N4O5/c1-13-39-35(8)42-28-44-37(10)41(24-25-48(60)64-27-26-34(7)23-17-22-33(6)21-16-20-32(5)19-15-18-31(3)4)52(58-44)50-51(55(62)63-12)54(61)49-38(11)45(59-53(49)50)30-47-40(14-2)36(9)43(57-47)29-46(39)56-42/h13,26,28-33,37,41,51,58,61H,1,14-25,27H2,2-12H3","FDHFJXKRMIVNCQ","C55H74N4O5","[M + H]+","CCC1=C(C2=NC1=CC3=C(C4=C(C(C(=C5C(C(C(=CC6=NC(=C2)C(=C6C)C=C)N5)C)CCC(=O)OCC=C(C)CCCC(C)CCCC(C)CCCC(C)C)C4=N3)C(=O)OC)O)C)C","Alkaloids","Pyrrole alkaloids","Tryptophan alkaloids","870.565921468","InChI=1S/C55H74N4O5/c1-13-39-35(8)42-28-44-37(10)41(24-25-48(60)64-27-26-34(7)23-17-22-33(6)21-16-20-32(5)19-15-18-31(3)4)52(58-44)50-51(55(62)63-12)54(61)49-38(11)45(59-53(49)50)30-47-40(14-2)36(9)43(57-47)29-46(39)56-42/h13,26,28-33,37,41,51,59,61H,1,14-25,27H2,2-12H3","REFBLEJUPUPWLM-UHFFFAOYSA-N","REFBLEJUPUPWLM","C=CC1=C(C)C2=NC1=CC1=NC(=Cc3[nH]c4c(c3C)=C(O)C(C(=O)OC)C=4C3=NC(=C2)C(C)C3CCC(=O)OCC=C(C)CCCC(C)CCCC(C)CCCC(C)C)C(CC)=C1C","C55H74N4O5","nan","http://www.wikidata.org/entity/Q110184368","Terpenoids","Meroterpenoids","Alkaloids","Meroterpenoids","Prenyl quinone meroterpenoids","Duboisia myoporoides","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Solanales']","['Solanaceae']","['Anthocercideae']","['Duboisia']","['Duboisia myoporoides']","nan","810421.0","http://www.wikidata.org/entity/Q145166",6,-1.00100150250438,0.686626746506986,0,0.429141716566866,-1.00100150250438,0.652694610778443,0.00363636363636364,0.998003992015968
64,"64_398.24_0.5","NA_[64_398.24_0.5]",398.240787772206,0.52360016,0.0410567333816323,1.38661560759006,0.834801069543392,-0.260495646014004,NA,NA,NA,0.013,0.013,-434.939,8.631,0.246,"InChI=1S/C18H28N4O5/c23-15(1-2-17(25)26)22-7-3-13-11-16(24)20(6-4-14(13)12-22)9-10-21-8-5-19-18(21)27/h13-14H,1-12H2,(H,19,27)(H,25,26)","NQBHATLNWYGZFR","C18H28N4O5","[M + H3N + H]+","C1CN(CC2C1CC(=O)N(CC2)CCN3CCNC3=O)C(=O)CCC(=O)O","Alkaloids","Benzodiazepine alkaloids","Anthranilic acid alkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41705050316284,0.117764471057884,1.37457856297529,0.119760479041916,1.3976941536882,0.121756487025948,0.0500025252525252,0.82435129740519
68,"68_376.26_0.5","NA_[68_376.26_0.5]",376.25915551679,0.5249083,0.00436367440790753,2.36014766141191,0.791091702860136,-0.338083154180151,"1,3,5-Tris(2,2-dimethylpropionylamino)benzene",NA,NA,0.678,0.678,-101.477,36.705,0.555,"InChI=1S/C21H33N3O3/c1-19(2,3)16(25)22-13-10-14(23-17(26)20(4,5)6)12-15(11-13)24-18(27)21(7,8)9/h10-12H,1-9H3,(H,22,25)(H,23,26)(H,24,27)","CPEULHAPWXMDDV","C21H33N3O3","[M + H]+","CC(C)(C)C(=O)NC1=CC(=CC(=C1)NC(=O)C(C)(C)C)NC(=O)C(C)(C)C","Alkaloids","N-acyl amines","Anthranilic acid alkaloids","293.199093724|293.199093724","InChI=1S/C17H27NO3/c1-3-4-5-6-7-8-9-17(20)18-13-14-10-11-15(19)16(12-14)21-2/h10-12,19H,3-9,13H2,1-2H3,(H,18,20)|InChI=1S/C17H27NO3/c1-13(2)7-5-4-6-8-17(20)18-12-14-9-10-15(19)16(11-14)21-3/h9-11,13,19H,4-8,12H2,1-3H3,(H,18,20)","RGOVYLWUIBMPGK-UHFFFAOYSA-N|VQEONGKQWIFHMN-UHFFFAOYSA-N","RGOVYLWUIBMPGK|VQEONGKQWIFHMN","CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1|COc1cc(CNC(=O)CCCCCC(C)C)ccc1O","C17H27NO3|C17H27NO3","Nonivamide|Nordihydrocapsaicin","http://www.wikidata.org/entity/Q420228|http://www.wikidata.org/entity/Q2286631","Alkaloids|Alkaloids","Pseudoalkaloids|Pseudoalkaloids","Alkaloids","Pseudoalkaloids","Capsaicins and Capsaicinoids","Capsicum annuum|Capsicum pubescens","['Eukaryota']|['Eukaryota']","['Archaeplastida']|['Archaeplastida']","['Streptophyta']|['Streptophyta']","['Magnoliopsida']|['Magnoliopsida']","['Solanales']|['Solanales']","['Solanaceae']|['Solanaceae']","['Capsiceae']|['Capsiceae']","['Capsicum']|['Capsicum']","['Capsicum annuum']|['Capsicum pubescens']","nan|nan","473836.0|585222.0","http://www.wikidata.org/entity/Q1380|http://www.wikidata.org/entity/Q133428",NA,2.05518555625332,0.0439121756487026,1.34406227991274,0.121756487025948,2.16713382415179,0.0518962075848303,0.0839499000999001,0.481037924151697
69,"69_393.29_0.5","NA_[69_393.29_0.5]",393.285771947492,0.525421,0.00536479696371468,2.2704467097105,0.792346079234341,-0.335797389657544,"1,3,5-Tris(2,2-dimethylpropionylamino)benzene",NA,NA,0.592,0.592,-134.245,43.207,1,"InChI=1S/C21H33N3O3/c1-19(2,3)16(25)22-13-10-14(23-17(26)20(4,5)6)12-15(11-13)24-18(27)21(7,8)9/h10-12H,1-9H3,(H,22,25)(H,23,26)(H,24,27)","CPEULHAPWXMDDV","C21H33N3O3","[M + H3N + H]+","CC(C)(C)C(=O)NC1=CC(=CC(=C1)NC(=O)C(C)(C)C)NC(=O)C(C)(C)C","Alkaloids","N-acyl amines","Fatty amides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0666575802873,0.0139720558882236,2.57720216565173,0.0199600798403194,2.8539143542352,0.0199600798403194,0.174805555555556,0.093812375249501
126,"126_764.53_0.6","NA_[126_764.53_0.6]",764.530952392489,0.6290576,0.0426991392652898,1.36958087945045,1.21920446611784,0.285940092748875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.70266414755955,0.0858283433133733,1.34406227991274,0.11377245508982,1.72086627591066,0.0918163672654691,0.0296674603174603,0.898203592814371
148,"148_154.09_0.8","3-(5-Methyl-2-furyl)prop-2-enal_[148_154.09_0.8]",154.086246731928,0.8012114,0.0114423343574717,1.94148536582718,0.831883165579524,-0.265547172620737,"3-(5-methylfuran-2-yl)prop-2-enal","3-(5-Methyl-2-furyl)prop-2-enal","CHEBI:178981",0.496,0.263,-39.514,33.353,0.994,"InChI=1S/C8H8O2/c1-7-4-5-8(10-7)3-2-6-9/h2-6H,1H3","XYYLGSWUPMPWLD","C8H8O2","[M + H3N + H]+","CC1=CC=C(O1)C=CC=O","Terpenoids","4-pyrone derivatives","Sesquiterpenoids","136.052429496|136.052429496|136.052429496","InChI=1S/C8H8O2/c1-10-8(9)7-5-3-2-4-6-7/h2-6H,1H3|InChI=1S/C8H8O2/c1-10-8-4-2-7(6-9)3-5-8/h2-6H,1H3|InChI=1S/C8H8O2/c1-6-4-2-3-5-7(6)8(9)10/h2-5H,1H3,(H,9,10)","QPJVMBTYPHYUOC-UHFFFAOYSA-N|ZRSNZINYAWTAHE-UHFFFAOYSA-N|ZWLPBLYKEWSWPD-UHFFFAOYSA-N","QPJVMBTYPHYUOC|ZRSNZINYAWTAHE|ZWLPBLYKEWSWPD","COC(=O)c1ccccc1|COc1ccc(C=O)cc1|Cc1ccccc1C(=O)O","C8H8O2|C8H8O2|C8H8O2","Methyl benzoate|4-Methoxybenzaldehyde|O-Toluic acid","http://www.wikidata.org/entity/Q417328|http://www.wikidata.org/entity/Q174937|http://www.wikidata.org/entity/Q3291707","Shikimates and Phenylpropanoids|Shikimates and Phenylpropanoids|Shikimates and Phenylpropanoids","Phenolic acids (C6-C1)|Phenolic acids (C6-C1)|Phenolic acids (C6-C1)","Polyketides","Cyclic polyketides","Simple phenolic acids","Nicotiana tabacum|Nicotiana tabacum|Nicotiana tabacum","['Eukaryota']|['Eukaryota']|['Eukaryota']","['Archaeplastida']|['Archaeplastida']|['Archaeplastida']","['Streptophyta']|['Streptophyta']|['Streptophyta']","['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']","['Solanales']|['Solanales']|['Solanales']","['Solanaceae']|['Solanaceae']|['Solanaceae']","['Nicotianeae']|['Nicotianeae']|['Nicotianeae']","['Nicotiana']|['Nicotiana']|['Nicotiana']","['Nicotiana tabacum']|['Nicotiana tabacum']|['Nicotiana tabacum']","nan|nan|nan","222787.0|222787.0|222787.0","http://www.wikidata.org/entity/Q181095|http://www.wikidata.org/entity/Q181095|http://www.wikidata.org/entity/Q181095",NA,-1.00100150250438,0.766467065868264,-1.00100150250438,0.754491017964072,-1.00100150250438,0.708582834331337,0.03075,0.770459081836327
153,"153_172.1_0.8","Musacin D_[153_172.1_0.8]",172.096785342606,0.82863134,0.021896066482628,1.6596338969555,0.839650028082655,-0.252139966946513,"Musacin D","Musacin D","CHEBI:202309",0.032,0.032,-96.743,100.881,1,"InChI=1S/C8H10O3/c1-2-3-6(9)7-4-5-8(10)11-7/h2-7,9H,1H3","SMKPKIFBQCUYGS","C8H10O3","[M + H3N + H]+","CC=CC(C1C=CC(=O)O1)O","Polyketides","2-pyrone derivatives","Cyclic polyketides","154.06299418","InChI=1S/C8H10O3/c1-10-6-4-3-5-7(11-2)8(6)9/h3-5,9H,1-2H3","KLIDCXVFHGNTTM-UHFFFAOYSA-N","KLIDCXVFHGNTTM","COc1cccc(OC)c1O","C8H10O3","2,6-Dimethoxyphenol","http://www.wikidata.org/entity/Q421420","Shikimates and Phenylpropanoids","Phenolic acids (C6-C1)","Polyketides","Cyclic polyketides","Simple phenolic acids","Nicotiana tabacum","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Solanales']","['Solanaceae']","['Nicotianeae']","['Nicotiana']","['Nicotiana tabacum']","nan","222787.0","http://www.wikidata.org/entity/Q181095",8,1.00100150250438,0.221556886227545,1.38942503594182,0.127744510978044,1.34406227991274,0.131736526946108,0.030780303030303,0.894211576846307
158,"158_167.08_0.9","NA_[158_167.08_0.9]",167.081545359331,0.89801574,0.00280571117146946,2.55195703861529,0.772594695149648,-0.372216323229465,"N-Methoxy-N-methylnicotinamide",NA,NA,0.225,0.225,-78.579,15.29,0.305,"InChI=1S/C8H10N2O2/c1-10(12-2)8(11)7-4-3-5-9-6-7/h3-6H,1-2H3","KFEZCMOHRDCFIQ","C8H10N2O2","[M + H]+","CN(C(=O)C1=CN=CC=C1)OC","Amino acids and Peptides","Pyridine alkaloids","Nicotinic acid alkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57532347087875,0.101796407185629,1.41705050316284,0.127744510978044,1.67770621729712,0.101796407185629,0.0410252525252525,0.830339321357285
163,"163_283.17_0.9","NA_[163_283.17_0.9]",283.165034506381,0.9338987,0.0354195698644813,1.45075671718932,0.834543780067776,-0.260940359703413,"3-[(2-Phenoxyacetyl)-propylamino]propanoic acid",NA,NA,0.182,0.182,-131.805,94.442,0.507,"InChI=1S/C14H19NO4/c1-2-9-15(10-8-14(17)18)13(16)11-19-12-6-4-3-5-7-12/h3-7H,2,8-11H2,1H3,(H,17,18)","BNFLNPYDTFCCHC","C14H19NO4","[M + H3N + H]+","CCCN(CCC(=O)O)C(=O)COC1=CC=CC=C1","Fatty acids","Pyrrolidine alkaloids","Fatty amides","250.131742436","InChI=1S/C13H18N2O3/c14-7-1-2-8-15-13(18)6-4-10-3-5-11(16)12(17)9-10/h3-6,9,16-17H,1-2,7-8,14H2,(H,15,18)","KTZNZCYTXQYEHT-UHFFFAOYSA-N","KTZNZCYTXQYEHT","NCCCCNC(=O)C=Cc1ccc(O)c(O)c1","C13H18N2O3","N-(4-aminobutyl)-3-(3,4-dihydroxyphenyl)prop-2-enamide","http://www.wikidata.org/entity/Q105146022","Alkaloids","Ornithine alkaloids","Alkaloids","Ornithine alkaloids","Tropane alkaloids","Nicotiana tabacum","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Solanales']","['Solanaceae']","['Nicotianeae']","['Nicotiana']","['Nicotiana tabacum']","nan","222787.0","http://www.wikidata.org/entity/Q181095",8,1.46467048509149,0.0958083832335329,1.40275209380409,0.0978043912175649,1.73397596681387,0.0738522954091816,0.0668863636363636,0.295409181636727
183,"183_305.15_1.2","NA_[183_305.15_1.2]",305.147018234362,1.1957107,0.00544253783528039,2.26419854316029,0.822769548588667,-0.281439695425452,"(1S,6R)-6-[2-(2-methylpropanoylamino)ethylcarbamoyl]cyclohex-3-ene-1-carboxylic acid",NA,NA,0.039,0.039,-182.149,18.394,1,"InChI=1S/C14H22N2O4/c1-9(2)12(17)15-7-8-16-13(18)10-5-3-4-6-11(10)14(19)20/h3-4,9-11H,5-8H2,1-2H3,(H,15,17)(H,16,18)(H,19,20)","HVDRDDOXYJQABP","C14H22N2O4","[M + Na]+","CC(C)C(=O)NCCNC(=O)C1CC=CCC1C(=O)O","Amino acids and Peptides","Dipeptides","Small peptides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.54364593672012,0.00598802395209581,3.34729842793447,0.00598802395209581,3.77412354142129,0.00598802395209581,0.272676984126984,0.00998003992015968
