feature_id	IK2D	Sources	SMILES	gnps_SpectrumID	gnps_SpectrumFile	gnps_LibraryName	gnps_MQScore	gnps_TIC_Query	gnps_RT_Query	gnps_MZErrorPPM	gnps_SharedPeaks	gnps_MassDiff	gnps_SpecMZ	gnps_SpecCharge	gnps_FileScanUniqueID	gnps_NumberHits	gnps_Compound_Name	gnps_Ion_Source	gnps_Instrument	gnps_Compound_Source	gnps_PI	gnps_Data_Collector	gnps_Adduct	gnps_Precursor_MZ	gnps_ExactMass	gnps_Charge	gnps_CAS_Number	gnps_Pubmed_ID	gnps_SMILES	gnps_INCHI	gnps_INCHI_AUX	gnps_Library_Class	gnps_IonMode	gnps_Organism	gnps_LibMZ	gnps_UpdateWorkflowName	gnps_LibraryQualityString	gnps_tags	gnps_molecular_formula	gnps_InChIKey	gnps_superclass	gnps_class	gnps_subclass	gnps_npclassifier_superclass	gnps_npclassifier_class	gnps_npclassifier_pathway	gnps_library_usi	isdb_component_id	isdb_structure_taxonomy_npclassifier_01pathway_consensus	isdb_freq_structure_taxonomy_npclassifier_01pathway	isdb_structure_taxonomy_npclassifier_02superclass_consensus	isdb_freq_structure_taxonomy_npclassifier_02superclass	isdb_structure_taxonomy_npclassifier_03class_consensus	isdb_freq_structure_taxonomy_npclassifier_03class	isdb_rank_spec	isdb_msms_score	isdb_libname	isdb_structure_wikidata	isdb_structure_inchikey	isdb_structure_inchi	isdb_SMILES	isdb_structure_molecular_formula	isdb_adduct	isdb_structure_exact_mass	isdb_structure_nameTraditional	isdb_structure_taxonomy_npclassifier_01pathway	isdb_structure_taxonomy_npclassifier_02superclass	isdb_structure_taxonomy_npclassifier_03class	isdb_organism_wikidata	isdb_organism_name	isdb_organism_taxonomy_ottid	isdb_organism_taxonomy_01domain	isdb_organism_taxonomy_02kingdom	isdb_organism_taxonomy_03phylum	isdb_organism_taxonomy_04class	isdb_organism_taxonomy_05order	isdb_organism_taxonomy_06family	isdb_organism_taxonomy_07tribe	isdb_organism_taxonomy_08genus	isdb_organism_taxonomy_09species	isdb_organism_taxonomy_10varietas	isdb_matched_domain	isdb_matched_kingdom	isdb_matched_phylum	isdb_matched_class	isdb_matched_order	isdb_matched_family	isdb_matched_tribe	isdb_matched_genus	isdb_matched_species	isdb_score_taxo	isdb_score_max_consistency	isdb_final_score	isdb_rank_final	sirius_structurePerIdRank	sirius_formulaRank	sirius_ConfidenceScoreExact	sirius_ConfidenceScoreApproximate	sirius_CSI:FingerIDScore	sirius_ZodiacScore	sirius_SiriusScoreNormalized	sirius_SiriusScore	sirius_molecularFormula	sirius_adduct	sirius_precursorFormula	sirius_InChI	sirius_name	sirius_SMILES	sirius_xlogp	sirius_pubchemids	sirius_links	sirius_dbflags	sirius_ionMass	sirius_retentionTimeInSeconds	sirius_retentionTimeInMinutes	sirius_formulaId	sirius_alignedFeatureId	sirius_compoundId	sirius_overallFeatureQuality
1	APTYMLOLERDMRK	isdb	C=C1CC[C@@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1CCC1=CC[C@]2(CC1)C(=O)[C@]13C[C@H]2CC[C@H]1[C@]1(C)CCC[C@@](C)(C(=O)O)[C@H]1C[C@@H]3OC(C)=O																																													-1.0							1.0	0.46669862	ISDB	http://www.wikidata.org/entity/Q104916547	APTYMLOLERDMRK-FQPZWGHWSA-N	InChI=1S/C42H62O5/c1-26-10-14-31-37(3,4)18-8-19-38(31,5)30(26)13-11-28-16-22-41(23-17-28)29-12-15-32-39(6)20-9-21-40(7,36(45)46)33(39)24-34(47-27(2)43)42(32,25-29)35(41)44/h16,29-34H,1,8-15,17-25H2,2-7H3,(H,45,46)/t29-,30-,31-,32+,33+,34+,38+,39+,40-,41-,42-/m1/s1	C=C1CC[C@@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1CCC1=CC[C@]2(CC1)C(=O)[C@]13C[C@H]2CC[C@H]1[C@]1(C)CCC[C@@](C)(C(=O)O)[C@H]1C[C@@H]3OC(C)=O	C42H62O5		646.459725084	(1'R,2'S,4S,4'S,5'R,9'S,10'S,13'R)-1-[2-[(1R,4aR,8aR)-5,5,8a-trimethyl-2-methylidene-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]ethyl]-2'-acetyloxy-5',9'-dimethyl-15'-oxospiro[cyclohexene-4,14'-tetracyclo[11.2.1.01,10.04,9]hexadecane]-5'-carboxylic acid	Terpenoids	Diterpenoids	Kaurane and Phyllocladane diterpenoids	http://www.wikidata.org/entity/Q10835242	Xylopia emarginata	3867957.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Magnoliales']	['Annonaceae']	['Xylopieae']	['Xylopia']	['Xylopia emarginata']											0.0	0.0	1.866794466972351	1.0																									
1	TYNKOKJGRQOVMR	sirius	CC(C)(C)C1=CC2=C(C(=C1)CC3=CC(=CC(=C3O)CC4=CC(=CC(=C4N)CC5=C(C(=CC(=C5)C(C)(C)C)C2)O)C(C)(C)C)C(C)(C)C)N																																																																																												1.0	6.0	0.516	0.516	-123.74	0.029	0.008	33.877	C44H58N2O2	[M + H]+	C44H59N2O2+	InChI=1S/C44H58N2O2/c1-41(2,3)33-17-25-13-29-21-35(43(7,8)9)23-31(39(29)47)15-27-19-34(42(4,5)6)20-28(38(27)46)16-32-24-36(44(10,11)12)22-30(40(32)48)14-26(18-33)37(25)45/h17-24,47-48H,13-16,45-46H2,1-12H3	1,3-Diaminocalix[4]arene	CC(C)(C)C1=CC2=C(C(=C1)CC3=CC(=CC(=C3O)CC4=CC(=CC(=C4N)CC5=C(C(=CC(=C5)C(C)(C)C)C2)O)C(C)(C)C)C(C)(C)C)N	12.3	101793423	PUBCHEM:(101793423)	2.0	647.459	28.0	0.466	8.394086060605146e+17	8.39408474850099e+17	8.394084748333217e+17	
22	SSRXXIJGSYRYGC	sirius	CCCCCCCCCCCCCCCCCC(=O)NC(C)C(CCCCCCCCCCCCCCC)O																																																																																												1.0	2.0	0.41	0.41	-141.11	0.162	0.333	73.38	C36H73NO2	[M - H2O + H]+	C36H72NO+	InChI=1S/C36H73NO2/c1-4-6-8-10-12-14-16-18-19-21-23-25-27-29-31-33-36(39)37-34(3)35(38)32-30-28-26-24-22-20-17-15-13-11-9-7-5-2/h34-35,38H,4-33H2,1-3H3,(H,37,39)	N-(octadecanoyl)-1-deoxysphinganine	CCCCCCCCCCCCCCCCCC(=O)NC(C)C(CCCCCCCCCCCCCCC)O	15.5	73242209	LIPIDMAPS:(LMSP00000018);PUBCHEM:(73242209)	2147483650.0	534.561	29.0	0.477	8.394085991902444e+17	8.394084766788155e+17	8.394084766746212e+17	
23	RBBWLAVJQZGGMQ	sirius	CC=C1CC(OC1)C=C(C)OC(=O)C2CC3(C(CC2(C)C)C4=CCC5C6(CCC(C(C6CCC5(C4(CC3O)C)C)(C)C)O)C)C(=O)O																																																																																												1.0	1.0	0.195	0.195	-327.545	0.99	0.328	30.591	C40H60O7	[M + H3N + H]+	C40H64NO7+	InChI=1S/C40H60O7/c1-10-24-18-25(46-22-24)17-23(2)47-33(43)28-20-40(34(44)45)27(19-35(28,3)4)26-11-12-30-37(7)15-14-31(41)36(5,6)29(37)13-16-38(30,8)39(26,9)21-32(40)42/h10-11,17,25,27-32,41-42H,12-16,18-22H2,1-9H3,(H,44,45)	3-({[1-(4-ethylideneoxolan-2-yl)prop-1-en-2-yl]oxy}carbonyl)-5,10-dihydroxy-2,2,6a,6b,9,9,12a-heptamethyl-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-icosahydropicene-4a-carboxylic acid	CC=C1CC(OC1)C=C(C)OC(=O)C2CC3(C(CC2(C)C)C4=CCC5C6(CCC(C(C6CCC5(C4(CC3O)C)C)(C)C)O)C)C(=O)O	7.1	162884481;162884482	COCONUT:(CNP0150750);TeroMol:(TKC167488);SUPERNATURAL:(SN0320584);PUBCHEM:(162884481 162884482)	11534338.0	670.468	29.0	0.486	8.394086045002333e+17	8.394084767333414e+17	8.394084767333414e+17	
24	SEKVGXHJSCTDIN	sirius	CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)NCC(=O)NCC(=O)NCC(=O)N1CCCC1C(=O)NCC(=O)NCC(=O)NCC(=O)O																																																																																												1.0	2.0	0.008	0.008	-387.109	0.256	0.089	35.093	C41H72N8O11	[M + H3N + H]+	C41H76N9O11+	InChI=1S/C41H72N8O11/c1-3-5-7-9-11-13-15-17-21-48(22-18-16-14-12-10-8-6-4-2)39(56)31-60-30-37(54)44-26-33(50)42-24-34(51)45-28-38(55)49-23-19-20-32(49)41(59)47-27-36(53)43-25-35(52)46-29-40(57)58/h32H,3-31H2,1-2H3,(H,42,50)(H,43,53)(H,44,54)(H,45,51)(H,46,52)(H,47,59)(H,57,58)	2-[[2-[[2-[[(2S)-1-[2-[[2-[[2-[[2-[2-(didecylamino)-2-oxoethoxy]acetyl]amino]acetyl]amino]acetyl]amino]acetyl]pyrrolidine-2-carbonyl]amino]acetyl]amino]acetyl]amino]acetic acid	CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)NCC(=O)NCC(=O)NCC(=O)N1CCCC1C(=O)NCC(=O)NCC(=O)NCC(=O)O	4.3	16754928	PUBCHEM:(16754928)	2.0	870.566	28.0	0.46	8.394086612030312e+17	8.394084767836731e+17	8.394084767836731e+17	
27	ZSDBFLMJVAGKOU	sirius	C1=CC=C(C=C1)CCCC(=O)OCC(COC(=O)CCCC2=CC=CC=C2)OC(=O)CCCC3=CC=CC=C3																																																																																												1.0	1.0	0.061	0.061	-351.821	0.537	0.498	32.049	C33H38O6	[M + H]+	C33H39O6+	InChI=1S/C33H38O6/c34-31(22-10-19-27-13-4-1-5-14-27)37-25-30(39-33(36)24-12-21-29-17-8-3-9-18-29)26-38-32(35)23-11-20-28-15-6-2-7-16-28/h1-9,13-18,30H,10-12,19-26H2		C1=CC=C(C=C1)CCCC(=O)OCC(COC(=O)CCCC2=CC=CC=C2)OC(=O)CCCC3=CC=CC=C3	6.7	146047201;146047202;10482134	PUBCHEMANNOTATIONBIO:(null);NORMAN:(NS00072301);HMDB:(HMDB0252844);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(10482134);CHEBI:(134745);MESH:(10482134);PUBCHEM:(146047201 146047202 10482134);DSSTox:(DTXSID40210005);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)	137560850542.0	531.274	30.0	0.497	8.394086258869902e+17	8.394084769388623e+17	8.394084769388623e+17	
28	RZQHWSDMLZHIRN	gnps	CC1(C)CC[C@]2(C(=O)O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)CC[C@]3(C)C(=CCC4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O)[C@@](C)(CO)C5CC[C@]43C)C2C1	CCMSLIB00004707093	spectra_filtered.mgf	MONA.mgf	0.799956	1255190.0	0.0	998.518	15.0	0.848145	850.251	1.0	temp/spectra_filtered.mgf28	1.0	(2S,3S,4S,5R,6R)-6-[[(3S,4R,6aR,6bS,8aS,14bR)-4-(hydroxymethyl)-4,6a,6b,11,11,14b-hexamethyl-8a-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycarbonyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid		ESI-QFT	isolated	MoNA	MoNA:VF-NPL-QEHF016030	[M+K]+	849.403	0.0	1.0			CC1(C)CC[C@]2(C(=O)O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)CC[C@]3(C)C(=CCC4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O)[C@@](C)(CO)C5CC[C@]43C)C2C1	InChI=1S/C42H66O15/c1-37(2)13-15-42(36(53)57-34-30(49)27(46)26(45)22(18-43)54-34)16-14-40(5)20(21(42)17-37)7-8-24-38(3)11-10-25(39(4,19-44)23(38)9-12-41(24,40)6)55-35-31(50)28(47)29(48)32(56-35)33(51)52/h7,21-32,34-35,43-50H,8-19H2,1-6H3,(H,51,52)/t21?,22-,23?,24?,25+,26-,27+,28+,29+,30-,31-,32+,34+,35-,38+,39+,40-,41-,42+/m1/s1		3.0	positive	MONA	849.403	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C42H66O15	RZQHWSDMLZHIRN-MCTPBCADSA-N	Lipids and lipid-like molecules	Prenol lipids	Terpene glycosides	Triterpenoids	Oleanane triterpenoids	Terpenoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00004707093																																																																								
33	YATMVCAGKFBFQY	sirius	CCCCCCCCCCCCCCCCC=C(CCCCCCCCCCCCC)C=O																																																																																												1.0	3.0	0.04	0.057	-160.99	0.121	0.333	12.446	C32H62O	[M + H3N + H]+	C32H66NO+	InChI=1S/C32H62O/c1-3-5-7-9-11-13-15-16-17-18-20-22-24-26-28-30-32(31-33)29-27-25-23-21-19-14-12-10-8-6-4-2/h30-31H,3-29H2,1-2H3	2-tridecylnonadec-2-enal	CCCCCCCCCCCCCCCCC=C(CCCCCCCCCCCCC)C=O	15.3	85989835;139585277	COCONUT:(CNP0356374);SUPERNATURAL:(SN0445268);PUBCHEM:(85989835 139585277);LOTUS:(Q105345577 Q104201521)	271581186.0	480.515	29.0	0.488	8.394089877799369e+17	8.394084773121555e+17	8.394084773121555e+17	
34	DLSBAVMHHDWVFX	sirius	CCCCCCCCCCCCCCCCC=CNC(=O)CCCCCCCCCCCCCCC																																																																																												1.0	3.0	0.203	0.203	-161.027	0.015	0.333	60.299	C34H67NO	[M + H]+	C34H68NO+	InChI=1S/C34H67NO/c1-3-5-7-9-11-13-15-17-18-19-21-23-25-27-29-31-33-35-34(36)32-30-28-26-24-22-20-16-14-12-10-8-6-4-2/h31,33H,3-30,32H2,1-2H3,(H,35,36)	N-octadec-1-enylhexadecanamide	CCCCCCCCCCCCCCCCC=CNC(=O)CCCCCCCCCCCCCCC	15.6	87517338	PUBCHEM:(87517338)	2.0	506.53	29.0	0.485	8.394085996180634e+17	8.394084773708758e+17	8.394084773708758e+17	
36	LQFNYQMNRYYUMA	sirius	CC(C)C1=C2C3CCC4C5(CCC(C(C5CCC4(C3(CCC2(CC1=O)C=CC(=O)O)C)C)(C)C)OC(=O)CC(C)(C)C(=O)OC(C)(C)C)C																																																																																												1.0	3.0	0.057	0.057	-354.266	0.257	0.015	24.419	C42H64O7	[M + H3N + H]+	C42H68NO7+	InChI=1S/C42H64O7/c1-25(2)33-27(43)23-42(20-17-31(44)45)22-21-40(11)26(34(33)42)13-14-29-39(10)18-16-30(38(8,9)28(39)15-19-41(29,40)12)48-32(46)24-37(6,7)35(47)49-36(3,4)5/h17,20,25-26,28-30H,13-16,18-19,21-24H2,1-12H3,(H,44,45)	3-[9-[3,3-dimethyl-4-[(2-methylpropan-2-yl)oxy]-4-oxobutanoyl]oxy-5a,5b,8,8,11a-pentamethyl-2-oxo-1-propan-2-yl-4,5,6,7,7a,9,10,11,11b,12,13,13a-dodecahydro-3H-cyclopenta[a]chrysen-3a-yl]prop-2-enoic acid	CC(C)C1=C2C3CCC4C5(CCC(C(C5CCC4(C3(CCC2(CC1=O)C=CC(=O)O)C)C)(C)C)OC(=O)CC(C)(C)C(=O)OC(C)(C)C)C	9.4	89641029;123398590;123489772;117701488	PUBCHEM:(89641029 123398590 123489772 117701488)	2.0	698.5	29.0	0.484	8.394086020759255e+17	8.394084774715391e+17	8.394084774715391e+17	
